status,pair_id,job_id,axis,factor_metric,site,stack,block,scale,audio_suffix_tokens,patched_spectral_centroid_mean_hz,target_baseline_spectral_centroid_mean_hz,source_baseline_spectral_centroid_mean_hz,population_gap_spectral_centroid_mean_hz,patched_rms_dbfs,target_baseline_rms_dbfs,source_baseline_rms_dbfs,population_gap_rms_dbfs,patched_high_to_low_db,target_baseline_high_to_low_db,source_baseline_high_to_low_db,population_gap_high_to_low_db,patched_crest_factor_db,target_baseline_crest_factor_db,source_baseline_crest_factor_db,population_gap_crest_factor_db,patched_spectral_flatness_mean,target_baseline_spectral_flatness_mean,source_baseline_spectral_flatness_mean,population_gap_spectral_flatness_mean,patched_onset_strength_max,target_baseline_onset_strength_max,source_baseline_onset_strength_max,population_gap_onset_strength_max
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,0.5,,1540.28271484375,1537.63623046875,3765.4396362304688,2227.8034057617188,-16.241109591279052,-16.2329396000681,-3.333724378663071,12.89921522140503,-34.05903705071598,-33.820618773073406,-6.819681788057537,27.00093698501587,8.153134548159207,8.187919472168844,11.742189262818258,3.554269790649414,9.118515299633145e-05,9.308465814683586e-05,0.0005641023963107727,0.0004710177381639369,3.5085339546203613,3.505504846572876,8.371014446020126,4.86550959944725
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,1.0,,1540.60302734375,1537.63623046875,3765.4396362304688,2227.8034057617188,-16.227497205436855,-16.2329396000681,-3.333724378663071,12.89921522140503,-34.303879147505384,-33.820618773073406,-6.819681788057537,27.00093698501587,8.13336772079227,8.187919472168844,11.742189262818258,3.554269790649414,8.862216782290488e-05,9.308465814683586e-05,0.0005641023963107727,0.0004710177381639369,3.522003173828125,3.505504846572876,8.371014446020126,4.86550959944725
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,2.0,,1535.7330322265625,1537.63623046875,3765.4396362304688,2227.8034057617188,-16.145080310160147,-16.2329396000681,-3.333724378663071,12.89921522140503,-34.78281350426785,-33.820618773073406,-6.819681788057537,27.00093698501587,8.047471936333586,8.187919472168844,11.742189262818258,3.554269790649414,8.153365342877805e-05,9.308465814683586e-05,0.0005641023963107727,0.0004710177381639369,3.5869271755218506,3.505504846572876,8.371014446020126,4.86550959944725
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,4.0,,1529.975341796875,1537.63623046875,3765.4396362304688,2227.8034057617188,-16.068762159956652,-16.2329396000681,-3.333724378663071,12.89921522140503,-35.61679483226121,-33.820618773073406,-6.819681788057537,27.00093698501587,8.045289177418999,8.187919472168844,11.742189262818258,3.554269790649414,6.950875831535086e-05,9.308465814683586e-05,0.0005641023963107727,0.0004710177381639369,3.616729259490967,3.505504846572876,8.371014446020126,4.86550959944725
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,0.5,,5277.66650390625,5274.005859375,7501.809265136719,2227.8034057617188,-13.847549920999649,-13.837678385498878,-0.9384631640938483,12.89921522140503,14.709498266435387,14.680389882139188,41.68132686715506,27.00093698501587,6.972382402832666,6.986647574806578,10.540917365455993,3.554269790649414,0.0003428523486945778,0.000344618660164997,0.0008156363983289339,0.0004710177381639369,1.28818941116333,1.295137643814087,6.160647243261337,4.86550959944725
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,1.0,,5280.744140625,5274.005859375,7501.809265136719,2227.8034057617188,-13.862548131553268,-13.837678385498878,-0.9384631640938483,12.89921522140503,14.733389427880006,14.680389882139188,41.68132686715506,27.00093698501587,6.956091860583192,6.986647574806578,10.540917365455993,3.554269790649414,0.0003415996616240591,0.000344618660164997,0.0008156363983289339,0.0004710177381639369,1.2821933031082153,1.295137643814087,6.160647243261337,4.86550959944725
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,2.0,,5285.4150390625,5274.005859375,7501.809265136719,2227.8034057617188,-13.898215799414732,-13.837678385498878,-0.9384631640938483,12.89921522140503,14.769525322458335,14.680389882139188,41.68132686715506,27.00093698501587,6.907264411303203,6.986647574806578,10.540917365455993,3.554269790649414,0.0003395711537450552,0.000344618660164997,0.0008156363983289339,0.0004710177381639369,1.266146183013916,1.295137643814087,6.160647243261337,4.86550959944725
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,4.0,,5290.0341796875,5274.005859375,7501.809265136719,2227.8034057617188,-13.873371723988617,-13.837678385498878,-0.9384631640938483,12.89921522140503,14.78250567639969,14.680389882139188,41.68132686715506,27.00093698501587,6.798852717912763,6.986647574806578,10.540917365455993,3.554269790649414,0.0003393595397938043,0.000344618660164997,0.0008156363983289339,0.0004710177381639369,1.2336347103118896,1.295137643814087,6.160647243261337,4.86550959944725
ok,corpus-100,corpus-100-single-sample-000-seed-30100,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,0.5,,3764.87158203125,3765.694580078125,5993.497985839844,2227.8034057617188,-13.406018263428308,-13.406891883158112,-0.5076766617530826,12.89921522140503,-3.232161879939568,-3.316011835941251,23.68492514907462,27.00093698501587,9.987393566558255,9.934773178752481,13.489042969401895,3.554269790649414,0.0004786686331499368,0.0004715817922260612,0.0009425995303899981,0.0004710177381639369,1.9161145687103271,1.9339953660964966,6.799504965543747,4.86550959944725
ok,corpus-100,corpus-100-single-sample-000-seed-30100,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,1.0,,3763.018310546875,3765.694580078125,5993.497985839844,2227.8034057617188,-13.397302025476215,-13.406891883158112,-0.5076766617530826,12.89921522140503,-3.146563135995657,-3.316011835941251,23.68492514907462,27.00093698501587,10.048908124695842,9.934773178752481,13.489042969401895,3.554269790649414,0.0004864266375079751,0.0004715817922260612,0.0009425995303899981,0.0004710177381639369,1.8948440551757812,1.9339953660964966,6.799504965543747,4.86550959944725
