axis,site,scale,spectral_centroid_mean_hz_delta_mean,spectral_centroid_mean_hz_delta_median,spectral_centroid_mean_hz_abs_delta_mean,spectral_centroid_mean_hz_n,spectral_centroid_mean_hz_gap_fraction_mean,spectral_centroid_mean_hz_abs_gap_fraction_mean,rms_dbfs_delta_mean,rms_dbfs_delta_median,rms_dbfs_abs_delta_mean,rms_dbfs_n,rms_dbfs_gap_fraction_mean,rms_dbfs_abs_gap_fraction_mean,high_to_low_db_delta_mean,high_to_low_db_delta_median,high_to_low_db_abs_delta_mean,high_to_low_db_n,high_to_low_db_gap_fraction_mean,high_to_low_db_abs_gap_fraction_mean,crest_factor_db_delta_mean,crest_factor_db_delta_median,crest_factor_db_abs_delta_mean,crest_factor_db_n,crest_factor_db_gap_fraction_mean,crest_factor_db_abs_gap_fraction_mean,spectral_flatness_mean_delta_mean,spectral_flatness_mean_delta_median,spectral_flatness_mean_abs_delta_mean,spectral_flatness_mean_n,spectral_flatness_mean_gap_fraction_mean,spectral_flatness_mean_abs_gap_fraction_mean,onset_strength_max_delta_mean,onset_strength_max_delta_median,onset_strength_max_abs_delta_mean,onset_strength_max_n,onset_strength_max_gap_fraction_mean,onset_strength_max_abs_gap_fraction_mean
brightness,transformer.transformer_blocks.3,0.5,8.889729817708334,1.470703125,11.00830078125,6,0.003990356507543269,0.0049413250526413035,0.042599594498808756,-0.00902076335586166,0.19984191514332839,6,0.003302495056297592,0.015492563827581511,0.0810763999159387,0.056479170148941105,0.18249399313479372,6,0.003002725422489298,0.006758802231051036,0.03569810906116825,-0.006767919653453358,0.057939081668770744,6,0.010043725199218971,0.016301261604056365,-3.208187990821898e-07,4.617322701960802e-07,5.538514718258132e-06,6,-0.0006811182957413998,0.011758611766613475,0.03384105364481608,7.432699203491211e-05,0.043077548344930015,6,0.006955294805843281,0.008853656017824703
brightness,transformer.transformer_blocks.3,1.0,20.555216471354168,4.8525390625,23.675496419270832,6,0.009226674318834715,0.010627282621994123,-0.005146535692386323,-0.009713675711572556,0.3593657829111117,6,-0.00039898052742356793,0.02785950747722839,0.13739052746910285,0.12291122768372098,0.298477318946429,6,0.0050883614722462235,0.01105433189641043,0.0642477082084681,0.05940615052720233,0.09261686340845454,6,0.018076204675708977,0.02605791593314366,2.1375805469385036e-06,1.3477729225996882e-06,1.0329736445176726e-05,6,0.004538216660949872,0.021930673960269154,0.045368492603302,0.0017769932746887207,0.07259370883305867,6,0.009324509935908075,0.014920062811366304
brightness,transformer.transformer_blocks.3,2.0,30.492574055989582,4.75299072265625,53.724141438802086,6,0.013687282269668552,0.02411529729232684,0.15234450601988522,0.013660937996049505,0.6268821146742706,6,0.01181037011981038,0.04859846928005503,0.23223800419235605,0.248108078440616,0.5729350440449953,6,0.008601109077112257,0.021219080077218982,0.15227125666763733,0.11589373098183486,0.22554815644718143,6,0.042841783442616854,0.06345836690297241,-5.035884290312728e-07,3.6710771382786334e-06,1.9409082597121596e-05,6,-0.0010691496056906464,0.04120669143540046,0.36550448338190716,0.1357783079147339,0.38228652874628705,6,0.07512152137638996,0.07857070691828806
brightness,transformer.transformer_blocks.3,4.0,62.953450520833336,4.1837158203125,103.50203450520833,6,0.028258081641323565,0.046459231652812495,0.2745094377757192,0.06424205081085432,1.2473614144444702,6,0.02128109602514397,0.09670056612239415,0.5063585737340365,0.13257358026338828,1.131382883460711,6,0.01875337044840479,0.04190161563980429,0.34326890299809865,0.4024138576659899,0.45341062021265177,6,0.09657930410943248,0.1275678682033328,1.6332196537405252e-06,1.1564301530597731e-05,3.722383553395048e-05,6,0.003467427065712935,0.07902852168381563,0.4210956295331319,0.25019848346710205,0.44252731402715045,6,0.08654707609270174,0.09095189414021998
