status,pair_id,job_id,axis,factor_metric,site,stack,block,scale,audio_suffix_tokens,spectral_centroid_mean_hz,rms_dbfs,high_to_low_db,crest_factor_db,spectral_flatness_mean,onset_strength_max
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,0.0,,1537.63623046875,-16.2329396000681,-33.820618773073406,8.187919472168844,9.308465814683586e-05,3.505504846572876
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,0.5,,1540.28271484375,-16.241109591279052,-34.05903705071598,8.153134548159207,9.118515299633145e-05,3.5085339546203613
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,1.0,,1540.60302734375,-16.227497205436855,-34.303879147505384,8.13336772079227,8.862216782290488e-05,3.522003173828125
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,2.0,,1535.7330322265625,-16.145080310160147,-34.78281350426785,8.047471936333586,8.153365342877805e-05,3.5869271755218506
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,4.0,,1529.975341796875,-16.068762159956652,-35.61679483226121,8.045289177418999,6.950875831535086e-05,3.616729259490967
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,0.0,,5274.005859375,-13.837678385498878,14.680389882139188,6.986647574806578,0.000344618660164997,1.295137643814087
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,0.5,,5277.66650390625,-13.847549920999649,14.709498266435387,6.972382402832666,0.0003428523486945778,1.28818941116333
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,1.0,,5280.744140625,-13.862548131553268,14.733389427880006,6.956091860583192,0.0003415996616240591,1.2821933031082153
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,2.0,,5285.4150390625,-13.898215799414732,14.769525322458335,6.907264411303203,0.0003395711537450552,1.266146183013916
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,4.0,,5290.0341796875,-13.873371723988617,14.78250567639969,6.798852717912763,0.0003393595397938043,1.2336347103118896
ok,corpus-100,corpus-100-single-sample-000-seed-30100,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,0.0,,3765.694580078125,-13.406891883158112,-3.316011835941251,9.934773178752481,0.0004715817922260612,1.9339953660964966
ok,corpus-100,corpus-100-single-sample-000-seed-30100,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,0.5,,3764.87158203125,-13.406018263428308,-3.232161879939568,9.987393566558255,0.0004786686331499368,1.9161145687103271
ok,corpus-100,corpus-100-single-sample-000-seed-30100,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,1.0,,3763.018310546875,-13.397302025476215,-3.146563135995657,10.048908124695842,0.0004864266375079751,1.8948440551757812
ok,corpus-100,corpus-100-single-sample-000-seed-30100,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,2.0,,3740.64990234375,-13.117778019620276,-3.375908224304725,10.0218245584027,0.0005034151254221797,3.509328842163086
ok,corpus-100,corpus-100-single-sample-000-seed-30100,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,4.0,,3726.09521484375,-12.8956213357524,-3.3949087059334664,10.140045034317565,0.0005290171829983592,3.5529448986053467
ok,corpus-149,corpus-149-single-sample-000-seed-30149,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,0.0,,1847.0262451171875,-24.631731293643313,-33.429205879348764,10.897861029687974,0.00042257492896169424,0.7872036695480347
ok,corpus-149,corpus-149-single-sample-000-seed-30149,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,0.5,,1847.3211669921875,-24.8203750490947,-33.495040381362756,10.898590362354978,0.00042845139978453517,0.7843232154846191
ok,corpus-149,corpus-149-single-sample-000-seed-30149,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,1.0,,1863.7503662109375,-25.15770272830597,-33.352832123926916,11.016347486396793,0.0004394174902699888,0.7576236724853516
ok,corpus-149,corpus-149-single-sample-000-seed-30149,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,2.0,,1869.2044677734375,-24.870257690562557,-33.02212516278668,11.042597112001424,0.0004350684175733477,0.7658489942550659
ok,corpus-149,corpus-149-single-sample-000-seed-30149,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.3,dual,3,4.0,,1889.2835693359375,-25.118117313946993,-33.26617451308249,11.54065532611372,0.0004533229803200811,0.7844115495681763
