status,error,pair_id,site,stack,block,direction,source_side,target_side,alpha,suffix_tokens,patched_onset_strength_max,target_baseline_onset_strength_max,source_baseline_onset_strength_max,patched_spectral_centroid_mean_hz,target_baseline_spectral_centroid_mean_hz,source_baseline_spectral_centroid_mean_hz,patched_decay_time_to_minus_20db_ms,target_baseline_decay_time_to_minus_20db_ms,source_baseline_decay_time_to_minus_20db_ms,patched_high_to_low_db,target_baseline_high_to_low_db,source_baseline_high_to_low_db,patched_tail_energy_fraction_500ms,target_baseline_tail_energy_fraction_500ms,source_baseline_tail_energy_fraction_500ms,patched_direct_to_late_db,target_baseline_direct_to_late_db,source_baseline_direct_to_late_db,patched_reverb_proxy_score,target_baseline_reverb_proxy_score,source_baseline_reverb_proxy_score,patched_late_energy_fraction_300ms,target_baseline_late_energy_fraction_300ms,source_baseline_late_energy_fraction_300ms,patched_late_energy_fraction_700ms,target_baseline_late_energy_fraction_700ms,source_baseline_late_energy_fraction_700ms
ok,,01,transformer.transformer_blocks.3,dual,3,reverberant_to_dry,positive,negative,1.0,,4.552786827087402,4.260855197906494,9.829880714416504,1768.431884765625,2407.436279296875,2307.275634765625,185.75963718820861,928.7981859410431,52.244897959183675,-25.141455198724817,-14.954365220773628,-24.210689607900942,0.17501252903240924,0.8762220613904942,0.4013070232292032,-13.414864349221048,-15.7263380047074,6.585376791484273,0.516015312535809,0.90450833785876,0.33240892188591536,0.43230322904626645,0.9214303181601712,0.4382860600193178,0.1593107123277599,0.8181502536921722,0.37893945897800163
ok,,01,transformer.transformer_blocks.3,dual,3,dry_to_reverberant,negative,positive,1.0,,5.246423721313477,9.829880714416504,4.260855197906494,2363.717041015625,2307.275634765625,2407.436279296875,301.85941043083903,52.244897959183675,928.7981859410431,-14.197814235166291,-24.210689607900942,-14.954365220773628,0.9412808418271521,0.4013070232292032,0.8762220613904942,-10.572476513546363,6.585376791484273,-15.7263380047074,0.9367480728674272,0.33240892188591536,0.90450833785876,0.9699839409470555,0.4382860600193178,0.9214303181601712,0.9208469364688403,0.37893945897800163,0.8181502536921722
ok,,01,transformer.single_transformer_blocks.3,single,3,reverberant_to_dry,positive,negative,1.0,645,6.626683235168457,4.260855197906494,9.829880714416504,1995.8392333984375,2407.436279296875,2307.275634765625,69.65986394557822,928.7981859410431,52.244897959183675,-26.14350013240355,-14.954365220773628,-24.210689607900942,0.07027787508452323,0.8762220613904942,0.4013070232292032,-12.348362032762,-15.7263380047074,6.585376791484273,0.4554840877310033,0.90450833785876,0.33240892188591536,0.35864596874950344,0.9214303181601712,0.4382860600193178,0.06283417572122076,0.8181502536921722,0.37893945897800163
ok,,01,transformer.single_transformer_blocks.3,single,3,dry_to_reverberant,negative,positive,1.0,645,4.860452651977539,9.829880714416504,4.260855197906494,2461.877685546875,2307.275634765625,2407.436279296875,928.7981859410431,52.244897959183675,928.7981859410431,-13.53600481497419,-24.210689607900942,-14.954365220773628,0.9028783556987644,0.4013070232292032,0.8762220613904942,-15.897205912898809,6.585376791484273,-15.7263380047074,0.9298769585625571,0.33240892188591536,0.90450833785876,0.9500495479929716,0.4382860600193178,0.9214303181601712,0.8646568722548417,0.37893945897800163,0.8181502536921722
ok,,01,transformer.single_transformer_blocks.6,single,6,reverberant_to_dry,positive,negative,1.0,645,8.194696426391602,4.260855197906494,9.829880714416504,2058.26025390625,2407.436279296875,2307.275634765625,46.439909297052154,928.7981859410431,52.244897959183675,-26.07892814293466,-14.954365220773628,-24.210689607900942,0.04811834403210676,0.8762220613904942,0.4013070232292032,-14.184709709277561,-15.7263380047074,6.585376791484273,0.4724875265633068,0.90450833785876,0.33240892188591536,0.41100164308715065,0.9214303181601712,0.4382860600193178,0.043211809044058254,0.8181502536921722,0.37893945897800163
ok,,01,transformer.single_transformer_blocks.6,single,6,dry_to_reverberant,negative,positive,1.0,645,5.004580497741699,9.829880714416504,4.260855197906494,2485.265869140625,2307.275634765625,2407.436279296875,928.7981859410431,52.244897959183675,928.7981859410431,-13.472315747488388,-24.210689607900942,-14.954365220773628,0.8741430192317335,0.4013070232292032,0.8762220613904942,-15.845308469142525,6.585376791484273,-15.7263380047074,0.9116515576263451,0.33240892188591536,0.90450833785876,0.9346812714670244,0.4382860600193178,0.9214303181601712,0.8256427444578814,0.37893945897800163,0.8181502536921722
ok,,01,transformer.single_transformer_blocks.7,single,7,reverberant_to_dry,positive,negative,1.0,645,8.493978500366211,4.260855197906494,9.829880714416504,2092.1787109375,2407.436279296875,2307.275634765625,52.244897959183675,928.7981859410431,52.244897959183675,-25.758077302925436,-14.954365220773628,-24.210689607900942,0.46698085642637643,0.8762220613904942,0.4013070232292032,5.298891029542313,-15.7263380047074,6.585376791484273,0.3922781406831654,0.90450833785876,0.33240892188591536,0.506607575812405,0.9214303181601712,0.4382860600193178,0.4423105887968014,0.8181502536921722,0.37893945897800163
ok,,01,transformer.single_transformer_blocks.7,single,7,dry_to_reverberant,negative,positive,1.0,645,4.381377220153809,9.829880714416504,4.260855197906494,2473.29931640625,2307.275634765625,2407.436279296875,928.7981859410431,52.244897959183675,928.7981859410431,-13.78375347648629,-24.210689607900942,-14.954365220773628,0.8858407392907505,0.4013070232292032,0.8762220613904942,-16.5390636514628,6.585376791484273,-15.7263380047074,0.9115389503753312,0.33240892188591536,0.90450833785876,0.9279695023016982,0.4382860600193178,0.9214303181601712,0.8283525286803086,0.37893945897800163,0.8181502536921722
ok,,01,transformer.single_transformer_blocks.8,single,8,reverberant_to_dry,positive,negative,1.0,645,8.660876274108887,4.260855197906494,9.829880714416504,2125.869873046875,2407.436279296875,2307.275634765625,58.049886621315196,928.7981859410431,52.244897959183675,-25.26634748465968,-14.954365220773628,-24.210689607900942,0.4220921070855573,0.8762220613904942,0.4013070232292032,5.83707357150212,-15.7263380047074,6.585376791484273,0.3555227620350026,0.90450833785876,0.33240892188591536,0.4602206312267962,0.9214303181601712,0.4382860600193178,0.39950050846165713,0.8181502536921722,0.37893945897800163
ok,,01,transformer.single_transformer_blocks.8,single,8,dry_to_reverberant,negative,positive,1.0,645,4.641840934753418,9.829880714416504,4.260855197906494,2461.86181640625,2307.275634765625,2407.436279296875,928.7981859410431,52.244897959183675,928.7981859410431,-13.957488762141914,-24.210689607900942,-14.954365220773628,0.8817421110151037,0.4013070232292032,0.8762220613904942,-16.523055501751504,6.585376791484273,-15.7263380047074,0.9092012028306032,0.33240892188591536,0.90450833785876,0.9234996258401772,0.4382860600193178,0.9214303181601712,0.8258875696839022,0.37893945897800163,0.8181502536921722
ok,,01,transformer.single_transformer_blocks.9,single,9,reverberant_to_dry,positive,negative,1.0,645,8.672586441040039,4.260855197906494,9.829880714416504,2144.343017578125,2407.436279296875,2307.275634765625,58.049886621315196,928.7981859410431,52.244897959183675,-25.232957059276213,-14.954365220773628,-24.210689607900942,0.4084774187561496,0.8762220613904942,0.4013070232292032,6.24138061384238,-15.7263380047074,6.585376791484273,0.34125055880865895,0.90450833785876,0.33240892188591536,0.4455105544863866,0.9214303181601712,0.4382860600193178,0.3862510984792226,0.8181502536921722,0.37893945897800163
ok,,01,transformer.single_transformer_blocks.9,single,9,dry_to_reverberant,negative,positive,1.0,645,4.431913375854492,9.829880714416504,4.260855197906494,2444.716064453125,2307.275634765625,2407.436279296875,928.7981859410431,52.244897959183675,928.7981859410431,-14.16773728849119,-24.210689607900942,-14.954365220773628,0.881686407535567,0.4013070232292032,0.8762220613904942,-16.44316916317532,6.585376791484273,-15.7263380047074,0.9094175897456971,0.33240892188591536,0.90450833785876,0.923060277959567,0.4382860600193178,0.9214303181601712,0.8273715153889156,0.37893945897800163,0.8181502536921722
ok,,02,transformer.transformer_blocks.3,dual,3,reverberant_to_dry,positive,negative,1.0,,2.297485828399658,1.1804088354110718,2.569622039794922,1517.648681640625,911.5433349609375,1741.1038818359375,534.0589569160998,748.843537414966,220.58956916099774,-24.225417201859024,-38.28922513847376,-22.589282973985103,0.5175063721008966,0.7035852929630447,0.382568656876974,-7.656193925620336,-10.212825198996123,-7.007828853935334,0.6328663735941155,0.7607974214225628,0.5358651330650788,0.5473260001466556,0.8137209106622096,0.4039498094554535,0.4977001528538818,0.5556108347883785,0.36973329715250086
ok,,02,transformer.transformer_blocks.3,dual,3,dry_to_reverberant,negative,positive,1.0,,1.1540250778198242,2.569622039794922,1.1804088354110718,994.3292846679688,1741.1038818359375,911.5433349609375,342.49433106575964,220.58956916099774,748.843537414966,-35.35899178352577,-22.589282973985103,-38.28922513847376,0.6528815276690556,0.382568656876974,0.7035852929630447,-9.687355997268096,-7.007828853935334,-10.212825198996123,0.7271370332184869,0.5358651330650788,0.7607974214225628,0.7926741061063133,0.4039498094554535,0.8137209106622096,0.4857733870389235,0.36973329715250086,0.5556108347883785
ok,,02,transformer.single_transformer_blocks.3,single,3,reverberant_to_dry,positive,negative,1.0,645,2.114590883255005,1.1804088354110718,2.569622039794922,1555.3372802734375,911.5433349609375,1741.1038818359375,847.5283446712018,748.843537414966,220.58956916099774,-24.170076134256632,-38.28922513847376,-22.589282973985103,0.37941721831269454,0.7035852929630447,0.382568656876974,-6.248969064902913,-10.212825198996123,-7.007828853935334,0.5211538500359882,0.7607974214225628,0.5358651330650788,0.5859811389709627,0.8137209106622096,0.4039498094554535,0.1691995212317609,0.5556108347883785,0.36973329715250086
ok,,02,transformer.single_transformer_blocks.3,single,3,dry_to_reverberant,negative,positive,1.0,645,1.197805404663086,2.569622039794922,1.1804088354110718,1023.0656127929688,1741.1038818359375,911.5433349609375,748.843537414966,220.58956916099774,748.843537414966,-34.92153495063936,-22.589282973985103,-38.28922513847376,0.7633038436368828,0.382568656876974,0.7035852929630447,-9.408418375065757,-7.007828853935334,-10.212825198996123,0.804924851384472,0.5358651330650788,0.7607974214225628,0.8458833269494154,0.4039498094554535,0.8137209106622096,0.6717027623048253,0.36973329715250086,0.5556108347883785
ok,,02,transformer.single_transformer_blocks.6,single,6,reverberant_to_dry,positive,negative,1.0,645,2.253962993621826,1.1804088354110718,2.569622039794922,1586.9718017578125,911.5433349609375,1741.1038818359375,452.7891156462585,748.843537414966,220.58956916099774,-24.139087390583498,-38.28922513847376,-22.589282973985103,0.4277368246435322,0.7035852929630447,0.382568656876974,-6.942213662433846,-10.212825198996123,-7.007828853935334,0.565024323560336,0.7607974214225628,0.5358651330650788,0.4510163267679287,0.8137209106622096,0.4039498094554535,0.412247481574224,0.5556108347883785,0.36973329715250086
ok,,02,transformer.single_transformer_blocks.6,single,6,dry_to_reverberant,negative,positive,1.0,645,1.214591383934021,2.569622039794922,1.1804088354110718,1009.1690063476562,1741.1038818359375,911.5433349609375,748.843537414966,220.58956916099774,748.843537414966,-36.08337292844391,-22.589282973985103,-38.28922513847376,0.7583327372398324,0.382568656876974,0.7035852929630447,-9.448660437490181,-7.007828853935334,-10.212825198996123,0.8022099274030192,0.5358651330650788,0.7607974214225628,0.8423503062467049,0.4039498094554535,0.8137209106622096,0.6662394360421583,0.36973329715250086,0.5556108347883785
ok,,02,transformer.single_transformer_blocks.7,single,7,reverberant_to_dry,positive,negative,1.0,645,2.249776601791382,1.1804088354110718,2.569622039794922,1636.039794921875,911.5433349609375,1741.1038818359375,452.7891156462585,748.843537414966,220.58956916099774,-23.386291115516688,-38.28922513847376,-22.589282973985103,0.4354407929204838,0.7035852929630447,0.382568656876974,-6.866785721751942,-10.212825198996123,-7.007828853935334,0.5694320618576857,0.7607974214225628,0.5358651330650788,0.4580088443582841,0.8137209106622096,0.4039498094554535,0.4209220201787531,0.5556108347883785,0.36973329715250086
ok,,02,transformer.single_transformer_blocks.7,single,7,dry_to_reverberant,negative,positive,1.0,645,1.21573805809021,2.569622039794922,1.1804088354110718,992.986572265625,1741.1038818359375,911.5433349609375,748.843537414966,220.58956916099774,748.843537414966,-36.680849761048464,-22.589282973985103,-38.28922513847376,0.755663658453826,0.382568656876974,0.7035852929630447,-9.393465237270567,-7.007828853935334,-10.212825198996123,0.8010078841382645,0.5358651330650788,0.7607974214225628,0.840515920359891,0.4039498094554535,0.8137209106622096,0.6656372966856755,0.36973329715250086,0.5556108347883785
ok,,02,transformer.single_transformer_blocks.8,single,8,reverberant_to_dry,positive,negative,1.0,645,2.3334856033325195,1.1804088354110718,2.569622039794922,1639.771728515625,911.5433349609375,1741.1038818359375,452.7891156462585,748.843537414966,220.58956916099774,-23.51535121940611,-38.28922513847376,-22.589282973985103,0.4163154132020764,0.7035852929630447,0.382568656876974,-6.957881680004483,-10.212825198996123,-7.007828853935334,0.5578232104822928,0.7607974214225628,0.5358651330650788,0.43917843766249376,0.8137209106622096,0.4039498094554535,0.40197790934960687,0.5556108347883785,0.36973329715250086
ok,,02,transformer.single_transformer_blocks.8,single,8,dry_to_reverberant,negative,positive,1.0,645,1.2164101600646973,2.569622039794922,1.1804088354110718,990.8561401367188,1741.1038818359375,911.5433349609375,748.843537414966,220.58956916099774,748.843537414966,-36.98747166201238,-22.589282973985103,-38.28922513847376,0.7528885473858421,0.382568656876974,0.7035852929630447,-9.527652952815641,-7.007828853935334,-10.212825198996123,0.800211699936149,0.5358651330650788,0.7607974214225628,0.8391255175999393,0.4039498094554535,0.8137209106622096,0.6618161260024625,0.36973329715250086,0.5556108347883785
ok,,02,transformer.single_transformer_blocks.9,single,9,reverberant_to_dry,positive,negative,1.0,645,2.309562921524048,1.1804088354110718,2.569622039794922,1654.4912109375,911.5433349609375,1741.1038818359375,452.7891156462585,748.843537414966,220.58956916099774,-23.232607122048663,-38.28922513847376,-22.589282973985103,0.42378947990114124,0.7035852929630447,0.382568656876974,-6.981309354550569,-10.212825198996123,-7.007828853935334,0.5630408828162587,0.7607974214225628,0.5358651330650788,0.4468946112282232,0.8137209106622096,0.4039498094554535,0.40916321387899496,0.5556108347883785,0.36973329715250086
