job_id,pair_id,concept,label,side,sample_index,seed,duration,steps,guidance_scale,prompt,wav_path,status,error,sample_rate,duration_seconds,rms_dbfs,peak_dbfs,clip_fraction,silence_fraction,spectral_centroid_mean_hz,spectral_centroid_median_hz,spectral_centroid_std_hz,rolloff_85_mean_hz,rolloff_85_median_hz,rolloff_95_mean_hz,rolloff_95_median_hz,low_band_energy,high_band_energy,total_energy,high_to_low_ratio,high_to_low_db,high_to_total_ratio,onset_strength_mean,onset_strength_median,onset_strength_max,onset_strength_p95,onset_count,onset_rate_per_second,mean_inter_onset_interval_ms,median_inter_onset_interval_ms,attack_time_ms_first,attack_time_ms_median,attack_time_ms_min,attack_time_ms_valid_count,transient_energy_total,non_transient_energy_total,transient_energy_fraction,transient_energy_per_onset_mean,event_sample,event_time_seconds,post_onset_energy_100ms,post_onset_energy_250ms,post_onset_energy_500ms,post_onset_energy_1000ms,tail_energy_fraction_250ms,tail_energy_fraction_500ms,tail_energy_fraction_1000ms,late_energy_fraction_300ms,late_energy_fraction_700ms,direct_energy,late_energy,direct_to_late_ratio,direct_to_late_db,decay_time_to_minus_20db_ms,decay_slope_db_per_second,reverb_proxy_score
01-positive-sample-000-seed-601,01,percussive_sustained,positive,positive,0,601,3.5,50,4.0,a percussive wooden block is struck once,/outputs/percussive-sustained-v1/01/positive/01-positive-sample-000-seed-601.wav,ok,,44100,3.5,-25.986092532442715,0.0,0.0006997084710747004,0.02072562277317047,2119.35009765625,2360.360107421875,667.8831787109375,4448.74560546875,5189.501953125,6280.63671875,6804.4921875,523760.78125,36039.859375,597881.625,0.06880977092058665,-11.623498879912873,0.060279255738960036,0.6098880767822266,0.4268999397754669,23.26162338256836,1.2645416259765625,7,2.0,391.83673469387753,298.95691609977325,0.0,0.0,0.0,7,384.38531494140625,4.567962646484375,0.9882557548433252,56.9718747479575,42752,0.9694331065759637,143.87542724609375,145.76742553710938,145.89767456054688,147.19744873046875,0.31049290472187063,0.30987680269029294,0.30372859377454015,0.3103226033226781,0.309427645831986,131.33966064453125,4.504148006439209,29.15971243768317,14.647832368152375,92.87981859410431,-2.6192321865928547,0.2176356879880101
01-negative-sample-000-seed-601,01,percussive_sustained,negative,negative,0,601,3.5,50,4.0,a sustained bowed wooden instrument note,/outputs/percussive-sustained-v1/01/negative/01-negative-sample-000-seed-601.wav,ok,,44100,3.5,-21.684579597976,-4.83554946034225,0.0,0.0018075801199302077,1133.0078125,1136.9833984375,160.79861450195312,1991.75,2024.12109375,3780.289794921875,3832.91015625,1599890.875,1314.78173828125,1624972.875,0.0008217946353880229,-30.852366981057653,0.0008091099602393363,0.5081409811973572,0.3715250790119171,3.9184319972991943,1.5946860313415527,11,3.142857142857143,311.7278911564626,304.76190476190476,8.707482993197278,5.804988662131519,0.0,11,541.5385131835938,505.70745849609375,0.5171072774001844,49.230773492292926,41216,0.9346031746031747,77.6783447265625,95.8799819946289,118.12616729736328,147.90188598632812,0.5651348159436493,0.4642368965325134,0.3291886267462956,0.523223582244802,0.39168726424381717,51.389976501464844,55.122589111328125,0.9322852451229254,-0.30451189116496813,505.0340136054422,-2.200065321384185,0.4774775939972227
02-positive-sample-000-seed-602,02,percussive_sustained,positive,positive,0,602,3.5,50,4.0,a percussive snare drum hit once,/outputs/percussive-sustained-v1/02/positive/02-positive-sample-000-seed-602.wav,ok,,44100,3.5,-17.943461608358596,0.0,3.2393909350503236e-05,0.721308708190918,2247.224853515625,0.0,3542.734619140625,4312.6298828125,0.0,5161.83642578125,0.0,3216700.5,412380.34375,3808117.5,0.1281997947120038,-8.921126702580386,0.10828981609679848,0.1724989116191864,0.0,7.7527265548706055,0.6014227867126465,3,0.8571428571428571,258.3219954648526,258.3219954648526,29.024943310657598,29.024943310657598,0.0,3,1978.4052734375,499.932373046875,0.798279151448129,659.4684092203776,29440,0.6675736961451247,473.87347412109375,714.6559448242188,1039.44091796875,2478.27978515625,0.711632233721215,0.5805795744551737,5.464983664260366e-10,0.6852249238846013,0.02889304183199465,257.69903564453125,1561.523681640625,0.16503050108966524,-7.824357816603531,249.61451247165533,-87.41318906629161,0.524154863963498
02-negative-sample-000-seed-602,02,percussive_sustained,negative,negative,0,602,3.5,50,4.0,a sustained violin note held steadily,/outputs/percussive-sustained-v1/02/negative/02-negative-sample-000-seed-602.wav,ok,,44100,3.5,-19.828144557626015,-4.22759373974255,0.0,0.0009523809421807528,1201.6788330078125,1169.754638671875,408.99993896484375,2140.913818359375,2002.587890625,2977.1435546875,2799.31640625,2412763.75,283.62652587890625,2474952.75,0.0001175525477282665,-39.29767953928773,0.00011459876390727308,0.42730003595352173,0.4003172814846039,1.0807230472564697,0.7337219715118408,44,12.571428571428571,77.624848388968,69.65986394557822,0.0,74.01360544217687,0.0,44,1572.02783203125,33.77490234375,0.9789669667259001,64.17506926709956,1280,0.029024943310657598,61.49702453613281,174.4263458251953,302.04302978515625,478.2430419921875,0.8889766881347477,0.8077479338040305,0.6955956634942391,0.8810052935952393,0.7687234222747463,38.213462829589844,266.4429931640625,0.14342078346965526,-8.433879093923915,3465.578231292517,0.6220915596652947,0.8414324637496984
03-positive-sample-000-seed-603,03,percussive_sustained,positive,positive,0,603,3.5,50,4.0,a percussive hand clap once,/outputs/percussive-sustained-v1/03/positive/03-positive-sample-000-seed-603.wav,ok,,44100,3.5,-16.77132369106669,0.0,0.006239066831767559,0.0022675737272948027,2526.454345703125,2468.446533203125,216.90048217773438,4803.25927734375,4780.37109375,6792.72705078125,6524.560546875,3990552.5,242913.734375,4993377.0,0.06087220613561656,-12.155809582246096,0.048647184936166446,0.8856213092803955,0.31508323550224304,15.767221450805664,4.645308494567871,14,4.0,242.0233734519449,307.6643990929705,0.0,0.0,0.0,14,3134.240478515625,111.95166015625,0.9655129285717348,226.1098736354283,146688,3.3262585034013608,65.72354125976562,71.44837188720703,71.44837188720703,71.44837188720703,0.0,0.0,0.0,0.0,0.0,49.4826774597168,8.75408935546875,5.652521404616983,7.522422155798816,145.12471655328798,-111.11338650105355,0.05010631504349514
03-negative-sample-000-seed-603,03,percussive_sustained,negative,negative,0,603,3.5,50,4.0,a sustained choir vowel held softly,/outputs/percussive-sustained-v1/03/negative/03-negative-sample-000-seed-603.wav,ok,,44100,3.5,-26.27301640709774,-11.216431149048937,0.0,0.0014253320405259728,1554.622314453125,1553.1944580078125,69.04236602783203,2820.778076171875,2820.849609375,4933.52734375,4931.103515625,522959.21875,2665.790283203125,562561.5,0.005097510833779761,-22.926418425393727,0.004738664631694712,0.4879346787929535,0.486697793006897,0.8138485550880432,0.6346979737281799,51,14.571428571428571,68.49886621315193,63.85487528344672,8.707482993197278,17.414965986394556,0.0,51,361.10107421875,2.98583984375,0.9917991014551063,14.52386141758339,82432,1.8692063492063493,9.827667236328125,25.711345672607422,50.716163635253906,101.24275207519531,0.8427602458102352,0.6898412259381421,0.3808417210747731,0.8111765756514835,0.5611728896550785,4.891787528991699,54.938232421875,0.08904158931483777,-10.504070968258187,1097.142857142857,-0.1306776771300032,0.763529347660099
04-positive-sample-000-seed-604,04,percussive_sustained,positive,positive,0,604,3.5,50,4.0,a percussive metal rim click once,/outputs/percussive-sustained-v1/04/positive/04-positive-sample-000-seed-604.wav,ok,,44100,3.5,-34.93083214515322,-0.00026507636037961915,1.2957563740201294e-05,0.06042112037539482,3478.707275390625,3172.208984375,601.532470703125,6235.35986328125,6223.095703125,7245.9228515625,7192.08984375,4075.008056640625,57272.9921875,76186.421875,14.054694221810935,11.478214014038095,0.7517480251463772,0.5432689785957336,0.45052260160446167,22.586475372314453,0.6626554727554321,2,0.5714285714285714,1602.1768707482993,1602.1768707482993,0.0,0.0,0.0,2,49.098594665527344,0.4947509765625,0.9900238435185827,24.549298882484436,131072,2.972154195011338,17.578203201293945,17.777259826660156,17.810754776000977,17.813335418701172,0.0020252273439559506,0.0001448784763629823,0.0,0.0014512287008671297,0.0,16.913667678833008,0.3633344769477844,46.551232409644705,16.67931183096592,69.65986394557822,-62.98169165581812,0.007493725953130469
04-negative-sample-000-seed-604,04,percussive_sustained,negative,negative,0,604,3.5,50,4.0,a sustained metal bowl ringing tone,/outputs/percussive-sustained-v1/04/negative/04-negative-sample-000-seed-604.wav,ok,,44100,3.5,-27.546879878645775,-10.840899210993145,0.0,0.0027340459637343884,2807.624267578125,2259.6767578125,1319.880126953125,5136.5244140625,5297.16796875,7152.3740234375,7019.82421875,238768.75,160756.015625,419547.03125,0.6732707509881423,-1.7181025224877722,0.38316566117997053,0.469249427318573,0.41072964668273926,4.696229457855225,0.7417823076248169,7,2.0,489.55404383975815,461.4965986394558,0.0,2.9024943310657596,0.0,7,106.07752990722656,165.45298767089844,0.3906652219182171,18.28118051801409,1280,0.029024943310657598,25.673114776611328,68.68595123291016,123.05154418945312,157.83706665039062,0.7384066612272223,0.5313530501567908,0.39887096661715377,0.6953446259917107,0.4554090508634537,13.567851066589355,114.5499267578125,0.11844486898080016,-9.2648374812476,3453.968253968254,-1.9222711480174863,0.6816174281418572
05-positive-sample-000-seed-605,05,percussive_sustained,positive,positive,0,605,3.5,50,4.0,a percussive drumstick taps a table once,/outputs/percussive-sustained-v1/05/positive/05-positive-sample-000-seed-605.wav,ok,,44100,3.5,-22.5261885624399,0.0,0.0012568837264552712,0.4415225088596344,2344.0478515625,1671.53076171875,2894.671875,4537.51611328125,3380.712890625,5816.3173828125,6029.296875,1205096.0,19877.302734375,1325702.75,0.016494372841976905,-17.826641927859164,0.014993785548362934,0.4609687626361847,0.13687293231487274,17.29761505126953,1.2222990989685059,6,1.7142857142857142,298.3764172335601,278.6394557823129,130.6122448979592,0.0,0.0,6,859.25927734375,3.49627685546875,0.99594754639544,143.20988729409873,93440,2.1188208616780044,113.58894348144531,114.32299041748047,203.89263916015625,389.3482360839844,0.7101066344787859,0.4829814163895394,0.01271427732772594,0.7100521556960275,0.48204065138670943,109.89348602294922,91.24916076660156,1.2043232518492568,0.8074307135052188,69.65986394557822,-6.359511710825284,0.548582259879734
05-negative-sample-000-seed-605,05,percussive_sustained,negative,negative,0,605,3.5,50,4.0,a sustained flute note held in the air,/outputs/percussive-sustained-v1/05/negative/05-negative-sample-000-seed-605.wav,ok,,44100,3.5,-19.72441750802602,-7.174079445858811,0.0,0.0009199870401062071,1028.0633544921875,1031.996826171875,87.13111114501953,1639.37548828125,1658.056640625,2583.627685546875,2627.05078125,2505218.5,218.97772216796875,2529346.0,8.740863208856583e-05,-40.58445676252158,8.657483877965638e-05,0.38066762685775757,0.35264167189598083,1.83290696144104,0.6648494005203247,18,5.142857142857143,173.46672002134187,168.34467120181407,156.73469387755102,29.024943310657594,0.0,18,1101.42919921875,543.1881103515625,0.6697176253766411,65.84203142589993,7936,0.1799546485260771,45.213008880615234,126.58695220947266,199.74354553222656,441.9141540527344,0.9222430598623635,0.8773061902637758,0.7285512336385347,0.9082825158102501,0.8480009249842706,21.452484130859375,178.80810546875,0.11997489752839303,-9.209096123300895,2403.265306122449,-0.45709891603928915,0.8830535318789557
