block,cv_pearson_am_rate,cv_pearson_attack,cv_pearson_decay,cv_pearson_density,cv_pearson_f0,cv_pearson_tail,cv_spearman_am_rate,cv_spearman_attack,cv_spearman_decay,cv_spearman_density,cv_spearman_f0,cv_spearman_tail,n_am_rate,n_attack,n_decay,n_density,n_f0,n_tail,r2_am_rate,r2_attack,r2_decay,r2_density,r2_f0,r2_tail,site,stability_cos_am_rate,stability_cos_attack,stability_cos_decay,stability_cos_density,stability_cos_f0,stability_cos_tail,stack
0,0.07641759597161234,0.3136290653724334,0.144033592961559,0.4005156365959802,0.5174018075652049,0.05457833353111546,0.07461738587817404,0.30798790380646085,0.19676590025440405,0.4068057408918543,0.3484404487767716,0.06510785772572361,250,250,250,250,223,250,-0.06730466378730363,0.023125362352702905,-0.03589917604260726,0.13855781749572674,0.21379021193989184,-0.10913982396256627,transformer.transformer_blocks.0,0.20174957811832428,0.3665640354156494,0.039788007736206055,0.1171560287475586,0.2956133484840393,0.08633557707071304,dual
1,0.11947258197998017,0.3251637579018947,0.20492278844956152,0.3939446752708838,0.5182130897312889,0.0440361792563227,0.12637987807804923,0.30605635290164646,0.2485944415110642,0.39692526280420476,0.3395075488685354,0.06374079585273364,250,250,250,250,223,250,-0.04290115512118666,0.03370114202372203,-0.00558590394377827,0.1323220460451446,0.21870594770529433,-0.11522841462131712,transformer.transformer_blocks.1,0.2503665089607239,0.3777432143688202,0.08332183212041855,0.20471850037574768,0.4014796018600464,0.1042306199669838,dual
2,0.1367839224747093,0.2995667363980195,0.2099038491430852,0.39071212711169906,0.5176349743832784,0.049563265951071016,0.14746104737675803,0.29061392982287715,0.24762444199107186,0.3922419238707819,0.3442753692193154,0.0520777612441799,250,250,250,250,223,250,-0.02763122978225614,0.005095362534990766,-0.0035923886870774966,0.12657689909464503,0.21911626371122955,-0.11923560333829326,transformer.transformer_blocks.2,0.24645046889781952,0.3886874318122864,0.07027480006217957,0.21387243270874023,0.4377402663230896,0.11295424401760101,dual
3,0.20669688659089602,0.29887557307412305,0.26829536471011506,0.40015583404027255,0.5387278157451517,0.03127241070494216,0.20674929198867179,0.3135222003552056,0.2917275476407622,0.3952387078193251,0.3506133455685025,0.026886958191331058,250,250,250,250,223,250,0.0021495783262204028,0.014002833514625213,0.03395516742066347,0.1317548905405483,0.24757964798298532,-0.1441620599721752,transformer.transformer_blocks.3,0.2630201578140259,0.2667275071144104,0.0956035852432251,0.3739350140094757,0.3796129822731018,0.13864582777023315,dual
4,0.22925238317018154,0.2865320571745437,0.3029502640581028,0.40614498720143194,0.5658560664016125,0.02513699660982206,0.22313713819421108,0.3059903038448615,0.3143969663514616,0.4069409110545768,0.35376988936405973,0.034516392262276194,250,250,250,250,223,250,0.012759253724515918,-0.003659507340951462,0.056690733950100956,0.13961950407970988,0.279191491323335,-0.1599569182095976,transformer.transformer_blocks.4,0.22292692959308624,0.2526927590370178,0.1101379543542862,0.3317968249320984,0.3820757269859314,0.07587514817714691,dual
5,0.22500576734322883,0.299816162461664,0.2472075338914551,0.42291516368359605,0.5784987380756187,0.06927317596976112,0.2110186722987568,0.31759880958095327,0.26733931742907885,0.42110689771036336,0.3521164101321052,0.06301502424038784,250,250,250,250,223,250,0.006089792504945147,0.009304240185186297,0.013576616898936434,0.15416135399636652,0.3000995975320169,-0.10992380331746739,transformer.transformer_blocks.5,0.2633095681667328,0.2535415291786194,0.08226100355386734,0.362174391746521,0.3520473837852478,0.05422227457165718,dual
0,0.23961214837524525,0.3107983275118426,0.2504168063195767,0.42224553179048735,0.5756601007216887,0.0985266828244643,0.21249555992895883,0.32383737339797436,0.2641382422118754,0.4158498535976576,0.348334401024984,0.09347746363941822,250,250,250,250,223,250,0.020439496678420443,0.01856954954891441,0.01565316285606304,0.15721927750018366,0.29530012422013885,-0.08618213837400521,transformer.single_transformer_blocks.0,0.2023305594921112,0.13367310166358948,0.0018654018640518188,0.13151240348815918,0.38626962900161743,0.07767738401889801,single
1,0.26986306063858106,0.31683053915356085,0.23028738616510222,0.4339179795478035,0.5884201533930988,0.10083138251569769,0.2417368597897566,0.3310021600345605,0.25499044784716557,0.4239608313733019,0.3558345741641705,0.10051092017472278,250,250,250,250,223,250,0.04331493868968859,0.01918694871637634,0.003587962528955346,0.16928369886754274,0.3107887981900036,-0.08334214200583509,transformer.single_transformer_blocks.1,0.20469531416893005,0.07910291850566864,0.024663828313350677,0.06499309837818146,0.2900843024253845,0.05250925570726395,single
2,0.27403959566692,0.31970545184954996,0.22980569502753315,0.44736168952273253,0.5815733866581178,0.08775991238820792,0.24377209235347763,0.32725426006816105,0.2574235107761724,0.4353788700619209,0.34434029641428743,0.08747467959487351,250,250,250,250,223,250,0.04649008040776006,0.025160716842684304,-0.0023985880879973777,0.18196685408380697,0.2973566660477129,-0.08978126467805807,transformer.single_transformer_blocks.2,0.19999152421951294,0.11386533081531525,0.02052263543009758,0.19495399296283722,0.3333168029785156,0.07979018986225128,single
3,0.28048299226417867,0.32393197401123713,0.2334955053727735,0.45381343799934526,0.5700620265650322,0.07860786663758722,0.2514099745595929,0.3350004320069121,0.2573067729083665,0.43829270868333886,0.32908673407552325,0.07553055248883982,250,250,250,250,223,250,0.05450612697818617,0.03351564284113493,0.004929520855098746,0.18843762623761126,0.28289574776392035,-0.08936792027757486,transformer.single_transformer_blocks.3,0.2148449718952179,0.17380192875862122,0.030270323157310486,0.18359476327896118,0.30924856662750244,0.09471335262060165,single
4,0.30290528689526336,0.32198164335055496,0.21456397214295975,0.44889340727585825,0.5603829051592042,0.05232342633917298,0.2630760812172995,0.32331589305428887,0.23797667162674602,0.43655623289972634,0.3102968038506155,0.059052848845581526,250,250,250,250,223,250,0.07473251446596182,0.03055142309431067,-0.004443180181900286,0.1832878195989931,0.27043247309732865,-0.11761857480243851,transformer.single_transformer_blocks.4,0.17290650308132172,0.1886615753173828,0.018870357424020767,0.24449968338012695,0.4024959206581116,0.05257096141576767,single
5,0.29239207692666275,0.3311788568730819,0.21385035030268842,0.45706634675968844,0.5429473944583512,0.05849421988628056,0.25957010512168194,0.3352100993615898,0.24072692363077805,0.4429076945231123,0.3004462662534411,0.05468669898718379,250,250,250,250,223,250,0.06642903783319092,0.039659261512361564,-0.004720004764697782,0.19176422168184365,0.25361338193078586,-0.10536054682942689,transformer.single_transformer_blocks.5,0.1567169427871704,0.18294550478458405,0.08557575196027756,0.26534557342529297,0.351249635219574,0.07505674660205841,single
6,0.29290107872931265,0.3233322060923577,0.2647836149229161,0.45598862114443667,0.5323012872813727,0.06381593426451256,0.2488317573081169,0.33119877118033886,0.28311275380406087,0.4398571497143954,0.2657372699413058,0.05637402198435174,250,250,250,250,223,250,0.06451233235121323,0.028848176976743488,0.03396940659918686,0.18449936396283226,0.23712034578513502,-0.09832061179529135,transformer.single_transformer_blocks.6,0.1481519490480423,0.18367700278759003,0.046561408787965775,0.25313031673431396,0.3091142177581787,0.031059861183166504,single
