site,stack,block,decode_accuracy,decode_accuracy_std,n,r2_direct_to_late_db,r2_direct_to_late_db_std,n_direct_to_late_db,r2_reverb_proxy_score,r2_reverb_proxy_score_std,n_reverb_proxy_score,r2_tail_energy_fraction_500ms,r2_tail_energy_fraction_500ms_std,n_tail_energy_fraction_500ms,r2_late_energy_fraction_300ms,r2_late_energy_fraction_300ms_std,n_late_energy_fraction_300ms,r2_late_energy_fraction_700ms,r2_late_energy_fraction_700ms_std,n_late_energy_fraction_700ms,r2_decay_time_to_minus_20db_ms,r2_decay_time_to_minus_20db_ms_std,n_decay_time_to_minus_20db_ms,r2_high_to_low_db,r2_high_to_low_db_std,n_high_to_low_db,r2_onset_strength_max,r2_onset_strength_max_std,n_onset_strength_max
transformer.transformer_blocks.0,dual,0,0.85,0.09354143466934853,40,-1.122702149297679,0.9369823817348419,40,-3.6521729759335266,2.5928814904732134,40,-4.075302707971481,2.796385612400426,40,-5.965173816741727,5.0799602720865265,40,-6.65613378771824,5.9059440549893285,40,-5.121342519992426,4.217192313665091,40,-8.77434445625631,13.672541371105128,40,-3.7642155373901773,4.358075923077837,40
transformer.transformer_blocks.1,dual,1,0.825,0.09999999999999999,40,-0.6566818007165971,0.7102971583416463,40,-1.71316096289898,1.0908049780751068,40,-2.582317760281321,1.51661602306204,40,-2.785397575537258,2.2622675662226617,40,-4.009923405079318,3.7199052489872764,40,-2.404720782293499,1.2649080373490322,40,-3.9697300689892288,5.976225391141854,40,-3.054679043884976,2.711894684547282,40
transformer.transformer_blocks.2,dual,2,0.875,0.07905694150420949,40,-0.7422854878317124,0.7474217257511618,40,-1.6608954702107255,1.1072103319807438,40,-2.6777151768498952,1.4964646674568374,40,-2.6168989725589156,2.0483706047849726,40,-3.773632434868415,3.155851295198748,40,-1.9622154727494583,1.3543168243069907,40,-2.8933365641813884,4.117829178090754,40,-2.6067814612717837,2.061009023151286,40
transformer.transformer_blocks.3,dual,3,0.85,0.09354143466934853,40,-0.646772761189,0.9994925651345893,40,-1.0937929766551562,1.0721322270012459,40,-1.921671223971656,1.0737030073835032,40,-2.7371576339410653,2.9425054899222314,40,-2.6244823198830676,2.549247746540194,40,-0.862938229099462,0.8056252958430927,40,-0.9185213232977617,1.670115028630922,40,-1.6422953281440074,1.200015096616891,40
transformer.transformer_blocks.4,dual,4,0.85,0.09354143466934853,40,-0.8908642867352599,1.039912034358081,40,-0.8884935522691727,1.0775278299268725,40,-1.8158986389838858,1.2187727095451573,40,-2.1808951311416704,2.0939886581539757,40,-3.0425528461555724,3.845364537285232,40,-0.6006006016927573,0.3592826196192941,40,-1.081255999172496,1.7105389781705904,40,-1.5597902350016613,1.6876654013827168,40
transformer.transformer_blocks.5,dual,5,0.875,0.07905694150420949,40,-1.0274429114271282,1.160118811574248,40,-1.2454514317893373,1.3908733079452726,40,-2.214376797848036,1.3566990208148575,40,-2.1380549250829657,2.182357818782163,40,-3.5448259032364566,4.306237928150165,40,-0.6883220688175413,0.3503696743628649,40,-0.5406903532989733,1.0785487781952425,40,-1.1996768870065782,1.3078605489103057,40
transformer.single_transformer_blocks.0,single,0,0.9,0.09354143466934853,40,-0.9217176834771124,1.2683124789833156,40,-0.9013233900618012,0.8637892297923324,40,-2.251874515776197,1.1199197957777325,40,-2.1633779099064454,1.691493158304778,40,-3.2840205032401686,2.9475573920347187,40,-0.5285897660394111,0.3511365684839728,40,-0.5283587055280411,1.251123766443,40,-0.9288699286400363,1.0411549162787503,40
transformer.single_transformer_blocks.1,single,1,0.9,0.09354143466934853,40,-1.066734338693258,1.436532072223401,40,-1.3412578588364459,1.39075351730549,40,-2.397640527984147,1.300664253768185,40,-2.7882567656952473,2.5292261686915603,40,-3.898097314569187,4.274084702037992,40,-0.883974212369629,0.4643772949648783,40,-0.5214488536030004,1.180618358240475,40,-1.1956383150643006,1.1915393964450762,40
transformer.single_transformer_blocks.2,single,2,0.9,0.09354143466934853,40,-1.1041473169489444,1.3824136018932505,40,-1.067376815148004,1.050074894685647,40,-2.1662747634547115,1.1655989281563692,40,-2.3063642756827734,2.1274581583505934,40,-3.1717708075616353,3.2403542307146433,40,-0.7813673908204952,0.48713135282797626,40,-0.29616478505635124,0.7245328411309857,40,-1.0962928138328039,1.030555882583798,40
transformer.single_transformer_blocks.3,single,3,0.875,0.11180339887498948,40,-0.9457061359256741,1.186737031499648,40,-0.8091171767832893,0.9446475135550688,40,-1.5879780606192344,0.8764445369889056,40,-1.837406273941717,2.0491164991422703,40,-2.2400934027649173,2.2373166100343593,40,-0.545034917128431,0.3664634426537572,40,-0.27066042206982527,0.6019857734008718,40,-0.9508000371480219,0.7781793386015335,40
transformer.single_transformer_blocks.4,single,4,0.875,0.11180339887498948,40,-1.0345849884056186,0.9503683373366624,40,-1.070748220846434,1.0224404535921015,40,-1.9914439322409023,1.0222299594237092,40,-2.242427328930657,2.1887966065561106,40,-2.9016780787742116,3.060832778546137,40,-0.6465005907686912,0.34344621981419193,40,-0.3946909554374549,0.693289088212591,40,-0.6086161815577192,0.5960058820639221,40
transformer.single_transformer_blocks.5,single,5,0.9,0.09354143466934853,40,-1.3038066605149994,1.0845606670066927,40,-1.0149446903398118,1.153127914952487,40,-1.7294403916935543,0.9699635946247859,40,-1.7768768139539475,1.9408763085196505,40,-2.446622635655504,2.5191483042576994,40,-0.8408955473193014,0.22131187136872899,40,-0.5204831995095285,0.7332109735039479,40,-0.5200867179351866,0.5768763596712078,40
transformer.single_transformer_blocks.6,single,6,0.95,0.06123724356957946,40,-1.240392198886045,1.3020730822689688,40,-0.8366379578992627,1.0545358391162167,40,-1.6237348239072353,1.024121154789664,40,-1.6189531706530118,1.894425156367602,40,-2.401128105989483,2.775398795539366,40,-0.39800072164030875,0.3514688601392349,40,-0.3704530347091722,0.74713620553445,40,-0.8165876940124523,0.36350526016393137,40
transformer.single_transformer_blocks.7,single,7,0.95,0.06123724356957946,40,-1.064918560100128,1.181048191698465,40,-0.81880109342856,0.8891785393198173,40,-1.7020968007002204,0.9337358574180527,40,-1.6730941145416138,1.4013678950560051,40,-2.6441964391771644,2.7069595779247178,40,-0.30418979487929265,0.3836971100127185,40,-0.22579628516900935,0.5808505770337332,40,-0.8333835295076796,0.7558889902980436,40
transformer.single_transformer_blocks.8,single,8,0.9,0.049999999999999996,40,-1.7978993559915921,1.4482943472549816,40,-0.9914273273631189,1.0921359773183825,40,-1.604915948252676,1.1039394578128208,40,-1.5483469830369287,1.79606355895012,40,-2.5282840297896603,2.8361129604385296,40,-1.6595221998608882,0.7643554290213911,40,-0.3689082135911389,0.575725073457642,40,-1.748699294231238,1.162806594956909,40
transformer.single_transformer_blocks.9,single,9,0.875,0.07905694150420949,40,-1.9697362402499685,1.634400382193489,40,-0.8261249530731571,1.0289979266808824,40,-1.3432888705432198,1.040988146513072,40,-1.7861603616954809,2.173065295670457,40,-1.6903673690096697,1.2151095359328832,40,-2.2925334064867613,0.866612081553702,40,-0.58464137814404,0.6078849406507097,40,-1.073616636284645,0.5160970045898339,40
transformer.single_transformer_blocks.10,single,10,0.9,0.09354143466934853,40,-1.3535216458959654,1.4457102522301362,40,-1.5301668798981929,2.089225581154922,40,-1.8805973283175477,1.5372048430960796,40,-2.46585871907074,3.0502908349546654,40,-3.5442467900737555,4.854605231648328,40,-2.213345102173064,1.1627108322071595,40,-0.5708868219726834,0.6106806813308437,40,-1.1558993150999954,1.0243571523670079,40
transformer.single_transformer_blocks.11,single,11,0.875,0.11180339887498948,40,-1.3232961501655172,1.0340572540274284,40,-1.6478916821005458,2.1711333364333143,40,-1.6652379419446723,1.2345932850506245,40,-2.4845506205300607,3.098489034950486,40,-2.429812349492971,2.4802151802553523,40,-1.2130384267584393,0.3884794966237323,40,-0.28619943305427165,0.4518253760630729,40,-1.036056525858735,0.5023632357241837,40
transformer.single_transformer_blocks.12,single,12,0.825,0.09999999999999999,40,-1.1116668348270977,0.9734826727439339,40,-1.192872599275099,1.2693212788927002,40,-1.5919694492231096,0.8111089752523549,40,-2.017665706997929,2.1249899762239837,40,-2.4419423980437265,2.295296643873534,40,-1.7255609621471528,0.9531020638924158,40,-0.37720354671156164,0.5200419611014313,40,-1.304029984628337,0.7912913443472518,40
transformer.single_transformer_blocks.13,single,13,0.875,0.11180339887498948,40,-1.043461541140855,1.0781748595437888,40,-1.5060079438337233,1.5764399512100298,40,-2.0312869541177894,1.0279532358769987,40,-2.7425778385873216,3.0169414516419355,40,-3.4957927499311614,3.895074023938173,40,-1.4729244983694199,0.7278522009856297,40,-0.3753464923868982,0.6994966885847975,40,-1.0879208154798585,0.3787016227870892,40
transformer.single_transformer_blocks.14,single,14,0.85,0.1224744871391589,40,-1.4111767391608239,1.3101709913289432,40,-1.9739474819727652,1.8728614565108175,40,-2.5251727082714184,1.248310898622124,40,-3.5416782458068035,3.857537214089497,40,-3.8631767071535115,3.894770617935622,40,-1.7520822987577263,0.7169165451185877,40,-0.4367638068820533,0.8808480283616975,40,-0.991215450959757,0.32543680775280015,40
transformer.single_transformer_blocks.15,single,15,0.85,0.1224744871391589,40,-1.2384038704736933,1.1211412787805457,40,-1.6198504702519763,1.3440138977280682,40,-2.6651181169484532,1.2803338881884208,40,-3.144611740910715,3.0758760973500006,40,-3.7960644620814277,3.365895059740258,40,-1.6347161430528814,0.9076730263681958,40,-0.5873594697845717,1.12433336871147,40,-1.0294560491992193,0.901365163576976,40
transformer.single_transformer_blocks.16,single,16,0.85,0.1224744871391589,40,-1.1014861635215976,1.19576213217635,40,-1.658596605180191,1.6051055253613153,40,-2.555395495413374,1.6744690632300838,40,-3.059372861869028,3.178941215982541,40,-4.341383396234249,5.236999588844849,40,-1.3007504655490418,0.5019321517310074,40,-0.551761247037481,0.9579432251333063,40,-1.047150359153179,1.041358569197624,40
transformer.single_transformer_blocks.17,single,17,0.85,0.1224744871391589,40,-1.165275318108828,1.1315941588993157,40,-1.725224767712484,1.7722845695723446,40,-2.7982466116701987,2.138136850473881,40,-3.187781043838023,3.42451517440537,40,-5.351951604253817,7.156135917715142,40,-1.0401482796887378,0.6586985522316415,40,-0.5989290001247751,0.9824658630586557,40,-1.0864593178481678,0.7854032342550666,40
