block,cv_pearson_am_rate,cv_pearson_attack,cv_pearson_decay,cv_pearson_density,cv_pearson_f0,cv_pearson_tail,cv_spearman_am_rate,cv_spearman_attack,cv_spearman_decay,cv_spearman_density,cv_spearman_f0,cv_spearman_tail,n_am_rate,n_attack,n_decay,n_density,n_f0,n_tail,r2_am_rate,r2_attack,r2_decay,r2_density,r2_f0,r2_tail,site,stability_cos_am_rate,stability_cos_attack,stability_cos_decay,stability_cos_density,stability_cos_f0,stability_cos_tail,stack
0,0.07078272646796015,0.264245515416935,0.11554953975415781,0.3844421961044182,0.4956132150874039,0.0664944546997803,0.06523457975327604,0.2568137090193443,0.17387222195555127,0.39192166274660395,0.33677519608012874,0.07340930254884076,250,250,250,250,223,250,-0.13745837129960686,-0.04222316123883363,-0.0864233068389995,0.11366383306327214,0.192590453953835,-0.11818416736251561,transformer.transformer_blocks.0,0.13835681974887848,0.390495240688324,0.12864060699939728,0.13523295521736145,0.7165424823760986,0.08203225582838058,dual
1,0.15031070248625084,0.2622637279329655,0.16281474561109643,0.36057747297247317,0.4740412532070872,0.04369417122525879,0.11656468103489653,0.24809139346229536,0.2183793020688331,0.36263889022224355,0.31753835032983013,0.05744463111409782,250,250,250,250,223,250,-0.07480539747051629,-0.030056570908669998,-0.06358570549259643,0.08932060839422377,0.17597974667078933,-0.13250612364013545,transformer.transformer_blocks.1,0.17079704999923706,0.31779250502586365,0.1654222160577774,0.161428302526474,0.6824960112571716,0.045022040605545044,dual
2,0.14599211472715865,0.24395770494021704,0.17094834926346567,0.3514124871720428,0.48593707984347545,0.0428103397466837,0.13441482263716217,0.22733739739835834,0.2141321941151058,0.35747784764556234,0.3270371989542393,0.053411030576489216,250,250,250,250,223,250,-0.08352323559544272,-0.05068757895031506,-0.0562529109581037,0.07614695844640777,0.191112482404948,-0.14501802289738958,transformer.transformer_blocks.2,0.18121498823165894,0.30259400606155396,0.15683475136756897,0.14066791534423828,0.645658552646637,0.13194337487220764,dual
3,0.1549651106512399,0.27613766116534166,0.25909056569959865,0.387728379753817,0.5007687550835641,0.036606425843731076,0.16085210963375413,0.2682409638554216,0.29029750876014015,0.38133614937839005,0.325536298630469,0.025671962751404022,250,250,250,250,223,250,-0.08997765115310996,-0.020007065962948968,0.019090045947540824,0.10392426314370529,0.19696289558304594,-0.1798616471036527,transformer.transformer_blocks.3,0.23197229206562042,0.25143951177597046,0.2774743437767029,0.26628583669662476,0.6515523195266724,0.06612484157085419,dual
4,0.14417351384105775,0.2927712231178855,0.3078164153082449,0.43555796037695654,0.5637786484695037,0.04517913480521478,0.1405727451639226,0.2966051936830989,0.32575202803244846,0.4340671050736811,0.3606359402323528,0.050547880766092256,250,250,250,250,223,250,-0.08926786981739407,0.0037447788066938604,0.05409363666326299,0.15913780600384622,0.276478830447222,-0.16298355555248567,transformer.transformer_blocks.4,0.2965956926345825,0.2239508181810379,0.20132264494895935,0.33305177092552185,0.6643681526184082,0.09195981174707413,dual
5,0.1659436921242573,0.26826679964473393,0.24665514927698753,0.41507385087611887,0.5960613240501746,0.06572303991825089,0.1515699131186099,0.2586761388182211,0.2617804444871118,0.41418557096913544,0.34794700209498414,0.06465242643882302,250,250,250,250,223,250,-0.05738282977990152,-0.02346418933687202,0.013943545919434874,0.13965214671416668,0.3155972999072582,-0.12345546456762375,transformer.transformer_blocks.5,0.20883530378341675,0.2747688293457031,0.12435364723205566,0.4138103425502777,0.6862542033195496,0.1711764633655548,dual
0,0.19244586801607283,0.2993422806984779,0.2673091380764996,0.42909562786951533,0.5702954150534043,0.0763132274342151,0.1772883406134498,0.27737032592521477,0.28040627850045596,0.43350952815245036,0.29157180082067974,0.07790908654538471,250,250,250,250,223,250,-0.022360418258263494,0.005336572942122109,0.03077384815828359,0.15696829904014703,0.2840332171512741,-0.11070031902399295,transformer.single_transformer_blocks.0,0.20736092329025269,0.32492297887802124,0.12587232887744904,0.4360915422439575,0.6139490604400635,0.18132203817367554,single
1,0.21896094314977038,0.28838342258406324,0.27105814180813553,0.449935826395102,0.5672880222738885,0.10186553615025222,0.2048430854893678,0.28051149618393895,0.28420025920414727,0.45135352565641046,0.28576514535034714,0.09709480151682426,250,250,250,250,223,250,-0.0011075488397650046,-0.011590052815939856,0.03432279628998125,0.17869822531189064,0.2796818107800899,-0.09167775686626371,transformer.single_transformer_blocks.1,0.19147740304470062,0.27693313360214233,0.11868160963058472,0.40235835313796997,0.5247155427932739,0.17850959300994873,single
2,0.21976177280343626,0.31306019187369744,0.2760356643914123,0.4659667322490631,0.5567603074079818,0.09345347071136591,0.19710996975951614,0.32237661402582435,0.2915962175394806,0.4650663850621609,0.2741485880499333,0.09084318149090385,250,250,250,250,223,250,-0.001709279761240734,0.01780897353855171,0.033647583607314235,0.194578124588702,0.26577814285523865,-0.08946226809719329,transformer.single_transformer_blocks.2,0.19310662150382996,0.28035521507263184,0.06680544465780258,0.40397727489471436,0.5167123079299927,0.1717969924211502,single
3,0.21925788536466492,0.309896945034982,0.2862122843500414,0.4564079369888474,0.554626091794421,0.09268061631070593,0.2132528200451207,0.31689838237411794,0.3109132626122018,0.449785244563913,0.27746744983292065,0.08327134834157346,250,250,250,250,223,250,0.006069288900954284,0.00981021851875492,0.047094355115702126,0.18419305037919848,0.2636992616154138,-0.08164763920101803,transformer.single_transformer_blocks.3,0.22487537562847137,0.27708831429481506,0.11151741445064545,0.37572363018989563,0.41854041814804077,0.07129741460084915,single
