status,error,pair_id,site,stack,block,direction,source_side,target_side,alpha,suffix_tokens,patched_spectral_centroid_mean_hz,target_baseline_spectral_centroid_mean_hz,source_baseline_spectral_centroid_mean_hz,patched_rms_dbfs,target_baseline_rms_dbfs,source_baseline_rms_dbfs,patched_high_to_low_db,target_baseline_high_to_low_db,source_baseline_high_to_low_db,patched_crest_factor_db,target_baseline_crest_factor_db,source_baseline_crest_factor_db,patched_onset_strength_max,target_baseline_onset_strength_max,source_baseline_onset_strength_max,patched_spectral_flatness_mean,target_baseline_spectral_flatness_mean,source_baseline_spectral_flatness_mean
ok,,00,transformer.transformer_blocks.3,dual,3,negative_to_positive,positive,negative,1.0,,4548.04296875,1060.0931396484375,4842.2060546875,-10.293572050268779,-5.692317754997006,-9.18364564899337,23.059885493095422,-26.247107709786945,39.84614665313074,6.723782130644303,4.884659641613962,5.425656696675706,3.0304903984069824,1.8140525817871094,4.945204734802246,8.747067477088422e-05,0.0001909102575154975,3.776247103814967e-05
ok,,00,transformer.transformer_blocks.3,dual,3,positive_to_negative,negative,positive,1.0,,1137.4052734375,4842.2060546875,1060.0931396484375,-5.040262849166296,-9.18364564899337,-5.692317754997006,-23.688643553995185,39.84614665313074,-26.247107709786945,4.5101339244730445,5.425656696675706,4.884659641613962,1.1925417184829712,4.945204734802246,1.8140525817871094,0.0001528795837657526,3.776247103814967e-05,0.0001909102575154975
ok,,00,transformer.single_transformer_blocks.3,single,3,negative_to_positive,positive,negative,1.0,645,4522.13427734375,1060.0931396484375,4842.2060546875,-10.07845462033334,-5.692317754997006,-9.18364564899337,25.3577160106967,-26.247107709786945,39.84614665313074,6.737277093736372,4.884659641613962,5.425656696675706,2.954096794128418,1.8140525817871094,4.945204734802246,6.405326712410897e-05,0.0001909102575154975,3.776247103814967e-05
ok,,00,transformer.single_transformer_blocks.3,single,3,positive_to_negative,negative,positive,1.0,645,1094.5079345703125,4842.2060546875,1060.0931396484375,-4.906271557551477,-9.18364564899337,-5.692317754997006,-24.680954558758877,39.84614665313074,-26.247107709786945,4.554982863128471,5.425656696675706,4.884659641613962,1.6022614240646362,4.945204734802246,1.8140525817871094,0.0001890419953269884,3.776247103814967e-05,0.0001909102575154975
ok,,01,transformer.transformer_blocks.3,dual,3,negative_to_positive,positive,negative,1.0,,3512.248779296875,1124.0421142578125,4165.81005859375,-20.04078042981192,-18.51797257884726,-19.833216729076813,-6.508407112916275,-34.59615987939997,-3.177464080393038,8.148290478353607,9.95760726205373,7.498699028223484,18.409099578857422,0.6909732818603516,17.94524383544922,0.0013765698531642556,0.0002891446929425001,0.002115032635629177
ok,,01,transformer.transformer_blocks.3,dual,3,positive_to_negative,negative,positive,1.0,,970.9954223632812,4165.81005859375,1124.0421142578125,-20.017888008592216,-19.833216729076813,-18.51797257884726,-38.81394092872649,-3.177464080393038,-34.59615987939997,10.061497355575725,7.498699028223484,9.95760726205373,0.8074487447738647,17.94524383544922,0.6909732818603516,0.00033157755387946963,0.002115032635629177,0.0002891446929425001
ok,,01,transformer.single_transformer_blocks.3,single,3,negative_to_positive,positive,negative,1.0,645,3799.432861328125,1124.0421142578125,4165.81005859375,-19.676344816654584,-18.51797257884726,-19.833216729076813,-5.354577779397232,-34.59615987939997,-3.177464080393038,8.006945740620694,9.95760726205373,7.498699028223484,18.02812385559082,0.6909732818603516,17.94524383544922,0.0015208147233352065,0.0002891446929425001,0.002115032635629177
ok,,01,transformer.single_transformer_blocks.3,single,3,positive_to_negative,negative,positive,1.0,645,1039.02978515625,4165.81005859375,1124.0421142578125,-20.235691537924836,-19.833216729076813,-18.51797257884726,-35.85490566717728,-3.177464080393038,-34.59615987939997,10.264226294604406,7.498699028223484,9.95760726205373,0.7802869081497192,17.94524383544922,0.6909732818603516,0.00032115192152559757,0.002115032635629177,0.0002891446929425001
ok,,02,transformer.transformer_blocks.3,dual,3,negative_to_positive,positive,negative,1.0,,1388.0106201171875,1138.8150634765625,1444.182373046875,-17.949949072998276,-7.584637590284009,-18.939262879443717,-17.181697544805136,-31.617654810451015,-11.330337197969197,7.221062074037066,4.081117159309709,7.883549183172606,3.6673173904418945,1.1247756481170654,4.290257453918457,4.466468089958653e-05,2.4761271561146714e-05,4.5378175855148584e-05
ok,,02,transformer.transformer_blocks.3,dual,3,positive_to_negative,negative,positive,1.0,,1135.2322998046875,1444.182373046875,1138.8150634765625,-10.086195336980094,-18.939262879443717,-7.584637590284009,-30.95297208244056,-11.330337197969197,-31.617654810451015,4.057494309571798,7.883549183172606,4.081117159309709,1.294944167137146,4.290257453918457,1.1247756481170654,3.256641866755672e-05,4.5378175855148584e-05,2.4761271561146714e-05
