site,spectral_centroid_mean_hz_toward_source_mean,spectral_centroid_mean_hz_toward_source_median,spectral_centroid_mean_hz_frac_moved_toward,spectral_centroid_mean_hz_n,rms_dbfs_toward_source_mean,rms_dbfs_toward_source_median,rms_dbfs_frac_moved_toward,rms_dbfs_n,high_to_low_db_toward_source_mean,high_to_low_db_toward_source_median,high_to_low_db_frac_moved_toward,high_to_low_db_n,crest_factor_db_toward_source_mean,crest_factor_db_toward_source_median,crest_factor_db_frac_moved_toward,crest_factor_db_n,onset_strength_max_toward_source_mean,onset_strength_max_toward_source_median,onset_strength_max_frac_moved_toward,onset_strength_max_n,spectral_flatness_mean_toward_source_mean,spectral_flatness_mean_toward_source_median,spectral_flatness_mean_frac_moved_toward,spectral_flatness_mean_n
transformer.single_transformer_blocks.3,0.9119875141604851,0.9002005704901079,1.0,16,0.9318250218936561,0.9584430060854234,0.9375,16,0.923091638926962,0.9244789027032816,1.0,16,1.0659778467016325,0.9426876214747355,0.9375,16,1.0242022411415261,1.0002769328684769,1.0,16,0.9153615109365822,0.9851356204659684,1.0,16
transformer.transformer_blocks.3,0.9001876905019597,0.9031039351058022,1.0,16,0.9495571629900068,0.9558619573987227,0.9375,16,0.9338950668539044,0.906709510511933,1.0,16,1.0203781636505775,0.9770844508785627,0.9375,16,0.9002946444675787,0.9523890816616006,1.0,16,0.6659580079119725,0.8884965250898333,0.875,16
