status,error,pair_id,site,stack,block,direction,source_side,target_side,alpha,suffix_tokens,patched_onset_strength_max,target_baseline_onset_strength_max,source_baseline_onset_strength_max,patched_spectral_centroid_mean_hz,target_baseline_spectral_centroid_mean_hz,source_baseline_spectral_centroid_mean_hz,patched_decay_time_to_minus_20db_ms,target_baseline_decay_time_to_minus_20db_ms,source_baseline_decay_time_to_minus_20db_ms,patched_high_to_low_db,target_baseline_high_to_low_db,source_baseline_high_to_low_db,patched_tail_energy_fraction_500ms,target_baseline_tail_energy_fraction_500ms,source_baseline_tail_energy_fraction_500ms
ok,,01,transformer.transformer_blocks.3,dual,3,sustained_to_percussive,positive,negative,1.0,,19.928905487060547,3.917818307876587,21.122295379638672,1941.0411376953125,1128.289794921875,2099.648681640625,87.07482993197279,505.0340136054422,87.07482993197279,-12.858670045138691,-30.85247434664129,-11.125283313310186,0.3550392633093153,0.4642366864855378,0.3084411031278086
ok,,01,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,negative,positive,1.0,,5.437264919281006,21.122295379638672,3.917818307876587,1163.7183837890625,2099.648681640625,1128.289794921875,464.39909297052156,87.07482993197279,505.0340136054422,-28.556522021337706,-11.125283313310186,-30.85247434664129,0.46653933245695134,0.3084411031278086,0.4642366864855378
ok,,01,transformer.transformer_blocks.4,dual,4,sustained_to_percussive,positive,negative,1.0,,20.341398239135742,3.917818307876587,21.122295379638672,1979.3907470703125,1128.289794921875,2099.648681640625,87.07482993197279,505.0340136054422,87.07482993197279,-12.599555452493407,-30.85247434664129,-11.125283313310186,0.3354755412925021,0.4642366864855378,0.3084411031278086
ok,,01,transformer.transformer_blocks.4,dual,4,percussive_to_sustained,negative,positive,1.0,,5.13885498046875,21.122295379638672,3.917818307876587,1132.84912109375,2099.648681640625,1128.289794921875,464.39909297052156,87.07482993197279,505.0340136054422,-29.913716915547326,-11.125283313310186,-30.85247434664129,0.4586899510256455,0.3084411031278086,0.4642366864855378
ok,,01,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,positive,negative,1.0,645,21.54075050354004,3.917818307876587,21.122295379638672,2048.125732421875,1128.289794921875,2099.648681640625,87.07482993197279,505.0340136054422,87.07482993197279,-12.01894430404036,-30.85247434664129,-11.125283313310186,0.3626828748304,0.4642366864855378,0.3084411031278086
ok,,01,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,negative,positive,1.0,645,4.41402530670166,21.122295379638672,3.917818307876587,1072.6090087890625,2099.648681640625,1128.289794921875,493.42403628117916,87.07482993197279,505.0340136054422,-29.64071012884112,-11.125283313310186,-30.85247434664129,0.44419514969923724,0.3084411031278086,0.4642366864855378
ok,,01,transformer.single_transformer_blocks.14,single,14,sustained_to_percussive,positive,negative,1.0,645,21.38346290588379,3.917818307876587,21.122295379638672,2040.0128173828125,1128.289794921875,2099.648681640625,87.07482993197279,505.0340136054422,87.07482993197279,-11.974799100922144,-30.85247434664129,-11.125283313310186,0.32684712551177775,0.4642366864855378,0.3084411031278086
ok,,01,transformer.single_transformer_blocks.14,single,14,percussive_to_sustained,negative,positive,1.0,645,4.288680553436279,21.122295379638672,3.917818307876587,1090.3447265625,2099.648681640625,1128.289794921875,493.42403628117916,87.07482993197279,505.0340136054422,-30.385222990338896,-11.125283313310186,-30.85247434664129,0.46589068698234787,0.3084411031278086,0.4642366864855378
ok,,01,transformer.single_transformer_blocks.15,single,15,sustained_to_percussive,positive,negative,1.0,645,20.88848304748535,3.917818307876587,21.122295379638672,2021.3143310546875,1128.289794921875,2099.648681640625,87.07482993197279,505.0340136054422,87.07482993197279,-12.006472497396697,-30.85247434664129,-11.125283313310186,0.32926028039726785,0.4642366864855378,0.3084411031278086
ok,,01,transformer.single_transformer_blocks.15,single,15,percussive_to_sustained,negative,positive,1.0,645,4.219047546386719,21.122295379638672,3.917818307876587,1076.9453125,2099.648681640625,1128.289794921875,493.42403628117916,87.07482993197279,505.0340136054422,-31.209967393941017,-11.125283313310186,-30.85247434664129,0.4580299346280508,0.3084411031278086,0.4642366864855378
