status,error,pair_id,site,site_slug,stack,block,output_index,direction,source_label,target_label,source_prompt,target_prompt,seed,duration,steps,guidance_scale,alpha,sample_rate,source_activation_calls,patch_calls,suffix_tokens,source_baseline_centroid_mean_hz,target_baseline_centroid_mean_hz,patched_centroid_mean_hz,patched_centroid_median_hz,target_delta_centroid_hz,signed_brightness_effect_hz,source_shift_fraction,elapsed_seconds,wav_path,distance_target_to_source_hz,distance_patched_to_source_hz,closer_to_source,toward_source,overshot_source
ok,,15,transformer.single_transformer_blocks.14,single_transformer_blocks-14,single,14,0,dark_to_bright,dark,bright,a dark thunderous church organ chord,a bright open church organ chord,115,3.0,25,4.5,1.0,44100,25,25,645,1176.032958984375,1077.8778076171875,1168.1519775390625,1127.5281982421875,90.274169921875,-90.274169921875,0.9197089369682634,0.87,/outputs/brightness-centroid-movement-v1/15/dark-to-bright/15-dark-to-bright-single-transformer-blocks-14.wav,98.1551513671875,7.8809814453125,True,True,False
ok,,15,transformer.single_transformer_blocks.13,single_transformer_blocks-13,single,13,0,bright_to_dark,bright,dark,a bright open church organ chord,a dark thunderous church organ chord,115,3.0,25,4.5,1.0,44100,25,25,645,1077.8778076171875,1176.032958984375,1065.005859375,1002.5906372070312,-111.027099609375,-111.027099609375,1.131138794682665,0.868,/outputs/brightness-centroid-movement-v1/15/bright-to-dark/15-bright-to-dark-single-transformer-blocks-13.wav,98.1551513671875,12.8719482421875,True,True,True
ok,,15,transformer.single_transformer_blocks.13,single_transformer_blocks-13,single,13,0,dark_to_bright,dark,bright,a dark thunderous church organ chord,a bright open church organ chord,115,3.0,25,4.5,1.0,44100,25,25,645,1176.032958984375,1077.8778076171875,1180.779541015625,1145.204345703125,102.9017333984375,-102.9017333984375,1.0483579513162133,0.874,/outputs/brightness-centroid-movement-v1/15/dark-to-bright/15-dark-to-bright-single-transformer-blocks-13.wav,98.1551513671875,4.74658203125,True,True,True
ok,,15,transformer.transformer_blocks.1,transformer_blocks-1,dual,1,1,bright_to_dark,bright,dark,a bright open church organ chord,a dark thunderous church organ chord,115,3.0,25,4.5,1.0,44100,25,25,,1077.8778076171875,1176.032958984375,1078.0157470703125,1011.033447265625,-98.0172119140625,-98.0172119140625,0.9985946794314545,0.872,/outputs/brightness-centroid-movement-v1/15/bright-to-dark/15-bright-to-dark-transformer-blocks-1.wav,98.1551513671875,0.137939453125,True,True,False
ok,,15,transformer.transformer_blocks.1,transformer_blocks-1,dual,1,1,dark_to_bright,dark,bright,a dark thunderous church organ chord,a bright open church organ chord,115,3.0,25,4.5,1.0,44100,25,25,,1176.032958984375,1077.8778076171875,1153.7972412109375,1116.92919921875,75.91943359375,-75.91943359375,0.7734635679969953,0.875,/outputs/brightness-centroid-movement-v1/15/dark-to-bright/15-dark-to-bright-transformer-blocks-1.wav,98.1551513671875,22.2357177734375,True,True,False
ok,,16,transformer.single_transformer_blocks.17,single_transformer_blocks-17,single,17,0,bright_to_dark,bright,dark,a bright lively folk fiddle tune,a dark slow folk fiddle tune,116,3.0,25,4.5,1.0,44100,25,25,645,1658.6729736328125,1054.4742431640625,1672.2552490234375,1651.9183349609375,617.781005859375,617.781005859375,1.0224798145141543,0.857,/outputs/brightness-centroid-movement-v1/16/bright-to-dark/16-bright-to-dark-single-transformer-blocks-17.wav,604.19873046875,13.582275390625,True,True,True
ok,,16,transformer.single_transformer_blocks.17,single_transformer_blocks-17,single,17,0,dark_to_bright,dark,bright,a dark slow folk fiddle tune,a bright lively folk fiddle tune,116,3.0,25,4.5,1.0,44100,25,25,645,1054.4742431640625,1658.6729736328125,1040.58203125,1025.034912109375,-618.0909423828125,618.0909423828125,1.0229927856738206,0.858,/outputs/brightness-centroid-movement-v1/16/dark-to-bright/16-dark-to-bright-single-transformer-blocks-17.wav,604.19873046875,13.8922119140625,True,True,True
ok,,16,transformer.single_transformer_blocks.14,single_transformer_blocks-14,single,14,0,bright_to_dark,bright,dark,a bright lively folk fiddle tune,a dark slow folk fiddle tune,116,3.0,25,4.5,1.0,44100,25,25,645,1658.6729736328125,1054.4742431640625,1656.89892578125,1641.28759765625,602.4246826171875,602.4246826171875,0.9970638007627289,0.851,/outputs/brightness-centroid-movement-v1/16/bright-to-dark/16-bright-to-dark-single-transformer-blocks-14.wav,604.19873046875,1.7740478515625,True,True,False
ok,,16,transformer.single_transformer_blocks.14,single_transformer_blocks-14,single,14,0,dark_to_bright,dark,bright,a dark slow folk fiddle tune,a bright lively folk fiddle tune,116,3.0,25,4.5,1.0,44100,25,25,645,1054.4742431640625,1658.6729736328125,1020.4026489257812,1004.7620239257812,-638.2703247070312,638.2703247070312,1.0563913701239456,0.855,/outputs/brightness-centroid-movement-v1/16/dark-to-bright/16-dark-to-bright-single-transformer-blocks-14.wav,604.19873046875,34.07159423828125,True,True,True
ok,,16,transformer.single_transformer_blocks.13,single_transformer_blocks-13,single,13,0,bright_to_dark,bright,dark,a bright lively folk fiddle tune,a dark slow folk fiddle tune,116,3.0,25,4.5,1.0,44100,25,25,645,1658.6729736328125,1054.4742431640625,1653.128173828125,1639.3935546875,598.6539306640625,598.6539306640625,0.9908228873629282,0.851,/outputs/brightness-centroid-movement-v1/16/bright-to-dark/16-bright-to-dark-single-transformer-blocks-13.wav,604.19873046875,5.5447998046875,True,True,False
ok,,16,transformer.single_transformer_blocks.13,single_transformer_blocks-13,single,13,0,dark_to_bright,dark,bright,a dark slow folk fiddle tune,a bright lively folk fiddle tune,116,3.0,25,4.5,1.0,44100,25,25,645,1054.4742431640625,1658.6729736328125,1024.0567626953125,1010.51611328125,-634.6162109375,634.6162109375,1.0503435027828534,0.858,/outputs/brightness-centroid-movement-v1/16/dark-to-bright/16-dark-to-bright-single-transformer-blocks-13.wav,604.19873046875,30.41748046875,True,True,True
ok,,16,transformer.transformer_blocks.1,transformer_blocks-1,dual,1,1,bright_to_dark,bright,dark,a bright lively folk fiddle tune,a dark slow folk fiddle tune,116,3.0,25,4.5,1.0,44100,25,25,,1658.6729736328125,1054.4742431640625,1545.6463623046875,1529.5655517578125,491.172119140625,491.172119140625,0.8129313988454815,0.863,/outputs/brightness-centroid-movement-v1/16/bright-to-dark/16-bright-to-dark-transformer-blocks-1.wav,604.19873046875,113.026611328125,True,True,False
ok,,16,transformer.transformer_blocks.1,transformer_blocks-1,dual,1,1,dark_to_bright,dark,bright,a dark slow folk fiddle tune,a bright lively folk fiddle tune,116,3.0,25,4.5,1.0,44100,25,25,,1054.4742431640625,1658.6729736328125,1169.3956298828125,1146.946044921875,-489.27734375,489.27734375,0.8097953853203372,0.866,/outputs/brightness-centroid-movement-v1/16/dark-to-bright/16-dark-to-bright-transformer-blocks-1.wav,604.19873046875,114.92138671875,True,True,False
ok,,17,transformer.single_transformer_blocks.17,single_transformer_blocks-17,single,17,0,bright_to_dark,bright,dark,a bright pop synth arpeggio,a dark cinematic synth arpeggio,117,3.0,25,4.5,1.0,44100,25,25,645,3296.32373046875,979.0730590820312,3349.36865234375,3283.40283203125,2370.2955932617188,2370.2955932617188,1.0228913179441463,0.85,/outputs/brightness-centroid-movement-v1/17/bright-to-dark/17-bright-to-dark-single-transformer-blocks-17.wav,2317.2506713867188,53.044921875,True,True,True
ok,,17,transformer.single_transformer_blocks.17,single_transformer_blocks-17,single,17,0,dark_to_bright,dark,bright,a dark cinematic synth arpeggio,a bright pop synth arpeggio,117,3.0,25,4.5,1.0,44100,25,25,645,979.0730590820312,3296.32373046875,961.4163208007812,931.6868896484375,-2334.9074096679688,2334.9074096679688,1.0076196928106547,0.847,/outputs/brightness-centroid-movement-v1/17/dark-to-bright/17-dark-to-bright-single-transformer-blocks-17.wav,2317.2506713867188,17.65673828125,True,True,True
