block,cv_pearson_bandwidth,cv_pearson_brightness,cv_pearson_crest,cv_pearson_flatness,cv_pearson_hnr,cv_pearson_loudness,cv_pearson_rolloff,cv_pearson_tilt,cv_pearson_voiced,cv_pearson_zcr,cv_spearman_bandwidth,cv_spearman_brightness,cv_spearman_crest,cv_spearman_flatness,cv_spearman_hnr,cv_spearman_loudness,cv_spearman_rolloff,cv_spearman_tilt,cv_spearman_voiced,cv_spearman_zcr,n_bandwidth,n_brightness,n_crest,n_flatness,n_hnr,n_loudness,n_rolloff,n_tilt,n_voiced,n_zcr,r2_bandwidth,r2_brightness,r2_crest,r2_flatness,r2_hnr,r2_loudness,r2_rolloff,r2_tilt,r2_voiced,r2_zcr,site,stability_cos_bandwidth,stability_cos_brightness,stability_cos_crest,stability_cos_flatness,stability_cos_hnr,stability_cos_loudness,stability_cos_rolloff,stability_cos_tilt,stability_cos_voiced,stability_cos_zcr,stack
0,0.652337060434944,0.772532465130632,0.6096472670178312,0.684917056187381,0.42202076602882665,0.8458424038619995,0.7872669260271057,0.6499086406770781,0.23520916880345713,0.6803865324447811,0.6155649320206282,0.7804969526488514,0.6224566338490389,0.6267229254571027,0.4107829348335678,0.84943741209564,0.7759493670886075,0.6263947491795593,0.16148616971401783,0.6148382559774965,80,80,80,80,80,80,80,80,80,80,0.2562730467938164,0.49367611235752784,0.16015294088805382,-1.9393044839318487,-0.16868958854997254,0.6373253746571497,0.5307865654419038,0.22188931273209106,-0.6845070814344464,0.321530754550632,down_blocks.0.resnets.0,0.5889589190483093,0.6256211400032043,0.3976433277130127,0.5107764005661011,0.2619949281215668,0.6474342346191406,0.6669697761535645,0.4810238182544708,0.3093831539154053,0.5442209839820862,down
0,0.6087502623761678,0.8173333122743566,0.6239458669081693,0.7110417244800814,0.49526220567005197,0.8430835448153302,0.8137063131820924,0.7000380518333998,0.31261234338350163,0.7188333795304341,0.5778246601031413,0.8304266291608065,0.6064228785747774,0.7105250820440695,0.5056493202062823,0.8485466479137367,0.8018987341772152,0.6733942803563057,0.2736286919831224,0.6760196905766527,80,80,80,80,80,80,80,80,80,80,0.16896227528584792,0.5746143706794766,0.18681958787806843,-1.1378378107751226,-0.05907096188222516,0.6337998680761083,0.5758522589059327,0.31561272937743823,-0.4106757917808645,0.3846632280847343,down_blocks.0.resnets.1,0.4785744249820709,0.6820120811462402,0.5672664046287537,0.6273379325866699,0.39499497413635254,0.5065308213233948,0.7099502682685852,0.5819160342216492,0.30129754543304443,0.5761078000068665,down
1,0.6299764780875636,0.7890602012791893,0.7431475570187714,0.6483724462331832,0.6534170875097134,0.8836478703832465,0.8094857763103036,0.7617178634706371,0.34734927465161114,0.6926423111647377,0.5823956868260667,0.8065400843881857,0.7164088138771684,0.6125175808720112,0.6538912330051571,0.8865682137834038,0.803539615564932,0.7181434599156118,0.30154711673699014,0.7078762306610408,80,80,80,80,80,80,80,80,80,80,0.19275403113672734,0.5415565409618475,0.42572913404267004,-1.2312671676800204,0.21399084144354985,0.716992814012424,0.5868302947229436,0.48379238488736753,-0.2734355707608481,0.34584144722123505,down_blocks.1.attentions.0,0.6308983564376831,0.6143720746040344,0.5903713703155518,0.5689552426338196,0.421933650970459,0.7580081820487976,0.6530075073242188,0.6941543221473694,0.1642044484615326,0.5281931757926941,down
1,0.6665846269944953,0.7925508500615988,0.7234207082705449,0.666538833013375,0.6861643281641251,0.8863199915782165,0.7953246192664568,0.7783959815049747,0.3334938034858468,0.7001090694424134,0.589240506329114,0.8240271917487109,0.6980075011720581,0.6570323488045007,0.6712611345522739,0.8896155649320207,0.8148148148148149,0.7336146272855134,0.3026019690576653,0.6962962962962963,80,80,80,80,80,80,80,80,80,80,0.22701122015010408,0.5611481686993766,0.3813776758162916,-1.1605499630893874,0.27851504966143426,0.7228320646821476,0.5533308166946789,0.5018189141197601,-0.2576963901936682,0.38822050445776124,down_blocks.1.attentions.1,0.4942317306995392,0.6196959018707275,0.6456097960472107,0.47650986909866333,0.46939772367477417,0.728909969329834,0.6319352984428406,0.625795304775238,0.19447726011276245,0.5788553357124329,down
1,0.5542943271451356,0.7597717643383584,0.6874281339346204,0.5829407129981228,0.6448866552250021,0.8892752404468087,0.7578312285453729,0.7655234589226503,0.33141866857875296,0.6891222981707493,0.526207219878106,0.780379746835443,0.6592827004219409,0.5653305203938116,0.6217299578059072,0.8753867791842476,0.7643225503984997,0.7288560712611346,0.28785747773089543,0.6981715893108299,80,80,80,80,80,80,80,80,80,80,0.07750542464016019,0.4956234411819704,0.3144214950056479,-2.0353083934230174,0.20715502343969688,0.7321229576567313,0.4969869712100728,0.5207274997799806,-0.2896885794995086,0.3456202046040343,down_blocks.1.attentions.2,0.5921195149421692,0.6347060203552246,0.5374267101287842,0.549251139163971,0.3218241035938263,0.7427335977554321,0.654664158821106,0.7052988409996033,0.2841421961784363,0.5640669465065002,down
1,0.5129926776818009,0.776430221707163,0.6997923193327533,0.5706084958062193,0.664002717759217,0.9051888632454478,0.7466878694757314,0.7116824199970269,0.4089779186804831,0.6983025470700718,0.49097515236755745,0.8118377871542428,0.6959915611814346,0.6035161744022504,0.6332395686826067,0.9080637599624942,0.7555086732301922,0.6884669479606189,0.39113924050632914,0.7278012189404595,80,80,80,80,80,80,80,80,80,80,0.0225030036596952,0.5230042998295017,0.3525816850191273,-2.4374716720382565,0.29140768427242936,0.7710364263994227,0.4805438329807359,0.42333758537514754,-0.011003219447137069,0.38911878672991823,down_blocks.1.attentions.3,0.5423469543457031,0.6668514609336853,0.5576401948928833,0.6113380193710327,0.5297313928604126,0.6907639503479004,0.6634038090705872,0.6138009428977966,0.2742931842803955,0.5898333191871643,down
1,0.5201845772390926,0.7743780619597354,0.691634934118804,0.5484818010986374,0.6349380322345983,0.8916492759636264,0.7375569690359629,0.6616999570008582,0.38765307791378034,0.7041175062855848,0.4961322081575246,0.7779418659165496,0.6936943272386311,0.5764416315049227,0.6209798406000937,0.8974214721050164,0.7417721518987342,0.64943741209564,0.34057665260196907,0.7285044538209094,80,80,80,80,80,80,80,80,80,80,0.09430808504654176,0.5075995666084692,0.3406812482185841,-2.3830187800348512,0.23896811590098607,0.7423106330867524,0.4663904421586473,0.35161199179735325,-0.11903880621609322,0.3959385077657072,down_blocks.1.attentions.4,0.5382828116416931,0.678690493106842,0.5421481132507324,0.6026253700256348,0.3314281702041626,0.6824538111686707,0.717093288898468,0.5903912782669067,0.16936005651950836,0.5201385617256165,down
1,0.5014876041708518,0.7049678437946257,0.6714696601387563,0.5636326215113978,0.5737777432165588,0.8861055269095209,0.6568956674004683,0.6131911301746621,0.4062875658378791,0.6474988052727815,0.4839662447257384,0.7089779653070792,0.6738631036099391,0.5913736521331459,0.5714252226910455,0.8902719174871074,0.6736286919831224,0.5879746835443038,0.3714955461790905,0.639803094233474,80,80,80,80,80,80,80,80,80,80,0.04374066712204054,0.35185547899352704,0.29296363337198017,-2.772654330759561,0.1407508002511382,0.7299792732008004,0.30033552354620563,0.24259000889267107,-0.03398967352077573,0.27305019084317567,down_blocks.1.attentions.5,0.37647461891174316,0.48585501313209534,0.4572921395301819,0.4955737590789795,0.3792518973350525,0.5827314853668213,0.46808311343193054,0.38482776284217834,0.21844244003295898,0.36745625734329224,down
