status,error,pair_id,site,stack,block,direction,source_side,target_side,alpha,suffix_tokens,patched_onset_strength_max,target_baseline_onset_strength_max,source_baseline_onset_strength_max,patched_spectral_centroid_mean_hz,target_baseline_spectral_centroid_mean_hz,source_baseline_spectral_centroid_mean_hz,patched_decay_time_to_minus_20db_ms,target_baseline_decay_time_to_minus_20db_ms,source_baseline_decay_time_to_minus_20db_ms,patched_high_to_low_db,target_baseline_high_to_low_db,source_baseline_high_to_low_db,patched_tail_energy_fraction_500ms,target_baseline_tail_energy_fraction_500ms,source_baseline_tail_energy_fraction_500ms
ok,,01,transformer.transformer_blocks.4,dual,4,sustained_to_percussive,positive,negative,1.0,,20.341398239135742,3.917818307876587,21.122295379638672,1979.3907470703125,1128.289794921875,2099.648681640625,87.07482993197279,505.0340136054422,87.07482993197279,-12.599555452493407,-30.85247434664129,-11.125283313310186,0.3354755412925021,0.4642366864855378,0.3084411031278086
ok,,01,transformer.transformer_blocks.4,dual,4,percussive_to_sustained,negative,positive,1.0,,5.13885498046875,21.122295379638672,3.917818307876587,1132.84912109375,2099.648681640625,1128.289794921875,464.39909297052156,87.07482993197279,505.0340136054422,-29.913716915547326,-11.125283313310186,-30.85247434664129,0.4586899510256455,0.3084411031278086,0.4642366864855378
ok,,01,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,positive,negative,1.0,645,21.54075050354004,3.917818307876587,21.122295379638672,2048.125732421875,1128.289794921875,2099.648681640625,87.07482993197279,505.0340136054422,87.07482993197279,-12.01894430404036,-30.85247434664129,-11.125283313310186,0.3626828748304,0.4642366864855378,0.3084411031278086
ok,,01,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,negative,positive,1.0,645,4.41402530670166,21.122295379638672,3.917818307876587,1072.6090087890625,2099.648681640625,1128.289794921875,493.42403628117916,87.07482993197279,505.0340136054422,-29.64071012884112,-11.125283313310186,-30.85247434664129,0.44419514969923724,0.3084411031278086,0.4642366864855378
ok,,01,transformer.single_transformer_blocks.15,single,15,sustained_to_percussive,positive,negative,1.0,645,20.88848304748535,3.917818307876587,21.122295379638672,2021.3143310546875,1128.289794921875,2099.648681640625,87.07482993197279,505.0340136054422,87.07482993197279,-12.006472497396697,-30.85247434664129,-11.125283313310186,0.32926028039726785,0.4642366864855378,0.3084411031278086
ok,,01,transformer.single_transformer_blocks.15,single,15,percussive_to_sustained,negative,positive,1.0,645,4.219047546386719,21.122295379638672,3.917818307876587,1076.9453125,2099.648681640625,1128.289794921875,493.42403628117916,87.07482993197279,505.0340136054422,-31.209967393941017,-11.125283313310186,-30.85247434664129,0.4580299346280508,0.3084411031278086,0.4642366864855378
ok,,02,transformer.transformer_blocks.4,dual,4,sustained_to_percussive,positive,negative,1.0,,6.3188018798828125,1.0807329416275024,7.752856254577637,3233.818359375,1200.6055908203125,3824.651611328125,197.36961451247166,3465.578231292517,249.61451247165533,-12.261030376156203,-39.29767578366653,-8.921022415879246,0.7242266353690962,0.8077477903348771,0.5805149457893479
ok,,02,transformer.transformer_blocks.4,dual,4,percussive_to_sustained,negative,positive,1.0,,1.5402089357376099,7.752856254577637,1.0807329416275024,1203.2767333984375,3824.651611328125,1200.6055908203125,87.07482993197279,249.61451247165533,3465.578231292517,-34.737986432017664,-8.921022415879246,-39.29767578366653,0.8284432051030203,0.5805149457893479,0.8077477903348771
ok,,02,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,positive,negative,1.0,645,7.403391361236572,1.0807329416275024,7.752856254577637,3555.136962890625,1200.6055908203125,3824.651611328125,249.61451247165533,3465.578231292517,249.61451247165533,-10.766133171643457,-39.29767578366653,-8.921022415879246,0.5710478228301571,0.8077477903348771,0.5805149457893479
ok,,02,transformer.single_transformer_blocks.8,single,8,percussive_to_sustained,negative,positive,1.0,645,1.2987487316131592,7.752856254577637,1.0807329416275024,1161.1219482421875,3824.651611328125,1200.6055908203125,3465.578231292517,249.61451247165533,3465.578231292517,-36.865713365197934,-8.921022415879246,-39.29767578366653,0.8210942962050045,0.5805149457893479,0.8077477903348771
