status,error,pair_id,site,stack,block,direction,window_start,window_end,alpha,patched_onset_strength_max,target_baseline_onset_strength_max,source_baseline_onset_strength_max,patched_spectral_centroid_mean_hz,target_baseline_spectral_centroid_mean_hz,source_baseline_spectral_centroid_mean_hz,patched_decay_time_to_minus_20db_ms,target_baseline_decay_time_to_minus_20db_ms,source_baseline_decay_time_to_minus_20db_ms,patched_high_to_low_db,target_baseline_high_to_low_db,source_baseline_high_to_low_db,patched_tail_energy_fraction_500ms,target_baseline_tail_energy_fraction_500ms,source_baseline_tail_energy_fraction_500ms
ok,,01,transformer.transformer_blocks.3,dual,3,sustained_to_percussive,0,12,1.0,16.785282135009766,3.917818307876587,21.122295379638672,1593.3143310546875,1128.289794921875,2099.648681640625,92.87981859410431,505.0340136054422,87.07482993197279,-15.99566395849661,-30.85247434664129,-11.125283313310186,0.4120457414672483,0.4642366864855378,0.3084411031278086
ok,,01,transformer.transformer_blocks.3,dual,3,sustained_to_percussive,0,25,1.0,19.543848037719727,3.917818307876587,21.122295379638672,1932.272705078125,1128.289794921875,2099.648681640625,92.87981859410431,505.0340136054422,87.07482993197279,-14.225701928715292,-30.85247434664129,-11.125283313310186,0.36430834547206126,0.4642366864855378,0.3084411031278086
ok,,01,transformer.transformer_blocks.3,dual,3,sustained_to_percussive,0,38,1.0,18.761266708374023,3.917818307876587,21.122295379638672,1946.1395263671875,1128.289794921875,2099.648681640625,92.87981859410431,505.0340136054422,87.07482993197279,-13.3056911158216,-30.85247434664129,-11.125283313310186,0.36362709957719325,0.4642366864855378,0.3084411031278086
ok,,01,transformer.transformer_blocks.3,dual,3,sustained_to_percussive,0,50,1.0,19.928905487060547,3.917818307876587,21.122295379638672,1941.0411376953125,1128.289794921875,2099.648681640625,87.07482993197279,505.0340136054422,87.07482993197279,-12.858670045138691,-30.85247434664129,-11.125283313310186,0.3550392633093153,0.4642366864855378,0.3084411031278086
ok,,01,transformer.transformer_blocks.3,dual,3,sustained_to_percussive,12,50,1.0,11.388042449951172,3.917818307876587,21.122295379638672,1700.3038330078125,1128.289794921875,2099.648681640625,104.48979591836735,505.0340136054422,87.07482993197279,-16.56772860724616,-30.85247434664129,-11.125283313310186,0.2639303412773339,0.4642366864855378,0.3084411031278086
ok,,01,transformer.transformer_blocks.3,dual,3,sustained_to_percussive,25,50,1.0,4.590958118438721,3.917818307876587,21.122295379638672,1424.2723388671875,1128.289794921875,2099.648681640625,162.53968253968253,505.0340136054422,87.07482993197279,-21.08702434573793,-30.85247434664129,-11.125283313310186,0.3176960295215912,0.4642366864855378,0.3084411031278086
ok,,01,transformer.transformer_blocks.3,dual,3,sustained_to_percussive,38,50,1.0,3.3964152336120605,3.917818307876587,21.122295379638672,1237.5716552734375,1128.289794921875,2099.648681640625,708.2086167800453,505.0340136054422,87.07482993197279,-24.806379117175723,-30.85247434664129,-11.125283313310186,0.7573033012545733,0.4642366864855378,0.3084411031278086
ok,,01,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,0,12,1.0,8.205096244812012,21.122295379638672,3.917818307876587,1415.69580078125,2099.648681640625,1128.289794921875,156.73469387755102,87.07482993197279,505.0340136054422,-20.64156061674522,-11.125283313310186,-30.85247434664129,0.1765108122269744,0.3084411031278086,0.4642366864855378
ok,,01,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,0,25,1.0,4.672734260559082,21.122295379638672,3.917818307876587,1171.372314453125,2099.648681640625,1128.289794921875,342.49433106575964,87.07482993197279,505.0340136054422,-26.18016442269374,-11.125283313310186,-30.85247434664129,0.31363209356009897,0.3084411031278086,0.4642366864855378
ok,,01,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,0,38,1.0,5.195722579956055,21.122295379638672,3.917818307876587,1159.8116455078125,2099.648681640625,1128.289794921875,400.5442176870748,87.07482993197279,505.0340136054422,-27.84553389094887,-11.125283313310186,-30.85247434664129,0.4250783173044364,0.3084411031278086,0.4642366864855378
ok,,01,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,0,50,1.0,5.437264919281006,21.122295379638672,3.917818307876587,1163.7183837890625,2099.648681640625,1128.289794921875,464.39909297052156,87.07482993197279,505.0340136054422,-28.556522021337706,-11.125283313310186,-30.85247434664129,0.46653933245695134,0.3084411031278086,0.4642366864855378
ok,,01,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,12,50,1.0,5.729246616363525,21.122295379638672,3.917818307876587,1238.3974609375,2099.648681640625,1128.289794921875,168.34467120181407,87.07482993197279,505.0340136054422,-25.9051324672198,-11.125283313310186,-30.85247434664129,0.47037849825434935,0.3084411031278086,0.4642366864855378
ok,,01,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,25,50,1.0,5.647847652435303,21.122295379638672,3.917818307876587,1394.7288818359375,2099.648681640625,1128.289794921875,139.31972789115645,87.07482993197279,505.0340136054422,-20.74499325971602,-11.125283313310186,-30.85247434664129,0.31362658353028955,0.3084411031278086,0.4642366864855378
ok,,01,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,38,50,1.0,10.258003234863281,21.122295379638672,3.917818307876587,1661.8284912109375,2099.648681640625,1128.289794921875,127.70975056689343,87.07482993197279,505.0340136054422,-15.04290132671924,-11.125283313310186,-30.85247434664129,0.04653111474883809,0.3084411031278086,0.4642366864855378
ok,,01,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,0,12,1.0,19.137279510498047,3.917818307876587,21.122295379638672,1827.8399658203125,1128.289794921875,2099.648681640625,87.07482993197279,505.0340136054422,87.07482993197279,-13.563825919556216,-30.85247434664129,-11.125283313310186,0.39572792740412605,0.4642366864855378,0.3084411031278086
ok,,01,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,0,25,1.0,20.03182601928711,3.917818307876587,21.122295379638672,2009.9344482421875,1128.289794921875,2099.648681640625,87.07482993197279,505.0340136054422,87.07482993197279,-12.98244671870238,-30.85247434664129,-11.125283313310186,0.41263678520588687,0.4642366864855378,0.3084411031278086
ok,,01,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,0,38,1.0,20.06133460998535,3.917818307876587,21.122295379638672,2029.4407958984375,1128.289794921875,2099.648681640625,87.07482993197279,505.0340136054422,87.07482993197279,-12.370343556878868,-30.85247434664129,-11.125283313310186,0.374246509744635,0.4642366864855378,0.3084411031278086
ok,,01,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,0,50,1.0,21.54075050354004,3.917818307876587,21.122295379638672,2048.125732421875,1128.289794921875,2099.648681640625,87.07482993197279,505.0340136054422,87.07482993197279,-12.01894430404036,-30.85247434664129,-11.125283313310186,0.3626828748304,0.4642366864855378,0.3084411031278086
