status,pair_id,site,stack,block,scale,patched_onset_strength_max,target_baseline_onset_strength_max,source_baseline_onset_strength_max,patched_spectral_centroid_mean_hz,target_baseline_spectral_centroid_mean_hz,source_baseline_spectral_centroid_mean_hz,patched_decay_time_to_minus_20db_ms,target_baseline_decay_time_to_minus_20db_ms,source_baseline_decay_time_to_minus_20db_ms,patched_high_to_low_db,target_baseline_high_to_low_db,source_baseline_high_to_low_db,patched_tail_energy_fraction_500ms,target_baseline_tail_energy_fraction_500ms,source_baseline_tail_energy_fraction_500ms,patched_direct_to_late_db,target_baseline_direct_to_late_db,source_baseline_direct_to_late_db,patched_reverb_proxy_score,target_baseline_reverb_proxy_score,source_baseline_reverb_proxy_score,patched_late_energy_fraction_300ms,target_baseline_late_energy_fraction_300ms,source_baseline_late_energy_fraction_300ms,patched_late_energy_fraction_700ms,target_baseline_late_energy_fraction_700ms,source_baseline_late_energy_fraction_700ms
ok,01,transformer.transformer_blocks.3,dual,3,0.5,4.795341491699219,4.260855197906494,6.564885669946671,1874.5457763671875,2407.436279296875,2766.9749603271484,928.7981859410431,928.7981859410431,588.9160997732426,-16.015674781441028,-14.954365220773628,-9.898447334259401,0.9023302755552982,0.8762220613904942,0.6679174128828204,-13.272407666633455,-15.7263380047074,-11.020990460001563,0.8499653769630934,0.90450833785876,0.6766096820651057,0.9410074191399092,0.9214303181601712,0.6417285194905724,0.6538442126300666,0.8181502536921722,0.6394498394602475
ok,01,transformer.transformer_blocks.3,dual,3,1.0,2.3131303787231445,4.260855197906494,6.564885669946671,1643.3145751953125,2407.436279296875,2766.9749603271484,2641.2698412698414,928.7981859410431,588.9160997732426,-18.75680270285651,-14.954365220773628,-9.898447334259401,0.7946285359271269,0.8762220613904942,0.6679174128828204,-10.74458523958327,-15.7263380047074,-11.020990460001563,0.850195907418882,0.90450833785876,0.6766096820651057,0.8864655438771973,0.9214303181601712,0.6417285194905724,0.7418209681884526,0.8181502536921722,0.6394498394602475
ok,01,transformer.transformer_blocks.3,dual,3,2.0,1.3609859943389893,4.260855197906494,6.564885669946671,2952.214111328125,2407.436279296875,2766.9749603271484,1224.8526077097506,928.7981859410431,588.9160997732426,-6.679963759135159,-14.954365220773628,-9.898447334259401,0.8575330621995961,0.8762220613904942,0.6679174128828204,-10.681393777702715,-15.7263380047074,-11.020990460001563,0.8802613362844743,0.90450833785876,0.6766096820651057,0.9196396259744857,0.9214303181601712,0.6417285194905724,0.7998923049211721,0.8181502536921722,0.6394498394602475
ok,01,transformer.transformer_blocks.3,dual,3,4.0,1.2838859558105469,4.260855197906494,6.564885669946671,3496.610595703125,2407.436279296875,2766.9749603271484,348.29931972789115,928.7981859410431,588.9160997732426,-2.5465883067597455,-14.954365220773628,-9.898447334259401,0.857667425847779,0.8762220613904942,0.6679174128828204,-10.637156578361308,-15.7263380047074,-11.020990460001563,0.8782255721458269,0.90450833785876,0.6766096820651057,0.9210939203762855,0.9214303181601712,0.6417285194905724,0.7930728560450555,0.8181502536921722,0.6394498394602475
ok,02,transformer.transformer_blocks.3,dual,3,0.5,0.9343880414962769,1.1804083585739136,3.4844388306140903,1595.97119140625,911.5433349609375,1271.082015991211,342.49433106575964,748.843537414966,408.96145124716554,-24.75102753600307,-38.28922568703989,-33.233307800525665,0.6674312791874912,0.7035852929630447,0.4952806444553709,-8.368007891052635,-10.212825198996123,-5.507477654290286,0.716264310015471,0.7607974214225628,0.5328987656289086,0.7835004976572872,0.8137209106622096,0.534019111992611,0.4923970700698936,0.5556108347883785,0.3769104205564537
ok,02,transformer.transformer_blocks.3,dual,3,1.0,1.0325357913970947,1.1804083585739136,3.4844388306140903,2228.826904296875,911.5433349609375,1271.082015991211,127.70975056689343,748.843537414966,408.96145124716554,-14.334754270064545,-38.28922568703989,-33.233307800525665,0.0,0.7035852929630447,0.4952806444553709,-7.058838757837895,-10.212825198996123,-5.507477654290286,0.2785108986489619,0.7607974214225628,0.5328987656289086,0.0,0.8137209106622096,0.534019111992611,0.0,0.5556108347883785,0.3769104205564537
ok,02,transformer.transformer_blocks.3,dual,3,2.0,1.1216920614242554,1.1804083585739136,3.4844388306140903,2885.950927734375,911.5433349609375,1271.082015991211,121.9047619047619,748.843537414966,408.96145124716554,-8.27173812484202,-38.28922568703989,-33.233307800525665,0.0,0.7035852929630447,0.4952806444553709,-7.100329440592451,-10.212825198996123,-5.507477654290286,0.27894710785214677,0.7607974214225628,0.5328987656289086,0.0,0.8137209106622096,0.534019111992611,0.0,0.5556108347883785,0.3769104205564537
ok,02,transformer.transformer_blocks.3,dual,3,4.0,1.3069677352905273,1.1804083585739136,3.4844388306140903,3181.253173828125,911.5433349609375,1271.082015991211,539.8639455782312,748.843537414966,408.96145124716554,-5.258136451891363,-38.28922568703989,-33.233307800525665,0.6535825382129073,0.7035852929630447,0.4952806444553709,-7.77996928990759,-10.212825198996123,-5.507477654290286,0.7120057526184578,0.7607974214225628,0.5328987656289086,0.7723631827557663,0.8137209106622096,0.534019111992611,0.5065547342712987,0.5556108347883785,0.3769104205564537
ok,03,transformer.transformer_blocks.3,dual,3,0.5,6.827131748199463,3.348205089569092,5.6522355616092685,2204.502685546875,1680.0316162109375,2039.570297241211,1230.657596371882,1230.657596371882,890.7755102040815,-12.965137506443718,-15.992128954412962,-10.936211067898736,0.22353180854456497,0.5123665344246793,0.30406188591700545,-6.722690932888201,-7.974611663510046,-3.269264118804209,0.47031914627976956,0.6433843325126524,0.4154856767189981,0.47755859117295596,0.7048749634813317,0.425173164811733,0.10878041437833501,0.36277673402731087,0.18407631979538608
ok,03,transformer.transformer_blocks.3,dual,3,1.0,9.071558952331543,3.348205089569092,5.6522355616092685,2417.566650390625,1680.0316162109375,2039.570297241211,853.3333333333334,1230.657596371882,890.7755102040815,-9.516247678843836,-15.992128954412962,-10.936211067898736,0.054271912764207654,0.5123665344246793,0.30406188591700545,-5.0732410489760476,-7.974611663510046,-3.269264118804209,0.3259876449133629,0.6433843325126524,0.4154856767189981,0.19715734020331369,0.7048749634813317,0.425173164811733,0.017993885515452827,0.36277673402731087,0.18407631979538608
