site,onset_strength_max_toward_source_mean,onset_strength_max_toward_source_median,onset_strength_max_frac_moved_toward,onset_strength_max_n,spectral_centroid_mean_hz_toward_source_mean,spectral_centroid_mean_hz_toward_source_median,spectral_centroid_mean_hz_frac_moved_toward,spectral_centroid_mean_hz_n,decay_time_to_minus_20db_ms_toward_source_mean,decay_time_to_minus_20db_ms_toward_source_median,decay_time_to_minus_20db_ms_frac_moved_toward,decay_time_to_minus_20db_ms_n,high_to_low_db_toward_source_mean,high_to_low_db_toward_source_median,high_to_low_db_frac_moved_toward,high_to_low_db_n,tail_energy_fraction_500ms_toward_source_mean,tail_energy_fraction_500ms_toward_source_median,tail_energy_fraction_500ms_frac_moved_toward,tail_energy_fraction_500ms_n,direct_to_late_db_toward_source_mean,direct_to_late_db_toward_source_median,direct_to_late_db_frac_moved_toward,direct_to_late_db_n,reverb_proxy_score_toward_source_mean,reverb_proxy_score_toward_source_median,reverb_proxy_score_frac_moved_toward,reverb_proxy_score_n,late_energy_fraction_300ms_toward_source_mean,late_energy_fraction_300ms_toward_source_median,late_energy_fraction_300ms_frac_moved_toward,late_energy_fraction_300ms_n,late_energy_fraction_700ms_toward_source_mean,late_energy_fraction_700ms_toward_source_median,late_energy_fraction_700ms_frac_moved_toward,late_energy_fraction_700ms_n
transformer.single_transformer_blocks.3,-0.03357756996572431,-0.095346806862698,0.35,20,3.1161051265415933,3.1262697225155645,0.95,20,-0.3065755764304015,0.04269854824935934,0.55,20,2.5174773885792217,2.6376435040760935,0.95,20,0.09343021378581824,-0.11596885124187163,0.5,20,0.3231215414912638,0.3846606572603901,0.65,20,0.1827024834815724,0.03415946406364385,0.55,20,0.20757537499489648,-0.057058671801758415,0.45,20,-0.05407357977286438,-0.22374035052691793,0.5,20
transformer.single_transformer_blocks.6,0.428017409468992,0.22871598477565389,0.55,20,3.285071884930806,3.5757137957758456,0.9,20,0.7241673783091374,0.40990606319385137,0.6,20,2.714441914006283,2.33667623825348,1.0,20,1.0507862022130154,0.4896241087462525,0.75,20,1.06986015837903,1.0326407830833455,0.9,20,0.9155771980139417,0.7199544727331291,0.75,20,0.8891885878002285,0.4854697056522911,0.7,20,1.0698372857232066,0.560738298114942,0.75,20
transformer.single_transformer_blocks.9,0.1725580435172775,-0.037574876471589524,0.45,20,3.334453588500176,3.382756164004277,0.95,20,0.3467122117847992,0.008539709649871635,0.5,20,2.6871327416368556,2.3533324411905348,1.0,20,0.8092745394914896,0.12018457927746103,0.6,20,0.5865623301344516,0.6393237941377343,0.7,20,0.6307469900245974,0.39015071031179877,0.65,20,0.7341980889365913,0.33928027833272156,0.6,20,0.6987642291572866,0.1857081955999548,0.55,20
transformer.transformer_blocks.3,0.06956969888325734,-0.04483205991272034,0.45,20,2.703160597667664,2.540351632474459,0.85,20,0.21520068317677188,0.5294619982920581,0.65,20,2.4975728166205644,2.2310160589180406,0.85,20,0.6907336696046642,0.31587456438509753,0.7,20,0.4095329564528372,0.5690653986476932,0.75,20,0.55932807800408,0.23882411889718486,0.75,20,0.6618341373967267,0.1364354869229391,0.7,20,0.6607333544557678,0.3904385191886008,0.75,20
