job_id,pair_id,concept,label,side,sample_index,seed,duration,steps,guidance_scale,prompt,wav_path,status,error,sample_rate,duration_seconds,rms_dbfs,peak_dbfs,clip_fraction,silence_fraction,spectral_centroid_mean_hz,spectral_centroid_median_hz,spectral_centroid_std_hz,rolloff_85_mean_hz,rolloff_85_median_hz,rolloff_95_mean_hz,rolloff_95_median_hz,low_band_energy,high_band_energy,total_energy,high_to_low_ratio,high_to_low_db,high_to_total_ratio,onset_strength_mean,onset_strength_median,onset_strength_max,onset_strength_p95,onset_count,onset_rate_per_second,mean_inter_onset_interval_ms,median_inter_onset_interval_ms,attack_time_ms_first,attack_time_ms_median,attack_time_ms_min,attack_time_ms_valid_count,transient_energy_total,non_transient_energy_total,transient_energy_fraction,transient_energy_per_onset_mean
01-positive-sample-000-seed-301,01,clear_muffled,positive,positive,0,301,3.0,50,4.0,a clear small bell rings once in a quiet room,/outputs/clear-muffled-v1/01/positive/01-positive-sample-000-seed-301.wav,ok,,44100,3.0,-39.81177795038889,-27.132705764709826,0.0,0.008072562515735626,1804.883056640625,1818.8348388671875,170.85499572753906,4162.89208984375,4198.974609375,6547.59033203125,6589.16015625,20620.201171875,196.85902404785156,21268.673828125,0.009546901235685235,-20.20137570262035,0.00925582035056326,0.5032234191894531,0.4991351366043091,1.2768691778182983,0.6730935573577881,40,13.333333333333334,75.46485260770974,81.26984126984127,217.68707482993196,82.72108843537416,0.0,40,13.61701774597168,0.19897079467773438,0.9855985118913263,0.6378597643226385
01-negative-sample-000-seed-301,01,clear_muffled,negative,negative,0,301,3.0,50,4.0,a muffled small bell rings once under a thick blanket,/outputs/clear-muffled-v1/01/negative/01-negative-sample-000-seed-301.wav,ok,,44100,3.0,-35.30448437896117,-23.5319037741479,0.0,0.004353741649538279,2076.946044921875,2075.098876953125,140.34750366210938,4635.95751953125,4672.705078125,7049.171875,7105.95703125,55655.9921875,1086.194580078125,60235.625,0.019516219860367123,-17.09604297978997,0.018032428153241957,0.4881880581378937,0.4823632538318634,0.8741714954376221,0.6858919858932495,49,16.333333333333332,61.19425547996976,52.244897959183675,110.29478458049887,66.75736961451247,0.0,49,38.93513870239258,0.06907272338867188,0.9982290957600795,1.8136819406431548
02-positive-sample-000-seed-302,02,clear_muffled,positive,positive,0,302,3.0,50,4.0,a clear metal spoon taps a wine glass once,/outputs/clear-muffled-v1/02/positive/02-positive-sample-000-seed-302.wav,ok,,44100,3.0,-48.72807904156921,-36.03918783731551,0.0,0.023340892046689987,2356.905029296875,2349.78173828125,120.54750061035156,5145.6875,5146.435546875,6823.697265625,6826.025390625,2396.681640625,140.3522491455078,2747.213623046875,0.05856107326332551,-12.323909724539577,0.05108894625742507,0.550489068031311,0.5441064238548279,1.5173776149749756,0.7283056974411011,40,13.333333333333334,75.1671608814466,69.65986394557822,113.19727891156462,68.20861678004536,0.0,40,1.7489025592803955,0.024273991584777832,0.986310448571557,0.08305663075298071
02-negative-sample-000-seed-302,02,clear_muffled,negative,negative,0,302,3.0,50,4.0,a muffled metal spoon taps a wine glass wrapped in cloth once,/outputs/clear-muffled-v1/02/negative/02-negative-sample-000-seed-302.wav,ok,,44100,3.0,-41.254071137923994,-9.372074620277932,0.0,0.01588057354092598,2407.72265625,2461.409423828125,289.56494140625,5238.22216796875,5383.30078125,6846.0625,6933.69140625,14198.9453125,376.9949951171875,15410.03515625,0.026550915354628564,-15.759205018287826,0.024464252760921568,0.4996013939380646,0.46575868129730225,5.6781415939331055,0.6576338410377502,3,1.0,1088.4353741496598,1088.4353741496598,0.0,0.0,0.0,3,6.998973369598389,2.912832736968994,0.7061249276215155,2.3329911828041077
03-positive-sample-000-seed-303,03,clear_muffled,positive,positive,0,303,3.0,50,4.0,clear house keys jingle briefly close to the microphone,/outputs/clear-muffled-v1/03/positive/03-positive-sample-000-seed-303.wav,ok,,44100,3.0,-31.725572523606736,-7.742305964120035,0.0,0.005124716553837061,1991.815673828125,1765.799560546875,606.388427734375,4370.40869140625,3962.109375,6629.64892578125,6416.89453125,129878.75,3278.444580078125,137064.765625,0.025242347805765956,-15.978702535614751,0.023918944924531,0.5654922723770142,0.4739849269390106,4.2932658195495605,1.277103066444397,17,5.666666666666667,181.7687074829932,127.70975056689343,116.09977324263039,52.244897959183675,0.0,17,77.80307006835938,11.117576599121094,0.8749719326637899,8.750098214429968
03-negative-sample-000-seed-303,03,clear_muffled,negative,negative,0,303,3.0,50,4.0,muffled house keys jingle briefly inside a coat pocket,/outputs/clear-muffled-v1/03/negative/03-negative-sample-000-seed-303.wav,ok,,44100,3.0,-36.487077875910224,-11.96992354894524,0.0,0.006704459432512522,3176.483642578125,3169.676025390625,1079.575927734375,6279.21533203125,6890.625,7727.0947265625,7924.21875,21704.798828125,22252.568359375,46162.15625,1.025237254470205,0.10824378937171059,0.4820521866193155,0.6500580310821533,0.5155534148216248,3.2910983562469482,1.517773151397705,31,10.333333333333334,98.10430839002265,92.87981859410431,246.71201814058958,69.65986394557822,0.0,31,28.312808990478516,1.3937301635742188,0.953083388261871,1.5223711310855803
04-positive-sample-000-seed-304,04,clear_muffled,positive,positive,0,304,3.0,50,4.0,a clear camera shutter clicks once in a quiet room,/outputs/clear-muffled-v1/04/positive/04-positive-sample-000-seed-304.wav,ok,,44100,3.0,-43.36506084171876,-26.798762431925404,0.0,0.01408163271844387,1994.06982421875,2024.197998046875,296.2886657714844,4743.95556640625,4844.970703125,6564.966796875,6610.693359375,8354.498046875,106.65132904052734,10146.6591796875,0.01276573750357393,-18.939540900269584,0.010510979737452068,0.512719988822937,0.5107710957527161,1.555341124534607,0.7139414548873901,40,13.333333333333334,75.7625443339729,63.85487528344672,293.15192743764175,91.42857142857142,0.0,40,6.028632164001465,0.06749153137207031,0.9889287792137008,0.2786244979128242
04-negative-sample-000-seed-304,04,clear_muffled,negative,negative,0,304,3.0,50,4.0,a muffled camera shutter clicks once under heavy fabric,/outputs/clear-muffled-v1/04/negative/04-negative-sample-000-seed-304.wav,ok,,44100,3.0,-31.978449584841265,0.0,0.0001889644772745669,0.010370370000600815,2462.782958984375,2446.653076171875,254.41079711914062,5310.470703125,5340.234375,6838.57958984375,6826.025390625,55683.55078125,12487.2099609375,130330.5546875,0.2242531193815723,-6.49261507165558,0.09581183776036785,0.5775589346885681,0.4907374083995819,17.228517532348633,0.7256041169166565,4,1.3333333333333333,874.618291761149,423.7641723356009,223.4920634920635,42.08616780045352,0.0,4,76.42902374267578,7.461875915527344,0.9110526177937145,19.202193945646286
05-positive-sample-000-seed-305,05,clear_muffled,positive,positive,0,305,3.0,50,4.0,clear bird chirps sound nearby in a quiet garden,/outputs/clear-muffled-v1/05/positive/05-positive-sample-000-seed-305.wav,ok,,44100,3.0,-36.38691943230863,-17.388770507369575,0.0,0.007437641732394695,2581.911865234375,2501.98779296875,490.6077575683594,4386.7041015625,4306.640625,5826.103515625,5813.96484375,11164.2314453125,6232.7841796875,46930.46875,0.5582815270552676,-2.531467422564873,0.13280890529540043,0.5757952928543091,0.5515896677970886,1.1508729457855225,0.9109442830085754,45,15.0,64.91032776747062,58.049886621315196,75.46485260770976,66.75736961451247,0.0,45,29.219079971313477,1.1805229187011719,0.9611665019779275,1.2677272571457756
05-negative-sample-000-seed-305,05,clear_muffled,negative,negative,0,305,3.0,50,4.0,muffled bird chirps sound through a closed window,/outputs/clear-muffled-v1/05/negative/05-negative-sample-000-seed-305.wav,ok,,44100,3.0,-25.646279266284612,-2.959457514337954,0.0,0.0045049129985272884,1960.5360107421875,2003.086669921875,520.6897583007812,3777.7880859375,3854.443359375,5795.25927734375,5921.630859375,476740.625,4134.86083984375,554947.75,0.008673187521713196,-20.61821263690981,0.007450901170143946,0.5904061794281006,0.49678000807762146,6.317356109619141,1.1421771049499512,12,4.0,226.39455782312925,133.51473922902494,26.122448979591837,104.48979591836735,0.0,12,336.7407531738281,23.78143310546875,0.9340361453177107,56.54911128679911
06-positive-sample-000-seed-306,06,clear_muffled,positive,positive,0,306,3.0,50,4.0,a clear alarm beep sounds three times nearby,/outputs/clear-muffled-v1/06/positive/06-positive-sample-000-seed-306.wav,ok,,44100,3.0,-12.777510422597027,0.0,7.558579000033205e-06,0.019108086824417114,2144.7900390625,2639.24462890625,829.9190673828125,3792.00537109375,5275.634765625,5131.63671875,6869.091796875,10816990.0,644.1612548828125,10824657.0,5.955087828340532e-05,-42.25111828961662,5.950869897150667e-05,0.4915325939655304,0.4454761743545532,10.005295753479004,0.6990638971328735,3,1.0,914.2857142857143,914.2857142857143,0.0,0.0,0.0,3,889.5570068359375,6089.6929931640625,0.12745739253299962,296.5190179931621
06-negative-sample-000-seed-306,06,clear_muffled,negative,negative,0,306,3.0,50,4.0,a muffled alarm beep sounds three times from inside a drawer,/outputs/clear-muffled-v1/06/negative/06-negative-sample-000-seed-306.wav,ok,,44100,3.0,-19.05369399838027,0.0,7.558579000033205e-06,0.007044595666229725,1781.454833984375,1697.637451171875,582.167236328125,3436.998291015625,3832.91015625,5238.88720703125,6180.029296875,2556187.0,834.6995849609375,2562590.75,0.00032654089272848093,-34.86062424268625,0.00032572488797165037,0.5107067823410034,0.4536837339401245,11.482837677001953,0.7933154702186584,6,2.0,500.39002267573704,261.2244897959184,0.0,0.0,0.0,6,460.42779541015625,1184.6652221679688,0.2798794903937951,76.73796797295411
07-positive-sample-000-seed-307,07,clear_muffled,positive,positive,0,307,3.0,50,4.0,clear coins clink on a ceramic plate,/outputs/clear-muffled-v1/07/positive/07-positive-sample-000-seed-307.wav,ok,,44100,3.0,-20.89314839543334,-1.1839561035858779,0.0,0.027226001024246216,3602.36962890625,3848.388427734375,1427.6727294921875,5578.51318359375,5706.298828125,6773.81298828125,6739.892578125,56076.83203125,1418140.125,1654403.75,25.289233960465374,14.029356742719854,0.8571910726145295,0.8169286251068115,0.38676077127456665,12.365460395812988,3.6649088859558105,19,6.333333333333333,144.15721844293273,110.29478458049887,107.3922902494331,63.85487528344672,0.0,19,1034.8834228515625,42.189453125,0.9608295278193246,65.72029193177035
07-negative-sample-000-seed-307,07,clear_muffled,negative,negative,0,307,3.0,50,4.0,muffled coins clink on a plate covered by thick cloth,/outputs/clear-muffled-v1/07/negative/07-negative-sample-000-seed-307.wav,ok,,44100,3.0,-17.054249594996126,0.0,0.0008692365954630077,0.0060468632727861404,4959.76318359375,5137.28369140625,816.8213500976562,6687.84765625,6696.826171875,7898.02978515625,7751.953125,28687.7890625,3805100.5,4004386.5,132.63833234795837,21.226690528877995,0.9502330756534115,0.8871657252311707,0.3852745592594147,14.24316692352295,3.6977288722991943,19,6.333333333333333,158.99218946837993,142.22222222222223,200.2721088435374,40.63492063492063,0.0,19,2561.26513671875,45.6982421875,0.9824707003722191,157.92080547464522
08-positive-sample-000-seed-308,08,clear_muffled,positive,positive,0,308,3.0,50,4.0,a clear bicycle bell rings once on a quiet street,/outputs/clear-muffled-v1/08/positive/08-positive-sample-000-seed-308.wav,ok,,44100,3.0,-27.470309101416277,-13.81086927315211,0.0,0.08608465641736984,1832.1126708984375,1498.33837890625,1420.4649658203125,3665.882568359375,2885.44921875,6406.501953125,5512.5,308280.375,1696.8443603515625,366150.375,0.0055042243942760305,-22.593038692475893,0.0046342827324744994,0.4686445891857147,0.47428545355796814,1.6185600757598877,0.830203115940094,38,12.666666666666666,71.07188821474534,63.85487528344672,150.92970521541952,72.56235827664399,0.0,38,235.52072143554688,1.359588623046875,0.9942604405460691,11.677496583838211
08-negative-sample-000-seed-308,08,clear_muffled,negative,negative,0,308,3.0,50,4.0,a muffled bicycle bell rings once from inside a bag,/outputs/clear-muffled-v1/08/negative/08-negative-sample-000-seed-308.wav,ok,,44100,3.0,-27.533500574138266,-8.092828984415753,0.0,0.13803477585315704,1770.0015869140625,1519.36572265625,1799.8983154296875,3273.462646484375,2842.3828125,6398.4375,6352.294921875,342058.6875,1959.8974609375,364761.8125,0.005729711106774623,-22.418672746986772,0.005373088392956431,0.47229599952697754,0.4303714632987976,3.768256902694702,1.1712149381637573,20,6.666666666666667,133.20921350996537,110.29478458049887,0.0,53.69614512471655,0.0,20,196.69956970214844,36.75901794433594,0.8425458737033121,12.068403193727136
