pair_id,spectral_centroid_mean_hz_positive,spectral_centroid_mean_hz_negative,spectral_centroid_mean_hz_difference,spectral_centroid_mean_hz_expected_direction,spectral_centroid_median_hz_positive,spectral_centroid_median_hz_negative,spectral_centroid_median_hz_difference,spectral_centroid_median_hz_expected_direction,rolloff_85_mean_hz_positive,rolloff_85_mean_hz_negative,rolloff_85_mean_hz_difference,rolloff_85_mean_hz_expected_direction,rolloff_95_mean_hz_positive,rolloff_95_mean_hz_negative,rolloff_95_mean_hz_difference,rolloff_95_mean_hz_expected_direction,high_to_low_db_positive,high_to_low_db_negative,high_to_low_db_difference,high_to_low_db_expected_direction,high_to_total_ratio_positive,high_to_total_ratio_negative,high_to_total_ratio_difference,high_to_total_ratio_expected_direction,onset_strength_max_positive,onset_strength_max_negative,onset_strength_max_difference,onset_strength_max_expected_direction,onset_strength_p95_positive,onset_strength_p95_negative,onset_strength_p95_difference,onset_strength_p95_expected_direction,onset_strength_mean_positive,onset_strength_mean_negative,onset_strength_mean_difference,onset_strength_mean_expected_direction,transient_energy_fraction_positive,transient_energy_fraction_negative,transient_energy_fraction_difference,transient_energy_fraction_expected_direction,transient_energy_per_onset_mean_positive,transient_energy_per_onset_mean_negative,transient_energy_per_onset_mean_difference,transient_energy_per_onset_mean_expected_direction,onset_count_positive,onset_count_negative,onset_count_difference,onset_count_expected_direction,onset_rate_per_second_positive,onset_rate_per_second_negative,onset_rate_per_second_difference,onset_rate_per_second_expected_direction,attack_time_ms_first_positive,attack_time_ms_first_negative,attack_time_ms_first_difference,attack_time_ms_first_expected_direction,attack_time_ms_median_positive,attack_time_ms_median_negative,attack_time_ms_median_difference,attack_time_ms_median_expected_direction,attack_time_ms_min_positive,attack_time_ms_min_negative,attack_time_ms_min_difference,attack_time_ms_min_expected_direction
01,1804.883056640625,2076.946044921875,-272.06298828125,False,1818.8348388671875,2075.098876953125,-256.2640380859375,False,4162.89208984375,4635.95751953125,-473.0654296875,False,6547.59033203125,7049.171875,-501.58154296875,False,-20.20137570262035,-17.09604297978997,-3.1053327228303793,False,0.00925582035056326,0.018032428153241957,-0.008776607802678697,False,1.2768691778182983,0.8741714954376221,0.40269768238067627,True,0.6730935573577881,0.6858919858932495,-0.012798428535461426,False,0.5032234191894531,0.4881880581378937,0.015035361051559448,True,0.9855985118913263,0.9982290957600795,-0.012630583868753154,False,0.6378597643226385,1.8136819406431548,-1.1758221763205163,False,40.0,49.0,-9.0,False,13.333333333333334,16.333333333333332,-2.9999999999999982,False,217.68707482993196,110.29478458049887,107.39229024943309,False,82.72108843537416,66.75736961451247,15.963718820861686,False,0.0,0.0,0.0,False
02,2356.905029296875,2407.72265625,-50.817626953125,False,2349.78173828125,2461.409423828125,-111.627685546875,False,5145.6875,5238.22216796875,-92.53466796875,False,6823.697265625,6846.0625,-22.365234375,False,-12.323909724539577,-15.759205018287826,3.435295293748249,True,0.05108894625742507,0.024464252760921568,0.026624693496503503,True,1.5173776149749756,5.6781415939331055,-4.16076397895813,False,0.7283056974411011,0.6576338410377502,0.07067185640335083,True,0.550489068031311,0.4996013939380646,0.05088767409324646,True,0.986310448571557,0.7061249276215155,0.28018552095004157,True,0.08305663075298071,2.3329911828041077,-2.249934552051127,False,40.0,3.0,37.0,True,13.333333333333334,1.0,12.333333333333334,True,113.19727891156462,0.0,113.19727891156462,False,68.20861678004536,0.0,68.20861678004536,False,0.0,0.0,0.0,False
03,1991.815673828125,3176.483642578125,-1184.66796875,False,1765.799560546875,3169.676025390625,-1403.87646484375,False,4370.40869140625,6279.21533203125,-1908.806640625,False,6629.64892578125,7727.0947265625,-1097.44580078125,False,-15.978702535614751,0.10824378937171059,-16.08694632498646,False,0.023918944924531,0.4820521866193155,-0.4581332416947845,False,4.2932658195495605,3.2910983562469482,1.0021674633026123,True,1.277103066444397,1.517773151397705,-0.2406700849533081,False,0.5654922723770142,0.6500580310821533,-0.08456575870513916,False,0.8749719326637899,0.953083388261871,-0.07811145559808108,False,8.750098214429968,1.5223711310855803,7.227727083344388,True,17.0,31.0,-14.0,False,5.666666666666667,10.333333333333334,-4.666666666666667,False,116.09977324263039,246.71201814058958,-130.6122448979592,True,52.244897959183675,69.65986394557822,-17.41496598639455,True,0.0,0.0,0.0,False
04,1994.06982421875,2462.782958984375,-468.713134765625,False,2024.197998046875,2446.653076171875,-422.455078125,False,4743.95556640625,5310.470703125,-566.51513671875,False,6564.966796875,6838.57958984375,-273.61279296875,False,-18.939540900269584,-6.49261507165558,-12.446925828614004,False,0.010510979737452068,0.09581183776036785,-0.08530085802291579,False,1.555341124534607,17.228517532348633,-15.673176407814026,False,0.7139414548873901,0.7256041169166565,-0.011662662029266357,False,0.512719988822937,0.5775589346885681,-0.0648389458656311,False,0.9889287792137008,0.9110526177937145,0.07787616141998632,True,0.2786244979128242,19.202193945646286,-18.923569447733463,False,40.0,4.0,36.0,True,13.333333333333334,1.3333333333333333,12.0,True,293.15192743764175,223.4920634920635,69.65986394557825,False,91.42857142857142,42.08616780045352,49.3424036281179,False,0.0,0.0,0.0,False
05,2581.911865234375,1960.5360107421875,621.3758544921875,True,2501.98779296875,2003.086669921875,498.901123046875,True,4386.7041015625,3777.7880859375,608.916015625,True,5826.103515625,5795.25927734375,30.84423828125,True,-2.531467422564873,-20.61821263690981,18.086745214344937,True,0.13280890529540043,0.007450901170143946,0.1253580041252565,True,1.1508729457855225,6.317356109619141,-5.166483163833618,False,0.9109442830085754,1.1421771049499512,-0.23123282194137573,False,0.5757952928543091,0.5904061794281006,-0.014610886573791504,False,0.9611665019779275,0.9340361453177107,0.027130356660216792,True,1.2677272571457756,56.54911128679911,-55.28138402965334,False,45.0,12.0,33.0,True,15.0,4.0,11.0,True,75.46485260770976,26.122448979591837,49.34240362811792,False,66.75736961451247,104.48979591836735,-37.73242630385488,True,0.0,0.0,0.0,False
06,2144.7900390625,1781.454833984375,363.335205078125,True,2639.24462890625,1697.637451171875,941.607177734375,True,3792.00537109375,3436.998291015625,355.007080078125,True,5131.63671875,5238.88720703125,-107.25048828125,False,-42.25111828961662,-34.86062424268625,-7.390494046930371,False,5.950869897150667e-05,0.00032572488797165037,-0.0002662161890001437,False,10.005295753479004,11.482837677001953,-1.4775419235229492,False,0.6990638971328735,0.7933154702186584,-0.09425157308578491,False,0.4915325939655304,0.5107067823410034,-0.019174188375473022,False,0.12745739253299962,0.2798794903937951,-0.1524220978607955,False,296.5190179931621,76.73796797295411,219.781050020208,True,3.0,6.0,-3.0,False,1.0,2.0,-1.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False
07,3602.36962890625,4959.76318359375,-1357.3935546875,False,3848.388427734375,5137.28369140625,-1288.895263671875,False,5578.51318359375,6687.84765625,-1109.33447265625,False,6773.81298828125,7898.02978515625,-1124.216796875,False,14.029356742719854,21.226690528877995,-7.197333786158142,False,0.8571910726145295,0.9502330756534115,-0.09304200303888199,False,12.365460395812988,14.24316692352295,-1.877706527709961,False,3.6649088859558105,3.6977288722991943,-0.03281998634338379,False,0.8169286251068115,0.8871657252311707,-0.07023710012435913,False,0.9608295278193246,0.9824707003722191,-0.02164117255289444,False,65.72029193177035,157.92080547464522,-92.20051354287487,False,19.0,19.0,0.0,False,6.333333333333333,6.333333333333333,0.0,False,107.3922902494331,200.2721088435374,-92.87981859410431,True,63.85487528344672,40.63492063492063,23.219954648526084,False,0.0,0.0,0.0,False
08,1832.1126708984375,1770.0015869140625,62.111083984375,True,1498.33837890625,1519.36572265625,-21.02734375,False,3665.882568359375,3273.462646484375,392.419921875,True,6406.501953125,6398.4375,8.064453125,True,-22.593038692475893,-22.418672746986772,-0.17436594548912154,False,0.0046342827324744994,0.005373088392956431,-0.0007388056604819317,False,1.6185600757598877,3.768256902694702,-2.1496968269348145,False,0.830203115940094,1.1712149381637573,-0.34101182222366333,False,0.4686445891857147,0.47229599952697754,-0.0036514103412628174,False,0.9942604405460691,0.8425458737033121,0.15171456684275697,True,11.677496583838211,12.068403193727136,-0.39090660988892445,False,38.0,20.0,18.0,True,12.666666666666666,6.666666666666667,5.999999999999999,True,150.92970521541952,0.0,150.92970521541952,False,72.56235827664399,53.69614512471655,18.86621315192744,False,0.0,0.0,0.0,False
09,3843.59228515625,3275.096435546875,568.495849609375,True,3910.00732421875,3502.11083984375,407.896484375,True,6888.54638671875,6356.70166015625,531.8447265625,True,8113.19482421875,7874.75,238.44482421875,True,-0.6283660142534585,0.4425424814141404,-1.070908495667599,False,0.36391786022017086,0.4295498812041912,-0.06563202098402032,False,3.419344663619995,8.224651336669922,-4.805306673049927,False,2.340106725692749,2.545539140701294,-0.20543241500854492,False,0.7815712094306946,0.7635900378227234,0.01798117160797119,True,0.9976578683402771,0.9909430534536209,0.006714814886656262,True,75.98165781357709,313.0049018534747,-237.02324403989758,False,34.0,22.0,12.0,True,11.333333333333334,7.333333333333333,4.000000000000001,True,258.32199546485265,258.32199546485265,0.0,False,105.94104308390023,31.92743764172336,74.01360544217687,False,0.0,0.0,0.0,False
10,2119.06103515625,2374.876953125,-255.81591796875,False,1972.1890869140625,2332.763916015625,-360.5748291015625,False,4437.751953125,4925.86572265625,-488.11376953125,False,6366.01318359375,6637.630859375,-271.61767578125,False,-2.7180584803424384,-12.654850148206332,9.936791667863893,True,0.2902294252582951,0.04059620911559896,0.24963321614269612,True,10.190475463867188,5.265983581542969,4.924491882324219,True,1.6626403331756592,0.9910771250724792,0.6715632081031799,True,0.6463608741760254,0.5616544485092163,0.08470642566680908,True,0.9057593290632486,0.7313459313688198,0.17441339769442887,True,2.399235799908638,0.6735173463821411,1.7257184535264969,True,16.0,11.0,5.0,True,5.333333333333333,3.6666666666666665,1.6666666666666665,True,0.0,17.414965986394556,-17.414965986394556,True,2.9024943310657596,0.0,2.9024943310657596,False,0.0,0.0,0.0,False
