block,cv_pearson_am_rate,cv_pearson_attack,cv_pearson_decay,cv_pearson_density,cv_pearson_f0,cv_pearson_tail,cv_spearman_am_rate,cv_spearman_attack,cv_spearman_decay,cv_spearman_density,cv_spearman_f0,cv_spearman_tail,n_am_rate,n_attack,n_decay,n_density,n_f0,n_tail,r2_am_rate,r2_attack,r2_decay,r2_density,r2_f0,r2_tail,site,stability_cos_am_rate,stability_cos_attack,stability_cos_decay,stability_cos_density,stability_cos_f0,stability_cos_tail,stack
0,0.09070969326614171,0.3283712867639403,0.1629259718309209,0.3883595961149185,0.47267597750928314,0.05723642439614368,0.08833178130850093,0.30307646522344356,0.20099995199923196,0.4034433830941294,0.3104331509600568,0.07373647578361253,250,250,250,250,223,250,-0.10031283786594533,0.03157510909539853,-0.03774450377855041,0.11926441557701659,0.1733343055083328,-0.1149019472798047,transformer.transformer_blocks.0,0.16209354996681213,0.4649541676044464,0.19291150569915771,0.20924793183803558,0.6196382641792297,0.17199677228927612,dual
1,0.15191948786616355,0.320932945255296,0.20798512415221077,0.38849606814039134,0.47787539440970794,0.029600539353885014,0.15505284884558151,0.2943971583545337,0.25417942687082995,0.3991002736043776,0.32057477881468904,0.050573225171602745,250,250,250,250,223,250,-0.05263023603620305,0.02418359376156425,-0.012211581535544557,0.11921155991316197,0.18347011094238871,-0.1385554046513011,transformer.transformer_blocks.1,0.1757243275642395,0.4593569338321686,0.20250427722930908,0.1510123610496521,0.6176761984825134,0.15360885858535767,dual
2,0.16630202563043678,0.29341450919154544,0.20862254115305598,0.38439842547220676,0.47184083136124944,0.031407576895458464,0.17246983151730427,0.2675866173858782,0.24417837085393365,0.3929546392742283,0.3087547829700296,0.04694820717131473,250,250,250,250,223,250,-0.03598161880133817,-0.005251336714583221,-0.0127991512529674,0.11289313596328274,0.17407774918834826,-0.14729653509362434,transformer.transformer_blocks.2,0.1626175343990326,0.46208328008651733,0.18023371696472168,0.20769639313220978,0.65810626745224,0.1290317326784134,dual
3,0.23125166989095347,0.2702645689509325,0.2739577124392191,0.3914477713254166,0.5145461056959558,0.059111691389584636,0.22604713675418805,0.272925838813421,0.298496039936639,0.3947318197091153,0.31618786467441173,0.05049642394278308,250,250,250,250,223,250,0.0009167144201988053,-0.015045471479191552,0.03436518612259001,0.11654619166838409,0.2128551217992561,-0.14170857590863703,transformer.transformer_blocks.3,0.23806168138980865,0.3286595046520233,0.218311607837677,0.26315999031066895,0.5073769688606262,0.09714772552251816,dual
4,0.22791851949402628,0.25724637897995223,0.3165094957581004,0.4186622571013907,0.55212103298638,0.02654659524000223,0.22835424566793067,0.2689152786444583,0.3325443287092593,0.421554648874382,0.33106484928233804,0.047386742187875,250,250,250,250,223,250,-0.001147614708092304,-0.02817221817299398,0.061194613873229574,0.14580413426675015,0.26264116445377983,-0.18497418889116107,transformer.transformer_blocks.4,0.26089146733283997,0.26463669538497925,0.11582183092832565,0.2848644256591797,0.506718635559082,0.0434296615421772,dual
5,0.20705365779173138,0.3012962351529196,0.25396576147451844,0.4280928032414572,0.5825129703911797,0.045629573410319056,0.2158003168050689,0.2941859549752796,0.2679859837757404,0.42517275476407623,0.36102225704243635,0.062219363509816154,250,250,250,250,223,250,-0.013888288870242493,0.0007379926799236048,0.01619695632157083,0.15880916401612136,0.2999321862691136,-0.13799553650942173,transformer.transformer_blocks.5,0.20113322138786316,0.2766400873661041,0.13108980655670166,0.36230960488319397,0.5479796528816223,0.06815435737371445,dual
0,0.25715000676933414,0.3067575120110728,0.265349784670386,0.4349297638454953,0.5586873332882433,0.08290486828681613,0.2582606441703067,0.2881731867709883,0.2798402534440551,0.4375646330341285,0.3275598628737642,0.08696241539864637,250,250,250,250,223,250,0.0333184793123227,0.008034629442719288,0.02396216611011388,0.1698644616902547,0.2682731537858811,-0.10353070516463107,transformer.single_transformer_blocks.0,0.19293329119682312,0.2586498260498047,0.0806872546672821,0.3747660219669342,0.5744193196296692,0.016505304723978043,single
1,0.2658030815493551,0.3137753260944808,0.2571831747939553,0.43666702188955286,0.5783446023329702,0.09154103675553317,0.2642434598953583,0.30810848173570776,0.27638266212259394,0.43109796956751306,0.3535426441816576,0.09234234147746363,250,250,250,250,223,250,0.0462947534395548,0.01377682071959061,0.0195916498502684,0.17258514352823026,0.2902339148727734,-0.09574566795877815,transformer.single_transformer_blocks.1,0.15954962372779846,0.33253419399261475,0.008875090628862381,0.3106886148452759,0.4801502525806427,0.03588572144508362,single
2,0.291866553702019,0.32745828066396093,0.24932582018585706,0.4416793642899442,0.5565820670869237,0.07254391299641211,0.279316469063505,0.3324982479719675,0.2640215043440695,0.433785244563913,0.3223591945565039,0.06768607497719963,250,250,250,250,223,250,0.06600184834012202,0.02623943177899577,0.007057855226363885,0.17562477563641907,0.26355067027394946,-0.09861173749442524,transformer.single_transformer_blocks.2,0.21041855216026306,0.2650645077228546,0.003110103541985154,0.25171953439712524,0.4407109320163727,0.025556199252605438,single
3,0.30053424652223787,0.3406858942412345,0.2733546349172022,0.4594515360902546,0.5478873340153967,0.09118820180114323,0.27296884750156003,0.3399902078433255,0.2935968895502328,0.44450055200883215,0.3138851134927368,0.09299975999615993,250,250,250,250,223,250,0.07189063163668954,0.03722199042160625,0.02795153167309483,0.19267268453628453,0.2516258221724752,-0.08699558890700672,transformer.single_transformer_blocks.3,0.23742200434207916,0.2924076318740845,0.008784737437963486,0.27950528264045715,0.4816127121448517,0.00546683743596077,single
4,0.30062224763132095,0.33820869661959685,0.28781708524610516,0.45930218232250675,0.5344272530103197,0.06203732167205284,0.27418384294148707,0.33305736091777466,0.30650487207795324,0.4436741707867326,0.2834147808923594,0.0749184466951471,250,250,250,250,223,250,0.07578929348437538,0.04233734996661056,0.04878828729140825,0.18945329635586877,0.2332848659571865,-0.11806959067068572,transformer.single_transformer_blocks.4,0.21414685249328613,0.2912113666534424,0.005381147842854261,0.2789278030395508,0.47450393438339233,0.022410200908780098,single
5,0.285313005515624,0.34543208095266087,0.25376401620852784,0.46914364984742235,0.5250365667079211,0.08246002634089439,0.2686672106753708,0.33424163586617384,0.2729450391206259,0.45392406278500447,0.2705429644891528,0.09115499447991167,250,250,250,250,223,250,0.0649061155071077,0.04863847851882819,0.023878637069172683,0.20044217190828095,0.2256794484154348,-0.08890350324116458,transformer.single_transformer_blocks.5,0.24813668429851532,0.28254249691963196,0.055191490799188614,0.2592397928237915,0.5339615941047668,0.018138352781534195,single
6,0.30204374409185003,0.343112299131376,0.29533588158790003,0.48178169877033317,0.5165156729589313,0.08537787246481784,0.2736546824749196,0.3387022512360197,0.3094317669082705,0.46021945951135207,0.24128244195508766,0.08857447319157105,250,250,250,250,223,250,0.07536916522811365,0.04528791451141541,0.05461443650137008,0.2112708795403227,0.21298877346583228,-0.0887207056264058,transformer.single_transformer_blocks.6,0.20173273980617523,0.19135934114456177,0.08964334428310394,0.2527647614479065,0.4141673743724823,0.07017534971237183,single
7,0.2862019462989753,0.32585009167280127,0.31704912117656014,0.46821474344477493,0.4966966508123607,0.07301288863863746,0.2579303988863822,0.32274756396102333,0.3292411078577257,0.45770498727979647,0.230912486798137,0.07390236643786299,250,250,250,250,223,250,0.06239095195165432,0.02999492941984394,0.07057034529428574,0.19571455682227556,0.19625653543455196,-0.09933901282329513,transformer.single_transformer_blocks.7,0.17741529643535614,0.19445250928401947,0.09566852450370789,0.2490234673023224,0.4881628751754761,0.006796881090849638,single
8,0.25590987945232685,0.308575251228459,0.2560368989388477,0.46896571280034055,0.4775893081764821,0.07065435365527274,0.21975865213843418,0.31270657130514085,0.2724880718091489,0.4647760764172227,0.2030327492771439,0.0653098449575193,250,250,250,250,223,250,0.043921630248197154,0.012403436148291003,0.028625214801146326,0.19439002796196797,0.17380386666608671,-0.10760525161946402,transformer.single_transformer_blocks.8,0.12400822341442108,0.09437830001115799,0.02602647989988327,0.1621495932340622,0.4104527235031128,0.04827219992876053,single
9,0.2570343015053778,0.2928471061832459,0.18038444890581865,0.457526522844944,0.42607300356996514,0.06992400595589363,0.22190601449623196,0.2989798876782028,0.2155637690203043,0.4538848941583065,0.1710647627127448,0.07334939759036144,250,250,250,250,223,250,0.042633992200347984,-0.005762893616990894,-0.017292603367058713,0.18601703729870872,0.1131836641361009,-0.09841602096316655,transformer.single_transformer_blocks.9,0.12751123309135437,0.12996362149715424,0.11404582858085632,0.15467174351215363,0.2878357172012329,0.009056533686816692,single
10,0.26186444253109215,0.30467614641293667,0.23130424701637606,0.4689891027856468,0.44757535276676685,0.07505157951486659,0.24445255124081983,0.3120998415974655,0.2511749627994048,0.46306724907598523,0.21183795903526845,0.07722709163346614,250,250,250,250,223,250,0.04549683767472603,0.013957873584898261,0.01828805388023169,0.2017313030434283,0.13638250626918655,-0.08882978109483555,transformer.single_transformer_blocks.10,0.12271175533533096,0.1511572003364563,0.004729520529508591,0.2118706852197647,0.4005347192287445,0.023760972544550896,single
11,0.2699480088518731,0.2911426829823156,0.21738020882533537,0.45086875603634324,0.4114600047380685,0.0477458033610444,0.2233168530696491,0.29018614697835166,0.23743445495127918,0.44889127826045216,0.1776343127239988,0.05863889022224355,250,250,250,250,223,250,0.049521542195065923,-0.0003621426804385486,0.016043366421901184,0.18387094109676938,0.11827550684563984,-0.10146522488642144,transformer.single_transformer_blocks.11,0.08728419244289398,0.17407093942165375,0.008131710812449455,0.1588190346956253,0.3725040555000305,0.13491122424602509,single
12,0.21609455335741684,0.2754225169305424,0.18957070014782976,0.459701260097363,0.4042672507617942,0.04296604390439691,0.18727634042144672,0.2801090577449239,0.21697844765516244,0.4550791532664522,0.17938301850857902,0.051232179714875425,250,250,250,250,223,250,0.012114226334124779,-0.01563915244258316,-0.00996600315962164,0.191965481957787,0.1259945971661881,-0.10020030900392954,transformer.single_transformer_blocks.12,0.12466636300086975,0.2254994809627533,0.03155798092484474,0.2010921835899353,0.2649092674255371,0.047482315450906754,single
13,0.20142851668838302,0.2697688522206506,0.14129445796801426,0.4410788840773001,0.3705800467746333,0.0036715397528836154,0.17571621945951132,0.2582099553592857,0.1539668794700715,0.44305515288244607,0.16127698807071003,0.02246320741131858,250,250,250,250,223,250,0.004454065519650441,-0.024063337076357418,-0.04889325167006979,0.1756011558180422,0.097911158640451,-0.1332948491455304,transformer.single_transformer_blocks.13,0.10907690227031708,0.18080294132232666,0.026226738467812538,0.12247756868600845,0.22175824642181396,0.11786787956953049,single
14,0.19005277402616957,0.2628219471428787,0.18016895202943384,0.4338557196439979,0.35663642680089663,0.005300594725683605,0.1657950367205875,0.26737925406806506,0.1894828397254356,0.4348950223203571,0.18043592118704224,0.024579081265300243,250,250,250,250,223,250,-0.001487642569393155,-0.030962954529403165,-0.014989606443950398,0.16818583760446432,0.09432426632146287,-0.12859158162138903,transformer.single_transformer_blocks.14,0.13223659992218018,0.2538893520832062,0.040847085416316986,0.2145257592201233,0.2553865909576416,0.03954830765724182,single
15,0.20697828332296986,0.2823903382103113,0.1649947441496601,0.4498556613171746,0.3531723283107009,-0.03291348717206804,0.18546383142130274,0.2923626938031008,0.18812883406134498,0.461105745691931,0.17053127759405787,-0.009327125234003744,250,250,250,250,223,250,0.01423516912010785,-0.010178754485854192,-0.024877175265533125,0.1866138955706277,0.08892440726158875,-0.1388800827353503,transformer.single_transformer_blocks.15,0.15574964880943298,0.27403292059898376,0.1186254471540451,0.2831283509731293,0.24963530898094177,0.12933531403541565,single
16,0.16790207751870792,0.30447843075578457,0.16247722303795278,0.47057702969417875,0.3492168479776062,-0.061041010358767404,0.14894791916670663,0.30799481591705463,0.17687130994095904,0.47584466951471227,0.173903163252939,-0.028707147314357025,250,250,250,250,223,250,-0.004846189521680033,0.013853505122158837,-0.016959749470901442,0.20390719570049815,0.09414845835126781,-0.1475441331021515,transformer.single_transformer_blocks.16,0.14969304203987122,0.2661760747432709,0.007381649687886238,0.2115972489118576,0.17870184779167175,0.14313475787639618,single
17,0.15193487770461142,0.30376793053028334,0.18001943520246172,0.46552494718765064,0.3821910233687547,-0.057550658568372506,0.1256387462199395,0.31559583353333653,0.1977527960447367,0.4730544808716939,0.21003298301504578,-0.02074132386118178,250,250,250,250,223,250,-0.017090586043472734,0.011117935815915293,-0.004391961210441964,0.1984916356341351,0.11568300689803568,-0.1431835593119289,transformer.single_transformer_blocks.17,0.14908677339553833,0.21176353096961975,0.031278133392333984,0.228210911154747,0.23280759155750275,0.129768967628479,single
