site,stack,block,r2_brightness,cv_pearson_brightness,cv_spearman_brightness,stability_cos_brightness,n_brightness,r2_onset_rate,cv_pearson_onset_rate,cv_spearman_onset_rate,stability_cos_onset_rate,n_onset_rate,r2_decay,cv_pearson_decay,cv_spearman_decay,stability_cos_decay,n_decay,r2_loudness,cv_pearson_loudness,cv_spearman_loudness,stability_cos_loudness,n_loudness
down_blocks.0.resnets.0,down,0,-0.14769541323491173,0.3575942510734242,0.5034965034965035,0.5116717219352722,12,0.02177477603837319,0.5113319880846002,0.3916083916083916,0.15255239605903625,12,-7.704496723537686,-0.5559760566865084,-0.6713286713286714,0.08204568922519684,12,0.1703286595742035,0.6594431014433274,0.6503496503496504,0.577529788017273,12
down_blocks.0.resnets.1,down,0,-0.4413863475241815,0.27259368047779525,0.3846153846153847,0.15490832924842834,12,-0.06776579378920744,0.4227022271854486,0.2797202797202798,0.02197474241256714,12,-6.758472149678962,-0.5912643954676622,-0.6573426573426573,0.5062205791473389,12,0.04943451570194753,0.5471843724733281,0.5524475524475525,0.5728145837783813,12
down_blocks.1.attentions.0,down,1,0.07066667190655555,0.31242230217754846,0.3426573426573427,0.6725152134895325,12,0.13314128655355653,0.5105022292595617,0.4125874125874127,0.16082164645195007,12,-4.633621828199746,-0.6120579205891343,-0.6853146853146854,0.6293291449546814,12,0.09946412537546452,0.4645736547695338,0.44755244755244755,0.39861124753952026,12
down_blocks.1.attentions.1,down,1,0.1579388377082881,0.28357880788078005,0.2937062937062937,0.2694738507270813,12,0.1423481885505773,0.49835219242044376,0.4125874125874127,0.4713771939277649,12,-4.861507792517305,-0.6347261618143938,-0.6853146853146854,0.7680349349975586,12,0.20366261678349973,0.5379005178397792,0.5384615384615385,0.579417884349823,12
