pair_id,spectral_centroid_mean_hz_positive,spectral_centroid_mean_hz_negative,spectral_centroid_mean_hz_difference,spectral_centroid_mean_hz_expected_direction,spectral_centroid_median_hz_positive,spectral_centroid_median_hz_negative,spectral_centroid_median_hz_difference,spectral_centroid_median_hz_expected_direction,rolloff_85_mean_hz_positive,rolloff_85_mean_hz_negative,rolloff_85_mean_hz_difference,rolloff_85_mean_hz_expected_direction,rolloff_95_mean_hz_positive,rolloff_95_mean_hz_negative,rolloff_95_mean_hz_difference,rolloff_95_mean_hz_expected_direction,high_to_low_db_positive,high_to_low_db_negative,high_to_low_db_difference,high_to_low_db_expected_direction,high_to_total_ratio_positive,high_to_total_ratio_negative,high_to_total_ratio_difference,high_to_total_ratio_expected_direction,onset_strength_max_positive,onset_strength_max_negative,onset_strength_max_difference,onset_strength_max_expected_direction,onset_strength_p95_positive,onset_strength_p95_negative,onset_strength_p95_difference,onset_strength_p95_expected_direction,onset_strength_mean_positive,onset_strength_mean_negative,onset_strength_mean_difference,onset_strength_mean_expected_direction,transient_energy_fraction_positive,transient_energy_fraction_negative,transient_energy_fraction_difference,transient_energy_fraction_expected_direction,transient_energy_per_onset_mean_positive,transient_energy_per_onset_mean_negative,transient_energy_per_onset_mean_difference,transient_energy_per_onset_mean_expected_direction,onset_count_positive,onset_count_negative,onset_count_difference,onset_count_expected_direction,onset_rate_per_second_positive,onset_rate_per_second_negative,onset_rate_per_second_difference,onset_rate_per_second_expected_direction,attack_time_ms_first_positive,attack_time_ms_first_negative,attack_time_ms_first_difference,attack_time_ms_first_expected_direction,attack_time_ms_median_positive,attack_time_ms_median_negative,attack_time_ms_median_difference,attack_time_ms_median_expected_direction,attack_time_ms_min_positive,attack_time_ms_min_negative,attack_time_ms_min_difference,attack_time_ms_min_expected_direction,tail_energy_fraction_250ms_positive,tail_energy_fraction_250ms_negative,tail_energy_fraction_250ms_difference,tail_energy_fraction_250ms_expected_direction,tail_energy_fraction_500ms_positive,tail_energy_fraction_500ms_negative,tail_energy_fraction_500ms_difference,tail_energy_fraction_500ms_expected_direction,tail_energy_fraction_1000ms_positive,tail_energy_fraction_1000ms_negative,tail_energy_fraction_1000ms_difference,tail_energy_fraction_1000ms_expected_direction,late_energy_fraction_300ms_positive,late_energy_fraction_300ms_negative,late_energy_fraction_300ms_difference,late_energy_fraction_300ms_expected_direction,late_energy_fraction_700ms_positive,late_energy_fraction_700ms_negative,late_energy_fraction_700ms_difference,late_energy_fraction_700ms_expected_direction,direct_to_late_ratio_positive,direct_to_late_ratio_negative,direct_to_late_ratio_difference,direct_to_late_ratio_expected_direction,direct_to_late_db_positive,direct_to_late_db_negative,direct_to_late_db_difference,direct_to_late_db_expected_direction,decay_time_to_minus_20db_ms_positive,decay_time_to_minus_20db_ms_negative,decay_time_to_minus_20db_ms_difference,decay_time_to_minus_20db_ms_expected_direction,decay_slope_db_per_second_positive,decay_slope_db_per_second_negative,decay_slope_db_per_second_difference,decay_slope_db_per_second_expected_direction,reverb_proxy_score_positive,reverb_proxy_score_negative,reverb_proxy_score_difference,reverb_proxy_score_expected_direction
01,2325.7744140625,2461.2548828125,-135.48046875,False,2376.46435546875,2424.8720703125,-48.40771484375,False,4884.970703125,4851.31640625,33.654296875,True,6572.11865234375,7069.4501953125,-497.33154296875,False,-24.21070478771518,-14.71252507714944,-9.49817971056574,False,0.0036644699519885887,0.026035685040736067,-0.022371215088747478,False,9.830281257629395,5.534088611602783,4.296192646026611,True,0.7461310029029846,2.874741792678833,-2.1286107897758484,False,0.5662363171577454,0.797042191028595,-0.2308058738708496,False,0.9703841569353999,0.9385546652599228,0.031829491675477106,True,11.992099786177278,179.45067910587088,-167.4585793196936,False,4.0,34.0,-30.0,False,1.1428571428571428,9.714285714285714,-8.571428571428571,False,171.24716553287982,267.0294784580499,-95.78231292517006,True,26.122448979591837,60.952380952380956,-34.82993197278912,True,0.0,0.0,0.0,False,0.45033949717116983,0.9279609955129661,-0.47762149834179624,True,0.40130745438188375,0.8486320030236985,-0.4473245486418147,True,0.34110609682236515,0.6920952081357394,-0.3509891113133743,True,0.43828779911309257,0.9158003119057849,-0.47751251279269236,True,0.3789379785313258,0.7962521819017634,-0.41731420337043756,True,4.555300610192459,0.042690879755048025,4.512609730437411,True,6.585170419105541,-13.696648953523905,20.281819372629446,True,52.244897959183675,928.7981859410431,-876.5532879818595,True,-1.0404992547131495,-2.173635037291114,1.1331357825779647,False,0.33241134608442113,0.8903698354042411,-0.55795848931982,True
02,1758.504150390625,923.4288940429688,835.0752563476562,True,1804.03369140625,913.1412353515625,890.8924560546875,True,3747.0625,1744.5458984375,2002.5166015625,True,5943.5205078125,3102.279052734375,2841.241455078125,True,-22.589137153769016,-38.28836834543027,15.699231191661255,True,0.005291059459410217,0.00014542324531030388,0.0051456362140999135,True,2.5662765502929688,1.1817984580993652,1.3844780921936035,True,0.8279874920845032,0.6340627074241638,0.19392478466033936,True,0.5219264626502991,0.4692467451095581,0.05267971754074097,True,0.9314464529925937,0.8646847321136394,0.06676172087895427,True,0.4465620741248131,2.5136864642764247,-2.0671243901516116,False,27.0,43.0,-16.0,False,7.714285714285714,12.285714285714286,-4.571428571428572,False,89.97732426303854,20.317460317460316,69.65986394557822,False,104.48979591836735,46.439909297052154,58.049886621315196,False,0.0,0.0,0.0,False,0.41816251145856054,0.832228949158146,-0.4140664376995855,True,0.3825705443379749,0.7035894732705192,-0.32101892893254436,True,0.3475495626486361,0.300082848639712,0.047466714008924105,False,0.40395155424758383,0.8137240595727717,-0.4097725053251879,True,0.3697351379287199,0.5556126560857975,-0.18587751815707754,True,0.19916488768334872,0.09521002775282413,0.1039548599305246,True,-7.00787224293239,-10.21317308250296,3.2053008395705707,True,220.58956916099774,748.843537414966,-528.2539682539683,True,-0.27844883026295825,-3.185386604403181,2.9069377741402227,False,0.535866789498245,0.7608011976443595,-0.22493440814611454,True
03,1683.636474609375,1700.986328125,-17.349853515625,False,1524.19384765625,1678.131591796875,-153.937744140625,False,3421.78271484375,3479.53759765625,-57.7548828125,False,4488.3896484375,5047.11181640625,-558.72216796875,False,-10.066584590043243,-15.988460248637008,5.921875658593764,True,0.06662017105168733,0.022999868061682027,0.0436203029900053,True,6.132399559020996,4.745263576507568,1.3871359825134277,True,1.1455270051956177,1.2233256101608276,-0.07779860496520996,False,0.49416592717170715,0.5218499898910522,-0.027684062719345093,False,0.8960368384547359,0.6950097465064852,0.20102709194825075,True,75.51220556667873,916.9501668294271,-841.4379612627483,False,14.0,15.0,-1.0,False,4.0,4.285714285714286,-0.2857142857142856,False,34.82993197278911,31.92743764172336,2.9024943310657534,False,15.963718820861677,17.414965986394556,-1.4512471655328785,True,0.0,0.0,0.0,False,0.16996247044949597,0.847882678756638,-0.6779202083071421,True,0.12341402801886735,0.7860937814698532,-0.6626797534509858,True,0.031480377898227774,0.5084341315133002,-0.4769537536150724,True,0.16256612641929724,0.8301986665300712,-0.667632540110774,True,0.10499016367802927,0.6934490076344634,-0.5884588439564341,True,1.707399507924949,0.2734807285200234,1.4339187794049257,True,2.3233515192136363,-5.630732718617879,7.954084237831515,True,267.0294784580499,1230.657596371882,-963.628117913832,True,-8.24817151336531,-3.4800515399688536,-4.768119973396457,True,0.21230480430935203,0.7696323638180753,-0.5573275595087233,True
04,2133.625732421875,1975.0289306640625,158.5968017578125,True,2173.654541015625,1998.8365478515625,174.8179931640625,True,4839.1953125,4683.97119140625,155.22412109375,True,6595.7197265625,6723.42236328125,-127.70263671875,False,-16.602158384859948,-18.82241570318563,2.2202573183256824,True,0.02037918640401066,0.012689493451790526,0.007689692952220132,True,4.341222286224365,3.4258477687835693,0.9153745174407959,True,0.7197132706642151,0.943179190158844,-0.2234659194946289,False,0.5346019268035889,0.521788477897644,0.012813448905944824,True,0.432129179337147,0.7163745209927764,-0.2842453416556294,False,0.5307090090853828,15.569199002706087,-15.038489993620704,False,7.0,13.0,-6.0,False,2.0,3.7142857142857144,-1.7142857142857144,False,287.3469387755102,179.95464852607708,107.3922902494331,False,124.80725623582767,17.414965986394556,107.3922902494331,False,0.0,0.0,0.0,False,0.9243547129492762,0.6011579015247696,0.3231968114245066,False,0.6150310686145272,0.3253498738839831,0.28968119473054404,False,0.3922403746060425,0.21904251224912852,0.17319786235691398,False,0.8373384254125492,0.5045251026528107,0.3328133227597385,False,0.5163814223721611,0.2632241505292519,0.2531572718429092,False,0.05207070541144352,0.29679545934701707,-0.24472475393557355,False,-12.834065388170625,-5.275427475831024,-7.558637912339601,False,574.6938775510204,1845.9863945578231,-1271.2925170068029,True,-1.891045748556407,-4.171082910604479,2.280037162048072,False,0.7680754353356486,0.5129602953340653,0.2551151400015833,False
05,2014.921142578125,1187.74560546875,827.175537109375,True,2239.5,1170.8153076171875,1068.6846923828125,True,4236.26513671875,2083.087646484375,2153.177490234375,True,5914.14453125,3850.735107421875,2063.409423828125,True,-20.262290052365067,-30.347691958466232,10.085401906101165,True,0.008740581398711613,0.0009065097031029664,0.007834071695608647,True,16.731712341308594,11.838724136352539,4.892988204956055,True,1.0395541191101074,1.1285253763198853,-0.08897125720977783,False,0.5639523863792419,0.5440533757209778,0.01989901065826416,True,0.8496340030759022,0.49977558385716847,0.34985841921873373,True,177.94435450434685,86.03234219551086,91.91201230883598,True,4.0,10.0,-6.0,False,1.1428571428571428,2.857142857142857,-1.7142857142857144,False,0.0,34.82993197278911,-34.82993197278911,True,89.97732426303854,26.122448979591834,63.8548752834467,False,0.0,0.0,0.0,False,0.002310019742953393,0.6979104111630245,-0.6956003914200711,True,0.0,0.6660805830255906,-0.6660805830255906,True,0.0,0.1832961093834044,-0.1832961093834044,True,0.0008558183738002608,0.6840548289109144,-0.6831990105371142,True,0.0,0.6561217091286651,-0.6561217091286651,True,7.899003397090493,0.5925790809079242,7.306424316182569,True,8.975723006009348,-2.2725368395048706,11.24825984551422,True,174.14965986394557,406.3492063492063,-232.19954648526075,True,-95.75337540312408,-36.72416998027339,-59.029205422850694,True,0.03774265070869916,0.6560296140142193,-0.6182869633055201,True
06,2500.1396484375,2077.1298828125,423.009765625,True,1880.2156982421875,1938.6204833984375,-58.40478515625,False,4804.39990234375,4403.04052734375,401.359375,True,6590.015625,6279.13916015625,310.87646484375,True,12.655781084676319,-9.15747248893519,21.813253573611508,True,0.890140704069915,0.09715704955385132,0.7929836545160637,True,12.866399765014648,3.764012098312378,9.10238766670227,True,2.2248036861419678,1.6100010871887207,0.6148025989532471,True,0.6767781376838684,0.5793241262435913,0.0974540114402771,True,0.9786566207624587,0.888023044726731,0.09063357603572775,True,27.14434325012068,0.22503398941910785,26.919309260701574,True,12.0,23.0,-11.0,False,3.4285714285714284,6.571428571428571,-3.142857142857143,False,290.24943310657596,89.97732426303854,200.2721088435374,False,2.9024943310657596,11.609977324263038,-8.707482993197278,True,0.0,0.0,0.0,False,0.37129539690575564,0.3937039327826962,-0.022408535876940583,True,0.36603031044400514,0.0,0.36603031044400514,False,0.2795569990009119,0.0,0.2795569990009119,False,0.37103312801782634,0.3375274503268613,0.03350567769096502,False,0.28313154116993944,0.0,0.28313154116993944,False,37.86398111333503,0.14300831256940233,37.72097280076563,True,15.782262748326287,-8.446387177929903,24.22864992625619,True,69.65986394557822,296.05442176870747,-226.39455782312925,True,-0.5660001090795604,-12.696250480075957,12.130250370996396,False,0.22663181169618574,0.40413724210771046,-0.17750543041152472,True
07,2356.920654296875,2168.017333984375,188.9033203125,True,2525.13623046875,1558.8741455078125,966.2620849609375,True,4857.94775390625,4134.16064453125,723.787109375,True,6494.3291015625,6435.361328125,58.9677734375,True,-3.821152973555675,6.29639226448943,-10.117545238045105,False,0.2855465471187911,0.8008400142370184,-0.5152934671182273,False,13.517106056213379,10.813020706176758,2.704085350036621,True,1.390252947807312,1.8565261363983154,-0.4662731885910034,False,0.6403431296348572,0.6209110617637634,0.01943206787109375,True,0.9780924070690372,0.9807097351804731,-0.0026173281114358904,False,33.950176185928285,59.035444773733616,-25.08526858780533,False,8.0,16.0,-8.0,False,2.2857142857142856,4.571428571428571,-2.2857142857142856,False,153.83219954648524,2.9024943310657596,150.9297052154195,False,5.804988662131519,33.378684807256235,-27.573696145124714,True,0.0,0.0,0.0,False,0.015426790629860831,0.8637182426976103,-0.8482914520677495,True,0.0004072245312679295,0.15113453348347933,-0.1507273089522114,True,0.0,0.09475750994772261,-0.09475750994772261,True,0.0048659166840162565,0.8619816053270194,-0.8571156886430031,True,0.0,0.13890392045288083,-0.13890392045288083,True,0.860824126880113,0.13823525859139926,0.7225888682887137,True,-0.6508556925196813,-8.59381170719534,7.942956014675658,True,150.92970521541952,81.26984126984127,69.65986394557825,False,-75.27906311184489,-171.1852335177082,95.90617040586332,False,0.1807540720961457,0.626479508259084,-0.44572543616293836,True
08,1486.2313232421875,1503.6700439453125,-17.438720703125,False,0.0,0.0,0.0,False,2765.59033203125,2774.71728515625,-9.126953125,False,3130.44287109375,3104.84521484375,25.59765625,True,-12.502262374231323,-11.904341350721676,-0.597921023509647,False,0.018826847660784435,0.020327112517160947,-0.0015002648563765125,False,4.516196250915527,4.1737542152404785,0.34244203567504883,True,0.32406964898109436,0.46969813108444214,-0.14562848210334778,False,0.07442126423120499,0.08673738688230515,-0.012316122651100159,False,0.9814881596345715,0.9876963638360979,-0.006208204201526457,False,3.2767032583554584e-07,3.150531223842076e-07,1.2617203451338258e-08,True,6.0,7.0,-1.0,False,1.7142857142857142,2.0,-0.2857142857142858,False,31.92743764172336,29.024943310657598,2.9024943310657605,False,2.9024943310657596,5.804988662131519,-2.9024943310657596,True,0.0,0.0,0.0,False,0.2352044352044352,0.9987397605545053,-0.7635353253500701,True,0.2352044352044352,0.9987397605545053,-0.7635353253500701,True,0.2352044352044352,0.9987397605545053,-0.7635353253500701,True,0.2352044352044352,0.9987397605545053,-0.7635353253500701,True,0.2352044352044352,0.9987397605545053,-0.7635353253500701,True,34.98601398601399,465.66128730773926,-430.6752733217253,False,15.438944654183473,26.68070134416583,-11.241756689982356,False,63.85487528344672,23.219954648526077,40.63492063492064,False,-3.7939312897830146,6.045341717370657,-9.839273007153672,True,0.1660658146861023,0.6665408009844301,-0.5004749862983279,True
09,2569.52490234375,1587.5133056640625,982.0115966796875,True,2436.9072265625,1595.97119140625,840.93603515625,True,5478.84619140625,3735.511474609375,1743.334716796875,True,7014.8330078125,6090.18896484375,924.64404296875,True,-12.367780727634665,-23.299113350096054,10.931332622461388,True,0.05068843062383731,0.004594593771360396,0.046093836852476915,True,7.76003360748291,3.7090563774108887,4.0509772300720215,True,0.7176898121833801,0.9237565398216248,-0.20606672763824463,False,0.5355110764503479,0.5237522721290588,0.011758804321289062,True,0.07852826739082429,0.7786729771636016,-0.7001447097727773,False,0.08568923423687617,2.0344437295975895,-1.9487544953607132,False,3.0,23.0,-20.0,False,0.8571428571428571,6.571428571428571,-5.714285714285714,False,43.53741496598639,235.1020408163265,-191.56462585034012,True,43.53741496598639,29.024943310657598,14.512471655328795,False,0.0,0.0,0.0,False,0.970467736098739,0.9309621542507746,0.03950558184796449,False,0.8999315361587398,0.7720300206539424,0.12790151550479734,False,0.6801611927076415,0.6733538139213515,0.006807378786290008,False,0.956048682952325,0.8604611661305062,0.09558751682181887,False,0.812692568497679,0.7423925883550397,0.07029998014263927,False,0.021815803779130977,0.016666507267142205,0.005149296511988772,True,-16.612287812831433,-17.781554039835395,1.1692662270039627,True,2078.185941043084,3186.9387755102043,-1108.7528344671205,True,-2.3582586323629178,-0.5756694915006564,-1.7825891408622614,True,0.915797071952675,0.8621534886929226,0.05364358325975238,False
10,2969.57958984375,2678.132080078125,291.447509765625,True,2564.49951171875,1906.818603515625,657.680908203125,True,5833.28759765625,5542.94580078125,290.341796875,True,7499.68701171875,7613.55615234375,-113.869140625,False,-7.7488673831888155,-15.576427802455832,7.827560419267017,True,0.11137846751397824,0.025935557623489744,0.0854429098904885,True,13.263884544372559,7.801834583282471,5.462049961090088,True,1.2116445302963257,0.8382103443145752,0.3734341859817505,True,0.48353347182273865,0.41467753052711487,0.06885594129562378,True,0.9590877874538265,0.38003620974017815,0.5790515777136483,True,10.546344016279493,22.38548283930868,-11.839138823029186,False,7.0,8.0,-1.0,False,2.0,2.2857142857142856,-0.2857142857142856,False,0.0,298.95691609977325,-298.95691609977325,True,0.0,36.281179138321995,-36.281179138321995,True,0.0,0.0,0.0,False,0.03402460952050964,5.98159827411607e-06,0.03401862792223553,False,3.791969018548053e-09,5.701018725096609e-08,-5.3218218232418036e-08,True,0.0,0.0,0.0,False,0.024177566590759012,8.115567832196349e-07,0.024176755033975792,False,3.6645078750674463e-10,4.247817873601395e-08,-4.2111727948507206e-08,True,1.7147954752705854,0.859350277282784,0.8554451979878014,True,2.3421232889293995,-0.6582977856278837,3.0004210745572832,True,121.9047619047619,17.414965986394556,104.48979591836735,False,-212.18897899512348,-215.89692275762735,3.7079437625038736,False,0.13084314688227383,0.17927437703517327,-0.048431230152899435,True
