status,pair_id,job_id,axis,factor_metric,site,stack,block,scale,audio_suffix_tokens,patched_spectral_centroid_mean_hz,target_baseline_spectral_centroid_mean_hz,source_baseline_spectral_centroid_mean_hz,population_gap_spectral_centroid_mean_hz,patched_rms_dbfs,target_baseline_rms_dbfs,source_baseline_rms_dbfs,population_gap_rms_dbfs,patched_high_to_low_db,target_baseline_high_to_low_db,source_baseline_high_to_low_db,population_gap_high_to_low_db,patched_crest_factor_db,target_baseline_crest_factor_db,source_baseline_crest_factor_db,population_gap_crest_factor_db,patched_spectral_flatness_mean,target_baseline_spectral_flatness_mean,source_baseline_spectral_flatness_mean,population_gap_spectral_flatness_mean,patched_onset_strength_max,target_baseline_onset_strength_max,source_baseline_onset_strength_max,population_gap_onset_strength_max
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,5.0,,1455.3768310546875,1537.63623046875,3765.439483642578,2227.803253173828,-16.78108760064134,-16.2329396000681,-3.333724378663071,12.89921522140503,-35.47811714299598,-33.820618773073406,-6.819681430429668,27.000937342643738,8.264347678810388,8.187919472168844,11.742189262818258,3.554269790649414,7.198522507678717e-05,9.308465814683586e-05,0.0005641023963107727,0.0004710177381639369,3.1677849292755127,3.505504846572876,8.371014267206192,4.865509420633316
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,10.0,,1426.57421875,1537.63623046875,3765.439483642578,2227.803253173828,-17.48646682665232,-16.2329396000681,-3.333724378663071,12.89921522140503,-36.74443667250653,-33.820618773073406,-6.819681430429668,27.000937342643738,8.635113077965716,8.187919472168844,11.742189262818258,3.554269790649414,6.454609683714807e-05,9.308465814683586e-05,0.0005641023963107727,0.0004710177381639369,2.9297189712524414,3.505504846572876,8.371014267206192,4.865509420633316
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,20.0,,1187.6407470703125,1537.63623046875,3765.439483642578,2227.803253173828,-17.655285667948036,-16.2329396000681,-3.333724378663071,12.89921522140503,-41.16925651794556,-33.820618773073406,-6.819681430429668,27.000937342643738,9.15296952912507,8.187919472168844,11.742189262818258,3.554269790649414,4.9206068069906905e-05,9.308465814683586e-05,0.0005641023963107727,0.0004710177381639369,3.404313325881958,3.505504846572876,8.371014267206192,4.865509420633316
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,40.0,,914.3989868164062,1537.63623046875,3765.439483642578,2227.803253173828,-23.33681285276716,-16.2329396000681,-3.333724378663071,12.89921522140503,-34.56873848118011,-33.820618773073406,-6.819681430429668,27.000937342643738,9.421005081083898,8.187919472168844,11.742189262818258,3.554269790649414,7.825876673450693e-05,9.308465814683586e-05,0.0005641023963107727,0.0004710177381639369,2.377455949783325,3.505504846572876,8.371014267206192,4.865509420633316
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,80.0,,2418.74560546875,1537.63623046875,3765.439483642578,2227.803253173828,-41.62825730814724,-16.2329396000681,-3.333724378663071,12.89921522140503,-45.450329169551566,-33.820618773073406,-6.819681430429668,27.000937342643738,9.811595015228104,8.187919472168844,11.742189262818258,3.554269790649414,0.0007348833023570478,9.308465814683586e-05,0.0005641023963107727,0.0004710177381639369,3.0663208961486816,3.505504846572876,8.371014267206192,4.865509420633316
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,5.0,,5201.43408203125,5274.005859375,7501.809112548828,2227.803253173828,-14.085384298345655,-13.837677748823104,-0.9384625274180749,12.89921522140503,13.994494690946587,14.680389923834936,41.681327266478675,27.000937342643738,6.887084415836001,6.986647574806578,10.540917365455993,3.554269790649414,0.000363219907740131,0.000344618660164997,0.0008156363983289339,0.0004710177381639369,1.1901235580444336,1.295137643814087,6.160647064447403,4.865509420633316
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,10.0,,5198.8701171875,5274.005859375,7501.809112548828,2227.803253173828,-13.277301006680789,-13.837677748823104,-0.9384625274180749,12.89921522140503,13.804788803184014,14.680389923834936,41.681327266478675,27.000937342643738,6.719618507723699,6.986647574806578,10.540917365455993,3.554269790649414,0.0003834321687463671,0.000344618660164997,0.0008156363983289339,0.0004710177381639369,1.1216883659362793,1.295137643814087,6.160647064447403,4.865509420633316
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,20.0,,5318.44287109375,5274.005859375,7501.809112548828,2227.803253173828,-10.787653745438037,-13.837677748823104,-0.9384625274180749,12.89921522140503,14.945306294112672,14.680389923834936,41.681327266478675,27.000937342643738,6.553462376154511,6.986647574806578,10.540917365455993,3.554269790649414,0.0004408496606629342,0.000344618660164997,0.0008156363983289339,0.0004710177381639369,1.1930021047592163,1.295137643814087,6.160647064447403,4.865509420633316
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,40.0,,4064.151123046875,5274.005859375,7501.809112548828,2227.803253173828,-17.851252128929108,-13.837677748823104,-0.9384625274180749,12.89921522140503,0.5102902634392249,14.680389923834936,41.681327266478675,27.000937342643738,6.378159514076701,6.986647574806578,10.540917365455993,3.554269790649414,0.00020621258590836078,0.000344618660164997,0.0008156363983289339,0.0004710177381639369,1.1554211378097534,1.295137643814087,6.160647064447403,4.865509420633316
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,80.0,,2211.7900390625,5274.005859375,7501.809112548828,2227.803253173828,-26.105545077789486,-13.837677748823104,-0.9384625274180749,12.89921522140503,-13.120287375464192,14.680389923834936,41.681327266478675,27.000937342643738,6.582350471132815,6.986647574806578,10.540917365455993,3.554269790649414,3.923978874809109e-05,0.000344618660164997,0.0008156363983289339,0.0004710177381639369,1.54804265499115,1.295137643814087,6.160647064447403,4.865509420633316
