status,pair_id,job_id,axis,factor_metric,site,stack,block,scale,audio_suffix_tokens,spectral_centroid_mean_hz,rms_dbfs,high_to_low_db,crest_factor_db,spectral_flatness_mean,onset_strength_max
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,0.0,,1537.63623046875,-16.2329396000681,-33.820618773073406,8.187919472168844,9.308465814683586e-05,3.505504846572876
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,5.0,,1455.3768310546875,-16.78108760064134,-35.47811714299598,8.264347678810388,7.198522507678717e-05,3.1677849292755127
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,10.0,,1426.57421875,-17.48646682665232,-36.74443667250653,8.635113077965716,6.454609683714807e-05,2.9297189712524414
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,20.0,,1187.6407470703125,-17.655285667948036,-41.16925651794556,9.15296952912507,4.9206068069906905e-05,3.404313325881958
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,40.0,,914.3989868164062,-23.33681285276716,-34.56873848118011,9.421005081083898,7.825876673450693e-05,2.377455949783325
ok,corpus-000,corpus-000-single-sample-000-seed-30000,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,80.0,,2418.74560546875,-41.62825730814724,-45.450329169551566,9.811595015228104,0.0007348833023570478,3.0663208961486816
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,0.0,,5274.005859375,-13.837677748823104,14.680389923834936,6.986647574806578,0.000344618660164997,1.295137643814087
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,5.0,,5201.43408203125,-14.085384298345655,13.994494690946587,6.887084415836001,0.000363219907740131,1.1901235580444336
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,10.0,,5198.8701171875,-13.277301006680789,13.804788803184014,6.719618507723699,0.0003834321687463671,1.1216883659362793
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,20.0,,5318.44287109375,-10.787653745438037,14.945306294112672,6.553462376154511,0.0004408496606629342,1.1930021047592163
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,40.0,,4064.151123046875,-17.851252128929108,0.5102902634392249,6.378159514076701,0.00020621258590836078,1.1554211378097534
ok,corpus-050,corpus-050-single-sample-000-seed-30050,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,80.0,,2211.7900390625,-26.105545077789486,-13.120287375464192,6.582350471132815,3.923978874809109e-05,1.54804265499115
ok,corpus-100,corpus-100-single-sample-000-seed-30100,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,0.0,,3765.694580078125,-13.406891883158112,-3.316011835941251,9.934773178752481,0.0004715817922260612,1.9339953660964966
ok,corpus-100,corpus-100-single-sample-000-seed-30100,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,5.0,,3861.05126953125,-12.991100737652506,-3.502454119096573,9.346579788102401,0.0004310426884330809,3.490023136138916
ok,corpus-100,corpus-100-single-sample-000-seed-30100,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,10.0,,3868.843017578125,-11.877420001775839,-3.3828177014462293,9.070272957563093,0.0005273613496683538,5.329539775848389
ok,corpus-100,corpus-100-single-sample-000-seed-30100,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,20.0,,3022.259033203125,-21.70540798260963,-7.869945981284905,11.460078398227974,0.0001910712890094146,1.0072578191757202
ok,corpus-100,corpus-100-single-sample-000-seed-30100,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,40.0,,1827.1324462890625,-24.091412126426516,-16.753665559971708,11.530302165762913,0.0001306318154092878,1.6323734521865845
ok,corpus-100,corpus-100-single-sample-000-seed-30100,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,80.0,,908.8697509765625,-30.45892990444477,-27.581653646183256,7.5563851617401205,5.832410170114599e-05,2.660372257232666
ok,corpus-149,corpus-149-single-sample-000-seed-30149,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,0.0,,1847.0262451171875,-24.631731293643313,-33.429205879348764,10.897861029687974,0.00042257492896169424,0.7872036695480347
ok,corpus-149,corpus-149-single-sample-000-seed-30149,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,5.0,,1854.78955078125,-23.554981848374105,-31.983380625210703,8.974637481129795,0.0003154523146804422,1.0784246921539307
ok,corpus-149,corpus-149-single-sample-000-seed-30149,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,10.0,,1921.5267333984375,-22.971407172040344,-30.23592622535005,8.349806273910968,0.00028925397782586515,1.1309752464294434
ok,corpus-149,corpus-149-single-sample-000-seed-30149,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,20.0,,1736.2119140625,-20.515972725370716,-26.89352896109034,8.566240632364883,0.0002277675230288878,3.0499656200408936
ok,corpus-149,corpus-149-single-sample-000-seed-30149,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,40.0,,2045.487548828125,-33.13316039198103,-14.12939473510638,8.432086124465247,0.00026432977756485343,2.651191234588623
ok,corpus-149,corpus-149-single-sample-000-seed-30149,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,80.0,,1401.9072265625,-30.384423399805055,-20.327740146258506,6.386932053153632,8.009469638636801e-06,2.11942982673645
ok,corpus-199,corpus-199-single-sample-000-seed-30199,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,0.0,,2941.719482421875,-22.189925233073392,-11.586608219812229,10.858905875347425,8.050050382735208e-05,3.166949987411499
ok,corpus-199,corpus-199-single-sample-000-seed-30199,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,5.0,,3572.39990234375,-26.460011445028524,-5.487905468123665,13.054709370573704,0.00013704718730878085,3.6495277881622314
ok,corpus-199,corpus-199-single-sample-000-seed-30199,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,10.0,,3883.42138671875,-27.794614109645153,-0.0005219264534966498,13.580588428303182,0.00021578144514933228,3.5982978343963623
ok,corpus-199,corpus-199-single-sample-000-seed-30199,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,20.0,,3550.985595703125,-27.781631077451937,-3.3530687844538805,13.758227971339448,0.00015642830112483352,2.99055814743042
ok,corpus-199,corpus-199-single-sample-000-seed-30199,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,40.0,,2588.693359375,-24.531201349554024,-10.299482553097821,11.264060148706314,0.00012361562403384596,2.4483535289764404
ok,corpus-199,corpus-199-single-sample-000-seed-30199,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,80.0,,1156.852294921875,-29.88719619006739,-23.682923273933,10.167451209941952,8.359354978892952e-05,2.02787709236145
ok,corpus-249,corpus-249-single-sample-000-seed-30249,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,0.0,,2760.216796875,-40.3584772363064,-0.714412280905241,13.030262264048364,0.00020916333596687764,4.3997802734375
ok,corpus-249,corpus-249-single-sample-000-seed-30249,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,5.0,,2479.628173828125,-39.002372600784675,-5.51470857268068,11.157141766174377,9.380283154314384e-05,3.8814098834991455
ok,corpus-249,corpus-249-single-sample-000-seed-30249,brightness,spectral_centroid_mean_hz,transformer.transformer_blocks.2,dual,2,10.0,,2360.332763671875,-41.70530166482128,-7.762601345671265,12.662637745182803,0.00016862859774846584,3.3080976009368896
