site,onset_strength_max_toward_source_mean,onset_strength_max_frac_moved_toward,onset_strength_max_n,spectral_centroid_mean_hz_toward_source_mean,spectral_centroid_mean_hz_frac_moved_toward,spectral_centroid_mean_hz_n,decay_time_to_minus_20db_ms_toward_source_mean,decay_time_to_minus_20db_ms_frac_moved_toward,decay_time_to_minus_20db_ms_n,high_to_low_db_toward_source_mean,high_to_low_db_frac_moved_toward,high_to_low_db_n,tail_energy_fraction_500ms_toward_source_mean,tail_energy_fraction_500ms_frac_moved_toward,tail_energy_fraction_500ms_n
transformer.single_transformer_blocks.8,0.1801716985991058,0.85,20,1.2834086129868727,1.0,20,1.0104033970276012,0.8,20,0.46739290192252636,0.85,20,0.3101315574280806,0.5,20
transformer.transformer_blocks.4,0.139949595477023,0.75,20,1.3712541051949672,1.0,20,0.9193205944798303,0.75,20,0.2820098188484739,0.85,20,0.6945583386697178,0.55,20
