status,pair_id,site,stack,block,scale,patched_onset_strength_max,target_baseline_onset_strength_max,source_baseline_onset_strength_max,patched_spectral_centroid_mean_hz,target_baseline_spectral_centroid_mean_hz,source_baseline_spectral_centroid_mean_hz,patched_decay_time_to_minus_20db_ms,target_baseline_decay_time_to_minus_20db_ms,source_baseline_decay_time_to_minus_20db_ms,patched_high_to_low_db,target_baseline_high_to_low_db,source_baseline_high_to_low_db,patched_tail_energy_fraction_500ms,target_baseline_tail_energy_fraction_500ms,source_baseline_tail_energy_fraction_500ms
ok,01,transformer.transformer_blocks.4,dual,4,0.5,0.263315886259079,3.917818307876587,14.811704051494598,3873.958251953125,1128.289794921875,2196.6572326660157,1387.392290249433,505.0340136054422,-862.0408163265306,-28.627412032087825,-30.85247434664129,-4.184423314378552,0.5785264689034758,0.4642366864855378,0.17361729442925639
ok,01,transformer.transformer_blocks.4,dual,4,1.0,0.42898550629615784,3.917818307876587,14.811704051494598,3940.42919921875,1128.289794921875,2196.6572326660157,1387.392290249433,505.0340136054422,-862.0408163265306,-28.427158559055925,-30.85247434664129,-4.184423314378552,0.5467677019345909,0.4642366864855378,0.17361729442925639
ok,01,transformer.transformer_blocks.4,dual,4,2.0,3.6371285915374756,3.917818307876587,14.811704051494598,2906.80615234375,1128.289794921875,2196.6572326660157,5.804988662131519,505.0340136054422,-862.0408163265306,-11.038847724802094,-30.85247434664129,-4.184423314378552,0.0,0.4642366864855378,0.17361729442925639
ok,01,transformer.transformer_blocks.4,dual,4,4.0,3.908737897872925,3.917818307876587,14.811704051494598,3396.531982421875,1128.289794921875,2196.6572326660157,63.85487528344672,505.0340136054422,-862.0408163265306,-35.42911838005534,-30.85247434664129,-4.184423314378552,0.006140902776810532,0.4642366864855378,0.17361729442925639
ok,02,transformer.transformer_blocks.4,dual,4,0.5,3.0408859252929688,1.0807329416275024,11.974618685245513,1676.2811279296875,1200.6055908203125,2268.973028564453,1712.471655328798,3465.578231292517,2098.5034013605446,-25.81822631339147,-39.29767578366653,-12.629624751403789,0.6913180387493011,0.8077477903348771,0.5171283982785957
ok,02,transformer.transformer_blocks.4,dual,4,1.0,1.4172593355178833,1.0807329416275024,11.974618685245513,2440.51318359375,1200.6055908203125,2268.973028564453,34.82993197278911,3465.578231292517,2098.5034013605446,-23.255622745293543,-39.29767578366653,-12.629624751403789,0.24430915019166585,0.8077477903348771,0.5171283982785957
ok,02,transformer.transformer_blocks.4,dual,4,2.0,1.597275972366333,1.0807329416275024,11.974618685245513,2435.080322265625,1200.6055908203125,2268.973028564453,2832.834467120181,3465.578231292517,2098.5034013605446,-13.418738578256752,-39.29767578366653,-12.629624751403789,0.818826004305634,0.8077477903348771,0.5171283982785957
ok,02,transformer.transformer_blocks.4,dual,4,4.0,10.031947135925293,1.0807329416275024,11.974618685245513,3067.6708984375,1200.6055908203125,2268.973028564453,29.024943310657598,3465.578231292517,2098.5034013605446,-18.805057092762514,-39.29767578366653,-12.629624751403789,0.8245663934825279,0.8077477903348771,0.5171283982785957
ok,03,transformer.transformer_blocks.4,dual,4,0.5,1.2642598152160645,0.8137924671173096,11.70767821073532,1735.4630126953125,1552.4002685546875,2620.767706298828,1097.142857142857,1097.142857142857,-269.93197278911566,-19.484257103052002,-22.926383946381165,3.7416670858815735,0.8534785961178093,0.6898415378218197,0.39922214576553827
ok,03,transformer.transformer_blocks.4,dual,4,1.0,1.5752971172332764,0.8137924671173096,11.70767821073532,2311.428466796875,1552.4002685546875,2620.767706298828,731.4285714285714,1097.142857142857,-269.93197278911566,-12.207725959203666,-22.926383946381165,3.7416670858815735,0.8892952696676786,0.6898415378218197,0.39922214576553827
ok,03,transformer.transformer_blocks.4,dual,4,2.0,1.6898366212844849,0.8137924671173096,11.70767821073532,2252.180419921875,1552.4002685546875,2620.767706298828,1097.142857142857,1097.142857142857,-269.93197278911566,-11.714219740417018,-22.926383946381165,3.7416670858815735,0.8000443949961864,0.6898415378218197,0.39922214576553827
ok,03,transformer.transformer_blocks.4,dual,4,4.0,5.480890274047852,0.8137924671173096,11.70767821073532,3433.6611328125,1552.4002685546875,2620.767706298828,52.244897959183675,1097.142857142857,-269.93197278911566,-43.61010296497966,-22.926383946381165,3.7416670858815735,0.00023202474384464042,0.6898415378218197,0.39922214576553827
ok,04,transformer.transformer_blocks.4,dual,4,0.5,10.076828956604004,4.695957183837891,15.589842927455901,3833.499267578125,2801.457763671875,3869.8252014160157,348.29931972789115,3453.968253968254,2086.8934240362814,10.182289299068099,-1.718110998364898,24.94994003389784,0.002880889493638872,0.5313534678852421,0.24073407582896067
ok,04,transformer.transformer_blocks.4,dual,4,1.0,6.781039714813232,4.695957183837891,15.589842927455901,4203.072265625,2801.457763671875,3869.8252014160157,801.0884353741496,3453.968253968254,2086.8934240362814,11.739416609763841,-1.718110998364898,24.94994003389784,0.48886331201909,0.5313534678852421,0.24073407582896067
ok,04,transformer.transformer_blocks.4,dual,4,2.0,1.8519455194473267,4.695957183837891,15.589842927455901,3921.33349609375,2801.457763671875,3869.8252014160157,3448.1632653061224,3453.968253968254,2086.8934240362814,0.11919991247822692,-1.718110998364898,24.94994003389784,0.5895209789519116,0.5313534678852421,0.24073407582896067
ok,04,transformer.transformer_blocks.4,dual,4,4.0,4.767226219177246,4.695957183837891,15.589842927455901,3048.42041015625,2801.457763671875,3869.8252014160157,40.63492063492063,3453.968253968254,2086.8934240362814,-35.297823148074755,-1.718110998364898,24.94994003389784,0.9700808082683823,0.5313534678852421,0.24073407582896067
ok,05,transformer.transformer_blocks.4,dual,4,0.5,4.209122180938721,1.8328940868377686,12.72677983045578,2095.44140625,1026.7904052734375,2095.157843017578,2589.024943310658,2403.265306122449,1036.1904761904764,-32.93287612667905,-40.5845730131001,-13.91652198083736,0.600520448467422,0.8773060508819598,0.5866866588256784
ok,05,transformer.transformer_blocks.4,dual,4,1.0,8.850597381591797,1.8328940868377686,12.72677983045578,3294.773681640625,1026.7904052734375,2095.157843017578,690.7936507936508,2403.265306122449,1036.1904761904764,-24.730162044883954,-40.5845730131001,-13.91652198083736,0.13776462146392277,0.8773060508819598,0.5866866588256784
ok,05,transformer.transformer_blocks.4,dual,4,2.0,6.083221912384033,1.8328940868377686,12.72677983045578,3297.89990234375,1026.7904052734375,2095.157843017578,179.95464852607708,2403.265306122449,1036.1904761904764,-16.0692092381133,-40.5845730131001,-13.91652198083736,0.40176368646756955,0.8773060508819598,0.5866866588256784
ok,05,transformer.transformer_blocks.4,dual,4,4.0,2.900876045227051,1.8328940868377686,12.72677983045578,2973.79541015625,1026.7904052734375,2095.157843017578,34.82993197278911,2403.265306122449,1036.1904761904764,-32.27817560981174,-40.5845730131001,-13.91652198083736,0.0,0.8773060508819598,0.5866866588256784
ok,01,transformer.single_transformer_blocks.8,single,8,0.5,11.559635162353516,3.917818307876587,14.811704051494598,2730.389404296875,1128.289794921875,2196.6572326660157,104.48979591836735,505.0340136054422,-862.0408163265306,-14.299147315429932,-30.85247434664129,-4.184423314378552,0.6680195255985029,0.4642366864855378,0.17361729442925639
