site,onset_strength_max_toward_source_mean,onset_strength_max_frac_moved_toward,onset_strength_max_n,spectral_centroid_mean_hz_toward_source_mean,spectral_centroid_mean_hz_frac_moved_toward,spectral_centroid_mean_hz_n,decay_time_to_minus_20db_ms_toward_source_mean,decay_time_to_minus_20db_ms_frac_moved_toward,decay_time_to_minus_20db_ms_n,high_to_low_db_toward_source_mean,high_to_low_db_frac_moved_toward,high_to_low_db_n,tail_energy_fraction_500ms_toward_source_mean,tail_energy_fraction_500ms_frac_moved_toward,tail_energy_fraction_500ms_n
transformer.single_transformer_blocks.8,0.06086311728989433,0.8,10,1.5734891306036247,1.0,10,1.1736730360934184,0.8,10,0.6318527944796472,0.9,10,0.24146514357708218,0.5,10
transformer.transformer_blocks.4,0.08472824364725048,0.7,10,1.4587144026409624,1.0,10,0.7783439490445861,0.8,10,0.5315550372768729,1.0,10,0.627561682624201,0.5,10
