status,error,pair_id,site,stack,block,direction,source_side,target_side,alpha,suffix_tokens,patched_spectral_centroid_mean_hz,target_baseline_spectral_centroid_mean_hz,source_baseline_spectral_centroid_mean_hz,patched_rms_dbfs,target_baseline_rms_dbfs,source_baseline_rms_dbfs,patched_high_to_low_db,target_baseline_high_to_low_db,source_baseline_high_to_low_db,patched_crest_factor_db,target_baseline_crest_factor_db,source_baseline_crest_factor_db,patched_spectral_flatness_mean,target_baseline_spectral_flatness_mean,source_baseline_spectral_flatness_mean,patched_onset_strength_max,target_baseline_onset_strength_max,source_baseline_onset_strength_max
ok,,00,transformer.transformer_blocks.3,dual,3,negative_to_positive,positive,negative,1.0,,4548.04296875,1060.0928955078125,4842.2060546875,-10.293572050268779,-5.692317754997006,-9.18364564899337,23.059886113395457,-26.247107162129062,39.84614700944264,6.723782130644303,4.884659641613962,5.425656696675706,8.747067477088422e-05,0.0001909102575154975,3.776247103814967e-05,3.030491352081299,1.814052700996399,4.945204734802246
ok,,00,transformer.transformer_blocks.3,dual,3,positive_to_negative,negative,positive,1.0,,1137.4052734375,4842.2060546875,1060.0928955078125,-5.040262849166296,-9.18364564899337,-5.692317754997006,-23.68864308147009,39.84614700944264,-26.247107162129062,4.5101339244730445,5.425656696675706,4.884659641613962,0.0001528795837657526,3.776247103814967e-05,0.0001909102575154975,1.1925415992736816,4.945204734802246,1.814052700996399
ok,,01,transformer.transformer_blocks.3,dual,3,negative_to_positive,positive,negative,1.0,,3512.248779296875,1124.0421142578125,4165.81005859375,-20.04078042981192,-18.51797257884726,-19.833216729076813,-6.508407112916275,-34.59615987939997,-3.177464080393038,8.148290478353607,9.95760726205373,7.498699028223484,0.0013765698531642556,0.0002891446929425001,0.002115032635629177,18.409099578857422,0.6909732818603516,17.94524383544922
ok,,01,transformer.transformer_blocks.3,dual,3,positive_to_negative,negative,positive,1.0,,970.9954223632812,4165.81005859375,1124.0421142578125,-20.017888008592216,-19.833216729076813,-18.51797257884726,-38.81394092872649,-3.177464080393038,-34.59615987939997,10.061497355575725,7.498699028223484,9.95760726205373,0.00033157755387946963,0.002115032635629177,0.0002891446929425001,0.8074487447738647,17.94524383544922,0.6909732818603516
ok,,02,transformer.transformer_blocks.3,dual,3,negative_to_positive,positive,negative,1.0,,1388.010498046875,1138.8150634765625,1444.182373046875,-17.949949072998276,-7.584637590284009,-18.93926230669048,-17.181697739010193,-31.617654986380337,-11.330337553009795,7.221062074037066,4.081117159309709,7.883549183172606,4.466468089958653e-05,2.4761271561146714e-05,4.5378175855148584e-05,3.667316436767578,1.1247754096984863,4.290257453918457
ok,,02,transformer.transformer_blocks.3,dual,3,positive_to_negative,negative,positive,1.0,,1135.2322998046875,1444.182373046875,1138.8150634765625,-10.086195336980094,-18.93926230669048,-7.584637590284009,-30.95297208244056,-11.330337553009795,-31.617654986380337,4.057494309571798,7.883549183172606,4.081117159309709,3.256641866755672e-05,4.5378175855148584e-05,2.4761271561146714e-05,1.294944405555725,4.290257453918457,1.1247754096984863
ok,,03,transformer.transformer_blocks.3,dual,3,negative_to_positive,positive,negative,1.0,,1285.0108642578125,498.10565185546875,1517.0753173828125,-9.518371795153794,-15.011651834665567,-9.231857357582662,-35.375488725560125,-45.60883336315719,-37.996127187928245,4.749742660192478,6.242007507007948,4.957319898986508,0.0002096347598126158,2.495199987606611e-05,0.0004231303173583001,2.4647226333618164,0.8597255349159241,2.633882522583008
ok,,03,transformer.transformer_blocks.3,dual,3,positive_to_negative,negative,positive,1.0,,522.60400390625,1517.0753173828125,498.10565185546875,-16.73722018137244,-9.231857357582662,-15.011651834665567,-43.0310830430938,-37.996127187928245,-45.60883336315719,5.48105256170574,4.957319898986508,6.242007507007948,2.0114001017645933e-05,0.0004231303173583001,2.495199987606611e-05,0.933289647102356,2.633882522583008,0.8597255349159241
ok,,04,transformer.transformer_blocks.3,dual,3,negative_to_positive,positive,negative,1.0,,377.9169921875,298.2093811035156,412.115478515625,-8.410038590657363,-9.776186363929076,-7.615396944911178,-49.38635405283556,-57.433839900476485,-47.540097611724086,6.035275039471651,6.849524428118814,5.42851943316313,6.683390529360622e-05,0.00012081032764399424,5.7283112255390733e-05,3.8005595207214355,2.3843629360198975,3.748640537261963
ok,,04,transformer.transformer_blocks.3,dual,3,positive_to_negative,negative,positive,1.0,,293.9598388671875,412.115478515625,298.2093811035156,-10.497186580660664,-7.615396944911178,-9.776186363929076,-61.212281502494,-47.540097611724086,-57.433839900476485,6.775570125074836,5.42851943316313,6.849524428118814,0.0001355804270133376,5.7283112255390733e-05,0.00012081032764399424,2.2318949699401855,3.748640537261963,2.3843629360198975
ok,,05,transformer.transformer_blocks.3,dual,3,negative_to_positive,positive,negative,1.0,,2730.364990234375,1251.7137451171875,2940.1689453125,-16.133198743189613,-8.648549501698712,-16.7034909131489,1.7005788617487958,-33.10106595591127,4.0837085846736425,7.2216434890532755,4.87262148649087,7.116567958997622,0.00011076695227529854,7.920555071905255e-05,5.1353163144085556e-05,7.381529808044434,1.1312857866287231,10.370266914367676
ok,,05,transformer.transformer_blocks.3,dual,3,positive_to_negative,negative,positive,1.0,,1264.3724365234375,2940.1689453125,1251.7137451171875,-10.237369083054055,-16.7034909131489,-8.648549501698712,-32.83381683567283,4.0837085846736425,-33.10106595591127,5.511140922645018,7.116567958997622,4.87262148649087,1.9344835891388357e-05,5.1353163144085556e-05,7.920555071905255e-05,1.1343810558319092,10.370266914367676,1.1312857866287231
ok,,06,transformer.transformer_blocks.3,dual,3,negative_to_positive,positive,negative,1.0,,3943.642822265625,1768.8133544921875,4511.458984375,-13.103188053860462,-16.56446370217053,-13.532047002863127,2.553149405099127,-18.101856591115922,7.766661935037336,7.882341378189269,7.340007075957361,6.5881721767229635,0.0004942305968143046,3.961456604884006e-05,0.00045911327470093966,1.7081379890441895,1.1868358850479126,1.7058182954788208
ok,,06,transformer.transformer_blocks.3,dual,3,positive_to_negative,negative,positive,1.0,,2106.789794921875,4511.458984375,1768.8133544921875,-16.37755233290982,-13.532047002863127,-16.56446370217053,-14.378288096962404,7.766661935037336,-18.101856591115922,7.784963497926215,6.5881721767229635,7.340007075957361,7.009752152953297e-05,0.00045911327470093966,3.961456604884006e-05,1.2340244054794312,1.7058182954788208,1.1868358850479126
ok,,07,transformer.transformer_blocks.3,dual,3,negative_to_positive,positive,negative,1.0,,4197.0224609375,1902.852294921875,4367.76708984375,-11.203503550227676,-3.601314734987364,-11.509588085613693,6.149631127356391,-20.335309081910694,8.470300772992788,7.414506684490705,3.4208908403416065,7.257055690919881,0.0005193332908675075,0.0001624777214601636,0.0003972723498009145,1.2493945360183716,1.460805892944336,1.2027961015701294
ok,,07,transformer.transformer_blocks.3,dual,3,positive_to_negative,negative,positive,1.0,,2188.818603515625,4367.76708984375,1902.852294921875,-3.6776937856650624,-11.509588085613693,-3.601314734987364,-15.275983237551651,8.470300772992788,-20.335309081910694,3.9572429643486995,7.257055690919881,3.4208908403416065,0.00010085812391480431,0.0003972723498009145,0.0001624777214601636,1.3643180131912231,1.2027961015701294,1.460805892944336
